,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-18,@,BOS,L,117,126,40,80,.500,13,34,.382,24,28,.857,4,31,16,8,3,14,25,,46,82,.561,12,35,.343,22,28,.786,6,36,24,8,3,10,24
2,2,2022-10-20,,MIL,L,88,90,36,83,.434,5,24,.208,11,13,.846,6,44,17,6,5,10,14,,34,84,.405,13,42,.310,9,14,.643,7,48,24,4,6,12,16
3,3,2022-10-22,,SAS,L,105,114,37,84,.440,10,31,.323,21,28,.750,12,40,26,6,5,12,15,,43,89,.483,16,38,.421,12,15,.800,12,43,27,5,7,14,20
4,4,2022-10-24,,IND,W,120,106,38,80,.475,19,43,.442,25,28,.893,7,39,25,8,7,7,20,,38,90,.422,12,44,.273,18,23,.783,14,47,27,3,4,13,23
5,5,2022-10-26,@,TOR,L,109,119,40,79,.506,16,36,.444,13,19,.684,4,34,29,6,2,12,12,,46,84,.548,16,37,.432,11,14,.786,6,39,32,9,5,9,21
6,6,2022-10-28,@,TOR,W,112,90,43,82,.524,16,38,.421,10,11,.909,7,41,25,11,6,14,20,,33,86,.384,9,39,.231,15,24,.625,15,45,20,9,5,17,15
7,7,2022-10-29,@,CHI,W,114,109,39,79,.494,14,29,.483,22,27,.815,8,41,28,8,6,17,22,,36,80,.450,11,31,.355,26,29,.897,9,40,22,7,3,18,20
8,8,2022-10-31,@,WAS,W,118,111,46,83,.554,12,30,.400,14,20,.700,4,37,26,14,3,13,20,,38,81,.469,10,25,.400,25,26,.962,9,41,22,8,4,15,18
9,9,2022-11-02,,WAS,L,111,121,39,84,.464,19,36,.528,14,20,.700,6,32,25,3,1,8,25,,45,78,.577,5,21,.238,26,32,.813,7,43,27,4,9,7,18
10,10,2022-11-04,,NYK,L,104,106,37,98,.378,13,47,.277,17,21,.810,13,44,27,12,8,15,25,,37,80,.463,9,33,.273,23,27,.852,10,50,24,5,8,21,21
11,11,2022-11-07,,PHO,W,100,88,31,80,.388,12,32,.375,26,31,.839,15,48,22,5,6,15,17,,32,73,.438,6,19,.316,18,22,.818,6,37,19,8,5,13,24
12,12,2022-11-10,@,ATL,L,95,104,32,83,.386,6,30,.200,25,30,.833,9,45,15,10,5,17,22,,39,88,.443,6,26,.231,20,23,.870,11,54,19,8,2,18,22
13,13,2022-11-12,,ATL,W,121,109,44,80,.550,8,24,.333,25,31,.806,2,31,24,10,5,12,26,,40,89,.449,6,24,.250,23,27,.852,12,43,20,4,2,18,19
14,14,2022-11-13,,UTA,W,105,98,40,83,.482,4,23,.174,21,26,.808,8,39,21,12,14,12,19,,37,94,.394,11,37,.297,13,23,.565,18,50,23,3,4,17,17
15,15,2022-11-18,,MIL,W,110,102,40,78,.513,13,28,.464,17,26,.654,6,41,28,5,5,18,18,,41,90,.456,12,36,.333,8,21,.381,8,42,22,8,7,12,18
16,16,2022-11-19,,MIN,L,109,112,34,71,.479,14,32,.438,27,32,.844,4,39,21,10,1,22,24,,40,85,.471,12,36,.333,20,24,.833,8,43,28,9,2,17,25
17,17,2022-11-22,,BRK,W,115,106,43,99,.434,16,32,.500,13,16,.813,20,49,19,9,4,9,12,,44,80,.550,9,28,.321,9,13,.692,4,35,31,5,13,15,15
18,18,2022-11-23,@,CHO,L,101,107,38,86,.442,9,38,.237,16,18,.889,8,45,20,9,3,19,23,,44,92,.478,6,23,.261,13,21,.619,11,44,25,8,1,15,15
19,19,2022-11-25,@,ORL,W,107,99,39,82,.476,14,36,.389,15,18,.833,13,47,25,7,1,15,19,,34,80,.425,9,35,.257,22,27,.815,9,35,20,7,6,14,15
20,20,2022-11-27,@,ORL,W,133,103,50,77,.649,11,27,.407,22,27,.815,6,43,32,10,8,14,19,,36,79,.456,12,40,.300,19,25,.760,7,26,21,9,4,15,20
