,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,@,NOP,W,117,97,119.0,98.6,98.3,.235,.294,.624,51.6,54.5,9.2,7.9,,.594,11.3,15.0,.188,,.489,11.8,80.4,.065
2,2,2021-10-22,,BRK,L,109,114,112.8,118.0,96.6,.121,.396,.569,42.7,39.5,8.3,18.0,,.549,7.7,12.2,.099,,.534,10.9,73.2,.227
3,3,2021-10-24,@,OKC,W,115,103,120.3,107.8,95.6,.227,.466,.594,52.8,61.0,4.2,17.0,,.563,11.0,25.0,.182,,.524,10.6,85.4,.179
4,4,2021-10-26,@,NYK,L,99,112,110.8,125.3,89.4,.207,.500,.553,47.1,66.7,10.1,8.0,,.512,13.5,27.3,.183,,.563,11.4,68.3,.161
5,5,2021-10-28,,DET,W,110,102,112.2,104.0,98.0,.316,.355,.635,55.4,57.9,7.1,19.1,,.579,18.8,18.2,.289,,.483,10.9,80.0,.221
6,6,2021-10-30,,ATL,W,122,94,124.1,95.6,98.3,.221,.442,.646,43.0,52.2,11.2,8.2,,.605,11.3,14.7,.209,,.421,15.5,61.5,.147
7,7,2021-11-01,,POR,W,113,103,124.4,113.4,90.8,.193,.434,.627,43.0,79.1,12.1,12.0,,.596,10.0,17.9,.169,,.548,13.2,67.5,.131
8,8,2021-11-03,,CHI,W,103,98,109.6,104.3,93.9,.273,.364,.597,42.7,63.2,9.6,6.6,,.571,14.0,11.6,.195,,.500,14.3,76.9,.195
9,9,2021-11-04,@,DET,W,109,98,121.4,109.2,89.8,.265,.386,.588,54.4,53.7,8.9,5.9,,.566,11.5,34.1,.181,,.466,10.3,73.9,.195
10,10,2021-11-06,@,CHI,W,114,105,121.0,111.4,94.2,.235,.321,.638,47.1,51.2,6.4,7.9,,.611,13.5,17.6,.185,,.440,7.9,66.0,.261
11,11,2021-11-08,,NYK,L,96,103,103.5,111.1,92.7,.176,.440,.490,46.1,57.1,7.5,11.8,,.456,7.5,22.6,.143,,.511,11.8,71.4,.110
12,12,2021-11-09,,MIL,L,109,118,111.4,120.6,97.8,.117,.417,.503,46.9,50.0,7.2,12.5,,.476,6.1,24.5,.107,,.542,7.1,73.3,.158
13,13,2021-11-11,,TOR,L,109,115,114.9,121.2,94.9,.216,.386,.566,45.3,72.5,8.4,12.7,,.517,11.1,22.5,.205,,.510,9.6,65.2,.177
14,14,2021-11-13,@,IND,L,113,118,119.2,124.4,94.8,.326,.258,.555,55.4,42.1,11.6,3.7,,.494,12.1,37.5,.281,,.659,14.5,80.0,.122
15,15,2021-11-16,@,UTA,L,85,120,86.2,121.6,98.6,.189,.322,.436,42.9,57.6,5.1,9.8,,.400,7.6,10.7,.144,,.607,8.5,85.7,.135
