,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,NOP,W,117,97,44,85,0.518,13,25,0.52,16,20,0.8,6,47,24,9,5,12,11,119.0,98.6,98.3,0.235,0.294,0.624,51.6,54.5,9.2,7.9,0.594,11.3,15.0,0.188,0.489,11.8,80.4,0.065
1,2021-10-22,H,BRK,L,109,114,43,91,0.473,14,36,0.389,9,11,0.818,5,35,17,8,9,8,21,112.8,118.0,96.6,0.121,0.396,0.569,42.7,39.5,8.3,18.0,0.549,7.7,12.2,0.099,0.534,10.9,73.2,0.227
2,2021-10-24,A,OKC,W,115,103,41,88,0.466,17,41,0.415,16,20,0.8,12,47,25,4,9,12,17,120.3,107.8,95.6,0.227,0.466,0.594,52.8,61.0,4.2,17.0,0.563,11.0,25.0,0.182,0.524,10.6,85.4,0.179
3,2021-10-26,A,NYK,L,99,112,36,82,0.439,12,41,0.293,15,17,0.882,12,40,24,9,4,14,14,110.8,125.3,89.4,0.207,0.5,0.553,47.1,66.7,10.1,8.0,0.512,13.5,27.3,0.183,0.563,11.4,68.3,0.161
4,2021-10-28,H,DET,W,110,102,38,76,0.5,12,27,0.444,22,24,0.917,6,46,22,7,9,20,23,112.2,104.0,98.0,0.316,0.355,0.635,55.4,57.9,7.1,19.1,0.579,18.8,18.2,0.289,0.483,10.9,80.0,0.221
5,2021-10-30,H,ATL,W,122,94,46,86,0.535,12,38,0.316,18,19,0.947,5,37,24,11,6,12,24,124.1,95.6,98.3,0.221,0.442,0.646,43.0,52.2,11.2,8.2,0.605,11.3,14.7,0.209,0.421,15.5,61.5,0.147
6,2021-11-01,H,POR,W,113,103,43,83,0.518,13,36,0.361,14,16,0.875,7,34,34,11,6,10,18,124.4,113.4,90.8,0.193,0.434,0.627,43.0,79.1,12.1,12.0,0.596,10.0,17.9,0.169,0.548,13.2,67.5,0.131
7,2021-11-03,H,CHI,W,103,98,38,77,0.494,12,28,0.429,15,21,0.714,5,35,24,9,4,14,15,109.6,104.3,93.9,0.273,0.364,0.597,42.7,63.2,9.6,6.6,0.571,14.0,11.6,0.195,0.5,14.3,76.9,0.195
8,2021-11-04,A,DET,W,109,98,41,83,0.494,12,32,0.375,15,22,0.682,15,49,22,8,3,12,17,121.4,109.2,89.8,0.265,0.386,0.588,54.4,53.7,8.9,5.9,0.566,11.5,34.1,0.181,0.466,10.3,73.9,0.195
9,2021-11-06,A,CHI,W,114,105,43,81,0.531,13,26,0.5,15,19,0.789,6,41,22,6,5,14,22,121.0,111.4,94.2,0.235,0.321,0.638,47.1,51.2,6.4,7.9,0.611,13.5,17.6,0.185,0.44,7.9,66.0,0.261
