,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,,DEN,L,98,110,36,87,.414,14,37,.378,12,17,.706,11,45,23,9,3,18,18,,44,83,.530,17,39,.436,5,9,.556,6,46,25,9,1,17,20
2,2,2021-10-22,@,LAL,W,115,105,42,86,.488,10,32,.313,21,28,.750,7,47,31,8,2,11,22,,34,86,.395,15,34,.441,22,29,.759,12,46,25,7,3,16,26
3,3,2021-10-23,@,POR,L,105,134,43,89,.483,9,28,.321,10,15,.667,7,38,27,6,1,14,19,,51,94,.543,21,50,.420,11,17,.647,8,48,24,8,5,9,15
4,4,2021-10-27,,SAC,L,107,110,42,93,.452,6,22,.273,17,24,.708,14,56,23,6,6,11,16,,42,95,.442,15,38,.395,11,15,.733,8,40,28,7,6,11,20
5,5,2021-10-30,,CLE,W,101,92,39,84,.464,6,26,.231,17,27,.630,8,52,27,12,3,13,14,,36,91,.396,14,44,.318,6,7,.857,10,47,21,8,3,19,21
6,6,2021-11-02,,NOP,W,112,100,43,82,.524,9,26,.346,17,18,.944,7,42,32,8,4,19,17,,36,91,.396,13,39,.333,15,16,.938,14,43,21,17,6,17,16
7,7,2021-11-04,,HOU,W,123,111,44,93,.473,14,31,.452,21,23,.913,13,46,29,12,8,12,24,,38,88,.432,11,32,.344,24,28,.857,7,43,25,4,4,18,21
8,8,2021-11-06,,ATL,W,121,117,45,88,.511,14,43,.326,17,21,.810,5,42,26,8,6,12,22,,42,97,.433,13,33,.394,20,23,.870,14,50,18,3,1,12,16
9,9,2021-11-08,@,SAC,W,109,104,44,93,.473,12,30,.400,9,11,.818,5,38,28,14,9,14,21,,37,82,.451,10,24,.417,20,26,.769,8,46,18,6,6,24,18
10,10,2021-11-10,,POR,W,119,109,49,94,.521,11,28,.393,10,12,.833,9,39,27,6,6,10,20,,44,91,.484,7,30,.233,14,16,.875,14,46,24,5,2,14,21
11,11,2021-11-12,@,MEM,W,119,94,46,94,.489,18,37,.486,9,9,1.000,4,46,28,12,6,12,22,,37,98,.378,7,33,.212,13,23,.565,17,59,19,6,6,15,16
12,12,2021-11-14,@,HOU,W,115,89,42,97,.433,14,40,.350,17,20,.850,12,52,19,16,7,10,19,,35,85,.412,7,32,.219,12,18,.667,9,48,19,7,5,23,19
13,13,2021-11-15,@,MIN,W,99,96,32,85,.376,7,31,.226,28,36,.778,14,52,21,8,2,15,23,,31,85,.365,13,44,.295,21,27,.778,13,54,18,8,3,18,28
14,14,2021-11-17,,DAL,W,105,98,41,93,.441,13,39,.333,10,14,.714,8,49,27,6,7,7,9,,38,91,.418,16,32,.500,6,6,1.000,8,49,28,5,2,10,14
15,15,2021-11-19,,DAL,W,112,104,44,85,.518,14,29,.483,10,14,.714,10,53,28,7,4,17,22,,37,90,.411,12,40,.300,18,23,.783,10,40,25,15,1,10,17
16,16,2021-11-21,,DEN,W,126,97,46,87,.529,11,36,.306,23,26,.885,10,51,34,7,3,11,20,,33,90,.367,11,38,.289,20,28,.714,12,42,20,5,1,10,22
17,17,2021-11-22,@,SAS,W,115,111,45,88,.511,12,27,.444,13,16,.813,11,44,25,10,0,15,18,,49,93,.527,5,20,.250,8,16,.500,11,44,23,9,4,15,16
18,18,2021-11-24,@,CLE,W,120,115,45,86,.523,8,22,.364,22,28,.786,10,47,26,4,2,15,23,,43,97,.443,12,39,.308,17,25,.680,13,44,22,7,0,10,23
19,19,2021-11-26,@,NYK,W,118,97,44,79,.557,13,28,.464,17,21,.810,1,35,28,10,2,11,19,,34,92,.370,12,39,.308,17,22,.773,17,51,13,7,1,15,20
