,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,DEN,L,98,110,99.3,111.5,98.7,.195,.425,.519,49.5,63.9,9.1,6.8,,.494,16.0,21.6,.138,,.633,16.4,85.0,.060
2,2,2021-10-22,@,LAL,W,115,105,114.5,104.5,100.5,.326,.372,.585,50.5,73.8,8.0,3.8,,.547,10.1,17.1,.244,,.483,13.9,76.9,.256
3,3,2021-10-23,@,POR,L,105,134,103.9,132.7,101.0,.169,.315,.549,44.2,62.8,5.9,2.3,,.534,12.8,14.9,.112,,.654,8.1,79.5,.117
4,4,2021-10-27,,SAC,L,107,110,107.0,110.0,100.0,.258,.237,.517,58.3,54.8,6.0,10.5,,.484,9.6,30.4,.183,,.521,9.8,84.0,.116
5,5,2021-10-30,,CLE,W,101,92,100.4,91.5,100.6,.321,.310,.527,52.5,69.2,11.9,6.4,,.500,11.9,17.8,.202,,.473,16.8,81.5,.066
6,6,2021-11-02,,NOP,W,112,100,113.3,101.2,98.8,.220,.317,.623,49.4,74.4,8.1,7.7,,.579,17.4,19.4,.207,,.467,14.8,71.4,.165
7,7,2021-11-04,,HOU,W,123,111,118.2,106.7,104.1,.247,.333,.596,51.7,65.9,11.5,14.3,,.548,10.4,26.5,.226,,.494,15.2,82.5,.273
8,8,2021-11-06,,ATL,W,121,117,118.1,114.2,102.4,.239,.489,.622,45.7,57.8,7.8,9.4,,.591,11.0,12.2,.193,,.500,10.1,72.5,.206
9,9,2021-11-08,@,SAC,W,109,104,102.7,98.0,106.2,.118,.323,.557,45.2,63.6,13.2,15.5,,.538,12.5,11.6,.097,,.512,20.4,80.5,.244
10,10,2021-11-10,,POR,W,119,109,122.9,112.6,96.8,.128,.298,.599,45.9,55.1,6.2,9.8,,.580,9.2,22.0,.106,,.522,12.5,68.2,.154
11,11,2021-11-12,@,MEM,W,119,94,114.1,90.2,104.3,.096,.394,.607,43.8,60.9,11.5,9.2,,.585,10.9,8.7,.096,,.413,12.2,71.2,.133
12,12,2021-11-14,@,HOU,W,115,89,111.4,86.2,103.3,.206,.412,.543,52.0,45.2,15.5,13.2,,.505,8.6,23.5,.175,,.453,19.8,81.6,.141
13,13,2021-11-15,@,MIN,W,99,96,99.5,96.5,99.5,.424,.365,.491,49.1,65.6,8.0,4.9,,.418,12.9,25.5,.329,,.441,15.7,74.5,.247
14,14,2021-11-17,,DAL,W,105,98,110.1,102.8,95.3,.151,.419,.529,50.0,65.9,6.3,11.9,,.511,6.6,16.3,.108,,.505,9.6,83.7,.066
15,15,2021-11-19,,DAL,W,112,104,114.8,106.6,97.6,.165,.341,.614,57.0,63.6,7.2,8.0,,.600,15.7,25.0,.118,,.478,9.1,81.1,.200
16,16,2021-11-21,,DEN,W,126,97,129.3,99.6,97.4,.299,.414,.640,54.8,73.9,7.2,5.8,,.592,10.1,25.0,.264,,.428,8.9,77.4,.222
17,17,2021-11-22,@,SAS,W,115,111,114.7,110.7,100.3,.182,.307,.605,50.0,55.6,10.0,0.0,,.580,13.6,25.0,.148,,.554,13.0,75.0,.086
18,18,2021-11-24,@,CLE,W,120,115,117.9,113.0,101.7,.326,.256,.610,51.6,57.8,3.9,3.4,,.570,13.2,24.4,.256,,.505,8.5,74.0,.175
19,19,2021-11-26,@,NYK,W,118,97,122.6,100.8,96.2,.266,.354,.669,40.7,63.6,10.4,3.8,,.639,11.1,2.9,.215,,.435,12.9,66.7,.185
20,20,2021-11-27,@,BRK,W,113,107,112.4,106.4,100.5,.228,.413,.558,46.6,41.5,10.9,1.6,,.516,10.6,22.9,.196,,.542,17.7,75.0,.190
21,21,2021-11-30,,GSW,W,104,96,109.9,101.4,94.7,.126,.345,.566,40.7,65.1,12.7,8.7,,.563,11.6,18.2,.069,,.500,19.3,64.3,.116
22,22,2021-12-02,,DET,W,114,103,119.6,108.0,95.3,.291,.266,.640,55.0,53.5,8.4,5.7,,.620,13.6,17.1,.203,,.519,11.6,84.4,.250
