,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,DEN,L,98,110,36,87,0.414,14,37,0.378,12,17,0.706,11,45,23,9,3,18,18,99.3,111.5,98.7,0.195,0.425,0.519,49.5,63.9,9.1,6.8,0.494,16.0,21.6,0.138,0.633,16.4,85.0,0.06
1,2021-10-22,A,LAL,W,115,105,42,86,0.488,10,32,0.313,21,28,0.75,7,47,31,8,2,11,22,114.5,104.5,100.5,0.326,0.372,0.585,50.5,73.8,8.0,3.8,0.547,10.1,17.1,0.244,0.483,13.9,76.9,0.256
2,2021-10-23,A,POR,L,105,134,43,89,0.483,9,28,0.321,10,15,0.667,7,38,27,6,1,14,19,103.9,132.7,101.0,0.169,0.315,0.549,44.2,62.8,5.9,2.3,0.534,12.8,14.9,0.112,0.654,8.1,79.5,0.117
3,2021-10-27,H,SAC,L,107,110,42,93,0.452,6,22,0.273,17,24,0.708,14,56,23,6,6,11,16,107.0,110.0,100.0,0.258,0.237,0.517,58.3,54.8,6.0,10.5,0.484,9.6,30.4,0.183,0.521,9.8,84.0,0.116
4,2021-10-30,H,CLE,W,101,92,39,84,0.464,6,26,0.231,17,27,0.63,8,52,27,12,3,13,14,100.4,91.5,100.6,0.321,0.31,0.527,52.5,69.2,11.9,6.4,0.5,11.9,17.8,0.202,0.473,16.8,81.5,0.066
5,2021-11-02,H,NOP,W,112,100,43,82,0.524,9,26,0.346,17,18,0.944,7,42,32,8,4,19,17,113.3,101.2,98.8,0.22,0.317,0.623,49.4,74.4,8.1,7.7,0.579,17.4,19.4,0.207,0.467,14.8,71.4,0.165
6,2021-11-04,H,HOU,W,123,111,44,93,0.473,14,31,0.452,21,23,0.913,13,46,29,12,8,12,24,118.2,106.7,104.1,0.247,0.333,0.596,51.7,65.9,11.5,14.3,0.548,10.4,26.5,0.226,0.494,15.2,82.5,0.273
7,2021-11-06,H,ATL,W,121,117,45,88,0.511,14,43,0.326,17,21,0.81,5,42,26,8,6,12,22,118.1,114.2,102.4,0.239,0.489,0.622,45.7,57.8,7.8,9.4,0.591,11.0,12.2,0.193,0.5,10.1,72.5,0.206
8,2021-11-08,A,SAC,W,109,104,44,93,0.473,12,30,0.4,9,11,0.818,5,38,28,14,9,14,21,102.7,98.0,106.2,0.118,0.323,0.557,45.2,63.6,13.2,15.5,0.538,12.5,11.6,0.097,0.512,20.4,80.5,0.244
9,2021-11-10,H,POR,W,119,109,49,94,0.521,11,28,0.393,10,12,0.833,9,39,27,6,6,10,20,122.9,112.6,96.8,0.128,0.298,0.599,45.9,55.1,6.2,9.8,0.58,9.2,22.0,0.106,0.522,12.5,68.2,0.154
