,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,SAC,W,115,108,39,88,.443,11,28,.393,26,33,.788,11,44,20,11,2,11,17,,39,85,.459,17,44,.386,13,19,.684,4,41,27,8,5,15,25
2,2,2022-10-21,,PHO,W,113,111,36,82,.439,10,29,.345,31,36,.861,13,48,14,8,5,18,19,,43,94,.457,10,27,.370,15,21,.714,9,41,31,14,1,16,29
3,3,2022-10-23,@,LAL,W,106,104,37,84,.440,10,27,.370,22,27,.815,13,52,19,6,5,19,20,,41,92,.446,6,33,.182,16,20,.800,10,40,26,9,9,13,24
4,4,2022-10-24,,DEN,W,135,110,48,83,.578,16,35,.457,23,31,.742,9,45,23,3,6,8,15,,45,91,.495,12,31,.387,8,14,.571,10,38,28,4,1,8,28
5,5,2022-10-26,,MIA,L,98,119,34,78,.436,12,37,.324,18,26,.692,11,38,20,9,4,19,17,,44,87,.506,15,38,.395,16,19,.842,15,46,34,13,2,16,22
6,6,2022-10-28,,HOU,W,125,111,48,90,.533,13,35,.371,16,20,.800,11,45,30,9,6,15,19,,40,94,.426,14,38,.368,17,21,.810,13,39,23,10,6,15,18
7,7,2022-11-02,,MEM,L,106,111,36,89,.404,13,33,.394,21,26,.808,16,46,27,5,3,20,17,,38,83,.458,13,28,.464,22,27,.815,10,46,28,7,5,14,19
8,8,2022-11-04,@,PHO,W,108,106,43,85,.506,10,23,.435,12,15,.800,11,42,30,6,3,17,24,,36,83,.434,14,34,.412,20,21,.952,13,39,26,8,4,17,22
9,9,2022-11-05,@,PHO,L,82,102,30,79,.380,7,15,.467,15,24,.625,8,40,22,5,7,17,26,,35,82,.427,11,30,.367,21,28,.750,11,44,22,7,14,14,22
10,10,2022-11-07,@,MIA,W,110,107,38,72,.528,16,37,.432,18,21,.857,4,37,27,7,2,18,16,,40,84,.476,14,39,.359,13,15,.867,5,32,28,11,2,10,18
11,11,2022-11-09,@,CHO,W,105,95,40,75,.533,11,34,.324,14,25,.560,8,45,28,5,4,17,19,,34,91,.374,10,40,.250,17,24,.708,20,42,21,10,3,11,22
12,12,2022-11-10,@,NOP,W,106,95,37,85,.435,12,34,.353,20,26,.769,11,46,25,8,2,8,14,,33,79,.418,10,28,.357,19,24,.792,9,45,19,3,5,17,21
13,13,2022-11-12,@,DAL,L,112,117,36,80,.450,13,31,.419,27,35,.771,12,44,20,6,2,12,21,,41,81,.506,14,43,.326,21,26,.808,7,40,26,8,2,11,27
14,14,2022-11-15,,SAS,W,117,110,41,79,.519,15,32,.469,20,26,.769,9,39,22,6,3,15,17,,44,85,.518,9,29,.310,13,17,.765,11,38,34,7,5,19,25
15,15,2022-11-17,,BRK,L,107,109,36,93,.387,13,36,.361,22,27,.815,8,39,22,9,5,9,22,,40,79,.506,11,29,.379,18,23,.783,5,47,32,4,5,17,24
16,16,2022-11-19,,UTA,L,113,118,39,83,.470,13,42,.310,22,27,.815,10,43,27,11,8,17,22,,42,91,.462,14,39,.359,20,23,.870,11,42,23,6,4,13,20
17,17,2022-11-21,@,MIL,L,111,119,44,93,.473,8,29,.276,15,19,.789,12,40,19,5,3,15,17,,47,86,.547,9,28,.321,16,25,.640,10,42,31,12,8,14,17
18,18,2022-11-23,@,CLE,L,96,114,35,78,.449,13,31,.419,13,13,1.000,11,32,28,9,4,16,24,,41,74,.554,12,27,.444,20,23,.870,11,39,22,4,4,16,14
19,19,2022-11-25,@,NYK,W,132,129,42,85,.494,10,32,.313,38,51,.745,13,48,24,3,3,12,24,,46,105,.438,13,41,.317,24,28,.857,12,44,27,7,5,10,35
20,20,2022-11-27,@,BRK,L,97,111,35,79,.443,12,33,.364,15,22,.682,11,42,27,4,2,13,16,,41,78,.526,15,35,.429,14,18,.778,4,38,27,6,2,7,24
21,21,2022-11-29,,LAC,L,112,118,42,90,.467,17,35,.486,11,15,.733,9,43,24,6,7,11,23,,41,89,.461,13,31,.419,23,28,.821,14,48,26,6,7,13,18
22,22,2022-11-30,@,LAL,L,109,128,42,90,.467,8,24,.333,17,21,.810,12,45,21,4,5,10,25,,48,97,.495,14,37,.378,18,26,.692,13,48,28,5,6,7,18
23,23,2022-12-03,@,UTA,W,116,111,41,85,.482,10,25,.400,24,31,.774,12,49,19,5,6,13,20,,38,84,.452,13,36,.361,22,28,.786,10,44,20,8,4,13,22
24,24,2022-12-04,,IND,W,116,100,42,86,.488,17,40,.425,15,22,.682,11,45,32,10,3,15,17,,40,91,.440,10,33,.303,10,12,.833,12,44,22,10,5,15,22
25,25,2022-12-08,,DEN,L,120,121,44,91,.484,16,40,.400,16,16,1.000,13,38,30,10,3,12,20,,47,91,.516,12,30,.400,15,22,.682,16,48,28,6,5,16,16
26,26,2022-12-10,,MIN,W,124,118,43,83,.518,13,34,.382,25,28,.893,11,45,20,5,4,16,24,,45,83,.542,10,23,.435,18,24,.750,4,28,22,11,4,13,21
27,27,2022-12-12,,MIN,W,133,112,48,89,.539,21,46,.457,16,21,.762,11,54,32,4,4,18,21,,46,93,.495,10,27,.370,10,19,.526,7,37,25,12,2,10,19
28,28,2022-12-14,@,SAS,W,128,112,49,81,.605,18,40,.450,12,17,.706,5,40,26,5,3,17,20,,45,97,.464,11,29,.379,11,19,.579,14,40,23,9,3,11,16
29,29,2022-12-16,@,DAL,L,110,130,39,89,.438,13,37,.351,19,25,.760,10,42,21,4,2,12,22,,45,81,.556,18,43,.419,22,26,.846,3,40,25,4,5,12,19
30,30,2022-12-17,@,HOU,W,107,95,40,85,.471,13,36,.361,14,19,.737,10,36,20,8,4,12,20,,36,90,.400,3,29,.103,20,29,.690,18,51,19,7,6,15,18
31,31,2022-12-19,@,OKC,L,121,123,44,88,.500,16,37,.432,17,21,.810,14,45,26,5,2,16,28,,40,88,.455,11,31,.355,32,37,.865,11,39,20,7,5,10,21
32,32,2022-12-21,@,OKC,L,98,101,39,79,.494,14,36,.389,6,9,.667,9,36,29,9,5,18,22,,36,77,.468,8,24,.333,21,25,.840,9,37,19,9,3,18,16
33,33,2022-12-23,@,DEN,L,107,120,39,87,.448,9,35,.257,20,26,.769,13,43,24,5,3,13,21,,47,81,.580,10,21,.476,16,26,.615,4,38,31,9,2,10,19
34,34,2022-12-26,,CHO,W,124,113,43,86,.500,14,38,.368,24,28,.857,10,50,28,8,9,15,20,,41,103,.398,12,36,.333,19,25,.760,18,45,25,8,3,12,21
35,35,2022-12-30,@,GSW,L,112,118,42,91,.462,12,39,.308,16,23,.696,17,49,22,2,4,14,20,,42,91,.462,17,43,.395,17,21,.810,17,46,29,9,2,12,22
36,36,2023-01-02,,DET,W,135,106,48,84,.571,14,31,.452,25,35,.714,6,44,29,16,6,18,27,,34,82,.415,6,18,.333,32,41,.780,9,45,16,8,4,21,27
37,37,2023-01-04,@,MIN,L,106,113,33,75,.440,9,29,.310,31,42,.738,12,39,18,8,7,16,30,,39,76,.513,9,24,.375,26,36,.722,8,33,25,8,6,14,30
38,38,2023-01-06,@,IND,L,99,108,38,94,.404,9,33,.273,14,17,.824,12,52,30,5,1,18,19,,38,84,.452,7,25,.280,25,28,.893,4,41,22,11,6,12,22
39,39,2023-01-08,@,TOR,L,105,117,34,76,.447,9,30,.300,28,37,.757,10,42,19,5,4,22,24,,40,91,.440,12,31,.387,25,29,.862,13,41,26,12,8,10,28
40,40,2023-01-10,,ORL,L,106,109,42,87,.483,6,35,.171,16,19,.842,13,43,22,10,7,16,22,,40,78,.513,9,24,.375,20,25,.800,6,35,19,10,2,16,20
41,41,2023-01-12,,CLE,L,113,119,40,78,.513,11,33,.333,22,29,.759,5,36,17,6,4,16,27,,44,89,.494,7,22,.318,24,31,.774,12,44,28,6,1,11,19
42,42,2023-01-14,,DAL,W,136,119,49,88,.557,17,41,.415,21,22,.955,10,47,34,7,4,9,20,,43,82,.524,22,46,.478,11,19,.579,2,25,28,4,3,10,18
43,43,2023-01-15,,DAL,W,140,123,43,85,.506,17,44,.386,37,42,.881,8,41,28,3,6,7,29,,41,89,.461,14,42,.333,27,33,.818,13,39,31,3,2,9,29
44,44,2023-01-17,@,DEN,L,113,122,38,83,.458,13,40,.325,24,25,.960,5,35,21,3,4,13,24,,44,88,.500,11,32,.344,23,28,.821,11,42,32,8,6,11,15
45,45,2023-01-19,,PHI,L,95,105,32,85,.376,9,37,.243,22,29,.759,13,44,19,4,3,15,15,,41,81,.506,8,26,.308,15,19,.789,5,43,24,8,8,12,23
46,46,2023-01-22,,LAL,L,112,121,37,86,.430,17,46,.370,21,25,.840,11,38,24,5,7,11,24,,45,86,.523,10,30,.333,21,27,.778,10,51,23,5,5,12,19
47,47,2023-01-23,,SAS,W,147,127,55,92,.598,20,33,.606,17,22,.773,8,36,34,11,4,9,16,,47,90,.522,13,27,.481,20,26,.769,14,40,30,7,4,15,18
48,48,2023-01-25,,UTA,W,134,124,51,89,.573,17,36,.472,15,18,.833,6,41,26,9,4,10,15,,47,90,.522,20,41,.488,10,15,.667,8,35,32,5,5,13,18
49,49,2023-01-28,,TOR,L,105,123,40,76,.526,7,24,.292,18,23,.783,3,27,18,3,6,11,16,,48,92,.522,10,30,.333,17,18,.944,15,45,24,6,3,6,18
50,50,2023-01-30,,ATL,W,129,125,43,79,.544,19,40,.475,24,27,.889,3,32,24,2,7,8,21,,44,94,.468,13,30,.433,24,30,.800,17,45,26,5,0,6,21
51,51,2023-02-01,@,MEM,W,122,112,41,87,.471,14,36,.389,26,27,.963,9,41,24,3,5,13,22,,41,87,.471,9,37,.243,21,28,.750,12,44,28,8,7,12,22
52,52,2023-02-03,@,WAS,W,124,116,43,88,.489,17,41,.415,21,23,.913,11,38,25,5,2,7,17,,42,84,.500,12,33,.364,20,22,.909,9,41,27,4,3,10,19
53,53,2023-02-04,@,CHI,L,121,129,44,87,.506,14,43,.326,19,21,.905,7,33,22,3,3,9,19,,48,80,.600,12,26,.462,21,25,.840,6,41,32,6,3,12,19
54,54,2023-02-06,,MIL,L,108,127,37,91,.407,9,36,.250,25,29,.862,1,28,23,5,2,8,20,,47,87,.540,16,42,.381,17,21,.810,7,55,27,4,2,14,27
55,55,2023-02-08,,GSW,W,125,122,43,78,.551,8,27,.296,31,32,.969,12,47,25,6,3,21,16,,46,97,.474,21,49,.429,9,10,.900,10,32,31,11,2,11,24
56,56,2023-02-10,,OKC,L,129,138,42,76,.553,16,40,.400,29,31,.935,9,32,29,3,5,18,27,,47,83,.566,12,24,.500,32,35,.914,10,29,29,9,3,10,26
57,57,2023-02-13,,LAL,W,127,115,46,97,.474,23,47,.489,12,13,.923,8,42,27,7,9,7,15,,42,95,.442,12,37,.324,19,21,.905,14,56,24,6,5,13,16
58,58,2023-02-14,,WAS,L,101,126,36,86,.419,12,42,.286,17,24,.708,12,37,20,9,5,12,19,,45,79,.570,17,33,.515,19,22,.864,5,44,28,5,2,14,17
59,59,2023-02-23,@,SAC,L,116,133,43,93,.462,16,38,.421,14,17,.824,9,33,26,12,3,12,23,,47,85,.553,14,34,.412,25,31,.806,12,49,27,9,4,18,16
60,60,2023-02-26,,HOU,W,131,114,42,77,.545,20,39,.513,27,35,.771,6,37,20,7,7,13,21,,45,100,.450,7,26,.269,17,25,.680,18,48,24,7,2,13,26
61,61,2023-02-28,@,GSW,L,105,123,37,86,.430,12,39,.308,19,22,.864,9,33,26,8,4,13,17,,49,91,.538,12,30,.400,13,16,.813,12,46,34,5,2,18,19
62,62,2023-03-01,,NOP,L,110,121,36,81,.444,11,38,.289,27,29,.931,12,41,18,5,8,14,18,,46,89,.517,9,25,.360,20,23,.870,11,41,23,9,4,6,20
63,63,2023-03-03,@,ATL,L,111,129,41,87,.471,13,39,.333,16,20,.800,9,34,22,11,7,17,15,,52,91,.571,12,26,.462,13,16,.813,10,43,30,10,5,17,19
64,64,2023-03-05,@,ORL,W,122,119,39,83,.470,16,47,.340,28,32,.875,9,46,27,9,5,17,22,,42,84,.500,11,31,.355,24,31,.774,6,38,29,11,2,11,25
65,65,2023-03-06,@,DET,W,110,104,38,78,.487,15,33,.455,19,25,.760,5,38,28,7,6,11,17,,40,86,.465,10,32,.313,14,20,.700,16,52,30,9,6,16,21
66,66,2023-03-08,@,BOS,L,93,115,30,82,.366,11,39,.282,22,27,.815,6,47,18,5,2,15,19,,42,88,.477,18,49,.367,13,20,.650,5,45,26,9,2,10,20
67,67,2023-03-10,@,PHI,L,119,120,42,80,.525,15,36,.417,20,30,.667,5,36,24,6,3,9,17,,43,83,.518,11,30,.367,23,29,.793,12,42,25,7,4,9,24
68,68,2023-03-12,@,NOP,L,110,127,43,88,.489,10,33,.303,14,20,.700,10,46,26,10,2,17,21,,43,86,.500,19,40,.475,22,29,.759,8,43,35,11,7,15,19
69,69,2023-03-14,,NYK,L,107,123,38,99,.384,17,45,.378,14,18,.778,11,38,22,8,3,10,19,,42,81,.519,15,35,.429,24,34,.706,9,52,23,8,8,12,13
70,70,2023-03-17,,BOS,L,112,126,38,79,.481,14,38,.368,22,31,.710,8,37,20,12,4,18,26,,41,87,.471,15,42,.357,29,35,.829,18,52,29,12,2,16,19
71,71,2023-03-19,,LAC,L,102,117,37,82,.451,6,29,.207,22,24,.917,11,40,24,7,9,13,14,,43,94,.457,12,28,.429,19,23,.826,18,49,26,11,3,9,18
72,72,2023-03-22,@,UTA,W,127,115,45,93,.484,13,41,.317,24,30,.800,7,43,28,9,5,8,24,,39,82,.476,11,35,.314,26,36,.722,7,47,24,4,5,17,21
73,73,2023-03-24,,CHI,L,96,124,37,86,.430,6,31,.194,16,18,.889,8,31,23,10,5,12,14,,48,84,.571,17,28,.607,11,14,.786,11,47,33,6,8,16,19
74,74,2023-03-26,,OKC,L,112,118,39,82,.476,14,32,.438,20,27,.741,8,37,18,5,7,18,22,,41,94,.436,12,35,.343,24,28,.857,13,42,23,13,2,11,19
75,75,2023-03-27,,NOP,L,90,124,35,90,.389,7,33,.212,13,15,.867,6,29,15,6,2,12,16,,49,86,.570,12,28,.429,14,17,.824,8,53,31,5,6,16,16
76,76,2023-03-29,,SAC,L,80,120,30,93,.323,9,39,.231,11,12,.917,8,45,18,5,6,14,15,,42,92,.457,18,48,.375,18,24,.750,10,59,30,9,4,8,11
77,77,2023-03-31,,SAC,L,114,138,40,85,.471,19,38,.500,15,23,.652,9,33,29,9,6,18,15,,54,88,.614,19,39,.487,11,15,.733,8,41,38,11,7,13,21
78,78,2023-04-02,@,MIN,W,107,105,43,93,.462,9,30,.300,12,20,.600,11,42,29,12,3,10,26,,38,79,.481,11,26,.423,18,23,.783,7,47,29,3,5,18,17
79,79,2023-04-04,@,MEM,L,109,119,42,97,.433,14,42,.333,11,17,.647,13,49,23,7,7,8,18,,42,87,.483,18,48,.375,17,22,.773,8,49,30,5,5,11,10
80,80,2023-04-06,@,SAS,L,127,129,51,96,.531,10,28,.357,15,18,.833,8,36,34,7,14,15,22,,47,106,.443,10,35,.286,25,28,.893,18,47,29,9,4,14,12
81,81,2023-04-08,@,LAC,L,125,136,47,89,.528,14,32,.438,17,23,.739,7,34,32,8,4,10,20,,49,93,.527,12,35,.343,26,30,.867,13,51,30,7,5,12,17
82,82,2023-04-09,,GSW,L,101,157,38,95,.400,9,35,.257,16,24,.667,6,30,25,5,3,14,9,,58,96,.604,27,49,.551,14,16,.875,9,58,47,13,6,15,18
