,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,SAC,L,121,124,115.7,118.6,104.6,.237,.376,.589,53.3,55.6,4.8,9.8,,.548,10.5,20.0,.204,,.549,8.7,85.1,.250
2,2,2021-10-23,,PHO,W,134,105,132.7,103.9,101.0,.181,.532,.660,55.8,47.1,7.9,8.2,,.654,8.1,20.5,.117,,.534,12.8,85.1,.112
3,3,2021-10-25,@,LAC,L,86,116,76.4,103.0,112.6,.212,.435,.463,52.2,46.9,9.8,8.0,,.424,24.4,15.6,.165,,.548,14.4,88.9,.151
4,4,2021-10-27,,MEM,W,116,96,119.2,98.7,97.3,.369,.429,.594,49.0,56.4,11.3,13.0,,.554,11.7,31.0,.274,,.453,16.8,62.5,.094
5,5,2021-10-29,,LAC,W,111,92,111.6,92.5,99.5,.163,.418,.528,59.4,51.2,8.0,13.3,,.515,11.8,30.2,.102,,.477,11.3,88.7,.103
6,6,2021-10-31,@,CHO,L,113,125,118.8,131.5,95.1,.113,.557,.555,51.6,69.8,4.2,10.6,,.531,10.5,30.6,.103,,.629,7.5,76.2,.146
7,7,2021-11-01,@,PHI,L,103,113,113.4,124.4,90.8,.214,.405,.560,57.0,52.5,5.5,4.3,,.548,13.2,32.5,.131,,.596,10.0,82.1,.169
8,8,2021-11-03,@,CLE,L,104,107,111.0,114.2,93.7,.189,.411,.533,47.6,60.0,12.8,13.6,,.517,8.5,20.8,.122,,.628,17.2,85.3,.189
9,9,2021-11-05,,IND,W,110,106,116.2,112.0,94.6,.183,.476,.621,51.2,67.5,7.4,8.7,,.591,12.8,15.4,.159,,.568,10.6,83.7,.068
10,10,2021-11-06,,LAL,W,105,90,101.0,86.6,104.0,.253,.579,.497,46.8,61.1,13.5,12.1,,.458,9.4,20.0,.189,,.394,15.9,78.4,.211
11,11,2021-11-09,@,LAC,L,109,117,114.8,123.2,95.0,.132,.407,.566,50.0,67.4,6.3,9.1,,.549,8.5,19.1,.099,,.612,7.9,87.2,.153
12,12,2021-11-10,@,PHO,L,109,119,112.6,122.9,96.8,.176,.330,.556,54.1,54.5,5.2,3.0,,.522,12.5,31.8,.154,,.580,9.2,78.0,.106
13,13,2021-11-12,@,HOU,W,104,92,104.4,92.4,99.6,.356,.414,.517,51.5,61.8,10.0,7.5,,.454,11.4,21.6,.287,,.441,11.8,82.0,.200
14,14,2021-11-14,@,DEN,L,95,124,107.0,139.7,88.8,.163,.488,.554,42.4,62.9,9.0,8.0,,.519,12.3,18.6,.150,,.628,8.6,66.7,.122
15,15,2021-11-15,,TOR,W,118,113,127.7,122.3,92.4,.171,.439,.669,50.0,54.3,6.5,12.5,,.659,12.0,20.6,.122,,.545,10.2,72.7,.180
16,16,2021-11-17,,CHI,W,112,107,117.8,112.6,95.1,.333,.369,.581,55.0,70.3,10.5,9.3,,.506,14.2,31.6,.321,,.548,14.0,76.2,.193
17,17,2021-11-20,,PHI,W,118,111,123.1,115.8,95.9,.288,.425,.655,54.3,57.5,6.3,13.2,,.594,11.8,14.7,.288,,.568,10.9,91.7,.235
18,18,2021-11-23,,DEN,W,119,100,129.8,109.1,91.7,.227,.443,.615,53.8,55.6,13.1,15.6,,.597,8.5,28.6,.159,,.583,17.0,81.6,.115
19,19,2021-11-24,@,SAC,L,121,125,121.0,124.9,100.0,.266,.404,.576,50.0,61.4,9.0,1.9,,.532,11.0,31.0,.223,,.593,12.2,68.2,.267
20,20,2021-11-26,@,GSW,L,103,118,106.4,121.9,96.8,.267,.442,.536,43.5,63.9,7.2,4.0,,.494,9.4,15.9,.209,,.609,13.8,73.2,.138
21,21,2021-11-29,@,UTA,L,107,129,115.0,138.6,93.1,.187,.341,.543,49.4,45.2,1.1,7.0,,.522,7.5,25.5,.132,,.635,4.8,78.9,.180
22,22,2021-11-30,,DET,W,110,92,111.0,92.9,99.1,.188,.438,.529,48.9,58.5,8.1,12.2,,.500,8.8,20.8,.146,,.441,16.8,82.5,.329
23,23,2021-12-02,,SAS,L,83,114,83.3,114.3,99.7,.207,.415,.464,46.1,65.5,8.0,10.9,,.427,16.7,16.0,.159,,.560,10.9,84.6,.132
24,24,2021-12-04,,BOS,L,117,145,119.4,148.0,98.0,.360,.326,.568,41.0,52.4,7.1,4.0,,.517,8.0,20.9,.281,,.684,9.9,65.7,.299
25,25,2021-12-06,,LAC,L,90,102,90.8,102.9,99.1,.253,.278,.513,54.9,45.7,6.1,10.7,,.475,17.0,18.9,.190,,.505,11.7,84.4,.098
26,26,2021-12-08,@,GSW,L,94,104,95.1,105.2,98.9,.350,.375,.509,47.2,72.7,5.1,8.1,,.463,14.8,15.9,.250,,.482,13.4,77.8,.289
27,27,2021-12-12,,MIN,L,111,116,110.2,115.2,100.7,.346,.593,.595,51.7,67.6,8.9,16.3,,.568,16.9,27.3,.235,,.529,14.6,76.7,.306
28,28,2021-12-14,,PHO,L,107,111,103.0,106.9,94.1,.229,.427,.506,49.5,57.5,6.7,4.8,,.484,11.0,22.6,.146,,.532,12.3,81.8,.129
29,29,2021-12-15,,MEM,L,103,113,104.1,114.2,98.9,.341,.463,.546,41.8,58.1,9.1,12.0,,.470,12.1,10.6,.317,,.543,13.6,75.0,.293
30,30,2021-12-17,,CHO,W,125,116,125.7,116.6,99.5,.212,.553,.673,51.9,61.4,7.0,10.9,,.641,13.9,20.0,.188,,.549,11.5,77.3,.163
31,31,2021-12-19,@,MEM,W,105,100,110.0,104.7,95.5,.378,.432,.608,60.7,48.6,4.2,15.8,,.547,18.8,28.1,.324,,.434,7.3,80.8,.231
32,32,2021-12-21,@,NOP,L,97,111,107.7,123.2,90.1,.244,.436,.562,41.3,51.4,13.3,8.5,,.532,10.4,16.3,.179,,.600,14.6,75.0,.188
33,33,2021-12-27,,DAL,L,117,132,117.8,132.9,99.3,.512,.488,.582,44.6,54.3,4.0,9.8,,.500,9.9,20.5,.427,,.643,11.7,71.4,.286
34,34,2021-12-29,,UTA,L,105,120,109.0,124.6,96.3,.273,.455,.533,49.5,62.2,6.2,5.2,,.500,9.2,25.0,.193,,.575,9.8,72.3,.230
35,35,2021-12-31,@,LAL,L,106,139,107.7,141.2,98.5,.265,.412,.465,53.5,52.8,4.1,4.5,,.412,7.3,33.3,.216,,.665,6.7,86.8,.306
36,36,2022-01-03,,ATL,W,136,131,138.9,133.8,97.9,.315,.461,.671,51.3,61.7,10.2,6.4,,.629,8.2,28.6,.270,,.625,10.9,76.3,.239
37,37,2022-01-05,,MIA,L,109,115,123.0,129.8,88.6,.462,.487,.581,41.9,54.5,9.0,9.8,,.519,5.1,18.2,.359,,.567,10.4,66.7,.268
38,38,2022-01-07,,CLE,L,101,114,110.0,124.2,91.8,.207,.380,.503,54.3,59.5,8.7,12.2,,.489,9.9,31.4,.120,,.594,7.9,81.4,.238
39,39,2022-01-09,,SAC,W,103,88,106.0,90.6,97.2,.170,.455,.544,51.1,70.3,6.2,9.3,,.517,14.5,20.8,.136,,.429,11.3,82.6,.176
40,40,2022-01-10,,BRK,W,114,108,116.9,110.7,97.5,.302,.442,.585,52.8,57.5,8.2,15.3,,.552,11.8,26.8,.221,,.527,13.3,75.0,.132
41,41,2022-01-13,@,DEN,L,108,140,108.5,140.7,99.5,.326,.465,.549,45.9,71.8,11.1,12.2,,.529,13.2,24.4,.198,,.753,14.0,79.3,.181
42,42,2022-01-15,@,WAS,W,115,110,111.0,106.1,103.6,.412,.459,.573,47.6,48.7,12.5,3.8,,.535,10.7,19.5,.282,,.500,16.7,75.6,.222
43,43,2022-01-17,@,ORL,W,98,88,95.7,85.9,102.4,.200,.378,.500,52.4,54.1,8.8,13.8,,.450,14.8,21.6,.189,,.422,13.9,81.5,.133
44,44,2022-01-19,@,MIA,L,92,104,99.0,111.9,92.9,.198,.568,.522,50.0,57.6,7.5,13.3,,.494,15.4,22.7,.148,,.538,13.3,78.6,.225
45,45,2022-01-21,@,BOS,W,109,105,116.6,112.3,93.5,.395,.434,.611,50.0,55.6,6.4,8.9,,.579,12.7,17.1,.276,,.518,10.7,81.4,.244
46,46,2022-01-23,@,TOR,W,114,105,113.2,104.3,100.7,.153,.376,.628,52.2,68.9,7.9,15.9,,.635,19.5,26.3,.071,,.490,12.6,71.2,.092
47,47,2022-01-25,,MIN,L,107,109,109.0,111.0,98.2,.213,.436,.520,50.5,70.3,4.1,5.1,,.479,12.0,28.3,.181,,.524,13.6,76.1,.280
48,48,2022-01-26,,DAL,L,112,132,113.5,133.8,98.6,.280,.463,.608,45.8,64.3,4.1,1.9,,.598,8.9,7.1,.171,,.636,7.4,85.4,.227
