,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,SAC,L,121,124,45,93,.484,12,35,.343,19,22,.864,9,49,25,5,5,12,22,115.7,118.6,104.6,.237,.376,.589,53.3,55.6,4.8,9.8,.548,10.5,20.0,.204,.549,8.7,85.1,.250
1,2021-10-23,H,PHO,W,134,105,51,94,.543,21,50,.420,11,17,.647,8,48,24,8,5,9,15,132.7,103.9,101.0,.181,.532,.660,55.8,47.1,7.9,8.2,.654,8.1,20.5,.117,.534,12.8,85.1,.112
2,2021-10-25,A,LAC,L,86,116,32,85,.376,8,37,.216,14,18,.778,7,47,15,11,4,30,18,76.4,103.0,112.6,.212,.435,.463,52.2,46.9,9.8,8.0,.424,24.4,15.6,.165,.548,14.4,88.9,.151
3,2021-10-27,H,MEM,W,116,96,39,84,.464,15,36,.417,23,31,.742,13,48,22,11,6,13,20,119.2,98.7,97.3,.369,.429,.594,49.0,56.4,11.3,13.0,.554,11.7,31.0,.274,.453,16.8,62.5,.094
4,2021-10-29,H,LAC,W,111,92,41,98,.418,19,41,.463,10,16,.625,16,63,21,8,6,14,19,111.6,92.5,99.5,.163,.418,.528,59.4,51.2,8.0,13.3,.515,11.8,30.2,.102,.477,11.3,88.7,.103
5,2021-10-31,A,CHO,L,113,125,43,97,.443,17,54,.315,10,11,.909,15,47,30,4,5,12,18,118.8,131.5,95.1,.113,.557,.555,51.6,69.8,4.2,10.6,.531,10.5,30.6,.103,.629,7.5,76.2,.146
6,2021-11-01,A,PHI,L,103,113,40,84,.476,12,34,.353,11,18,.611,13,45,21,5,2,14,15,113.4,124.4,90.8,.214,.405,.560,57.0,52.5,5.5,4.3,.548,13.2,32.5,.131,.596,10.0,82.1,.169
7,2021-11-03,A,CLE,L,104,107,40,90,.444,13,37,.351,11,17,.647,10,39,24,12,6,9,19,111.0,114.2,93.7,.189,.411,.533,47.6,60.0,12.8,13.6,.517,8.5,20.8,.122,.628,17.2,85.3,.189
8,2021-11-05,H,IND,W,110,106,40,82,.488,17,39,.436,13,15,.867,6,42,27,7,4,13,15,116.2,112.0,94.6,.183,.476,.621,51.2,67.5,7.4,8.7,.591,12.8,15.4,.159,.568,10.6,83.7,.068
9,2021-11-06,H,LAL,W,105,90,36,95,.379,15,55,.273,18,24,.750,12,52,22,14,7,11,21,101.0,86.6,104.0,.253,.579,.497,46.8,61.1,13.5,12.1,.458,9.4,20.0,.189,.394,15.9,78.4,.211
10,2021-11-09,A,LAC,L,109,117,43,91,.473,14,37,.378,9,12,.750,9,43,29,6,5,9,15,114.8,123.2,95.0,.132,.407,.566,50.0,67.4,6.3,9.1,.549,8.5,19.1,.099,.612,7.9,87.2,.153
11,2021-11-10,A,PHO,L,109,119,44,91,.484,7,30,.233,14,16,.875,14,46,24,5,2,14,21,112.6,122.9,96.8,.176,.330,.556,54.1,54.5,5.2,3.0,.522,12.5,31.8,.154,.580,9.2,78.0,.106
12,2021-11-12,A,HOU,W,104,92,34,87,.391,11,36,.306,25,31,.806,11,52,21,10,4,13,27,104.4,92.4,99.6,.356,.414,.517,51.5,61.8,10.0,7.5,.454,11.4,21.6,.287,.441,11.8,82.0,.200
13,2021-11-14,A,DEN,L,95,124,35,80,.438,13,39,.333,12,13,.923,8,36,22,8,4,12,15,107.0,139.7,88.8,.163,.488,.554,42.4,62.9,9.0,8.0,.519,12.3,18.6,.150,.628,8.6,66.7,.122
14,2021-11-15,H,TOR,W,118,113,46,82,.561,16,36,.444,10,14,.714,7,39,25,6,7,12,15,127.7,122.3,92.4,.171,.439,.669,50.0,54.3,6.5,12.5,.659,12.0,20.6,.122,.545,10.2,72.7,.180
15,2021-11-17,H,CHI,W,112,107,37,84,.440,11,31,.355,27,28,.964,12,44,26,10,5,16,19,117.8,112.6,95.1,.333,.369,.581,55.0,70.3,10.5,9.3,.506,14.2,31.6,.321,.548,14.0,76.2,.193
16,2021-11-20,H,PHI,W,118,111,40,80,.500,15,34,.441,23,23,1.000,5,38,23,6,7,12,21,123.1,115.8,95.9,.288,.425,.655,54.3,57.5,6.3,13.2,.594,11.8,14.7,.288,.568,10.9,91.7,.235
17,2021-11-23,H,DEN,W,119,100,45,88,.511,15,39,.385,14,20,.700,12,43,25,12,7,9,18,129.8,109.1,91.7,.227,.443,.615,53.8,55.6,13.1,15.6,.597,8.5,28.6,.159,.583,17.0,81.6,.115
18,2021-11-24,A,SAC,L,121,125,44,94,.468,12,38,.316,21,25,.840,13,43,27,9,1,13,26,121.0,124.9,100.0,.266,.404,.576,50.0,61.4,9.0,1.9,.532,11.0,31.0,.223,.593,12.2,68.2,.267
19,2021-11-26,A,GSW,L,103,118,36,86,.419,13,38,.342,18,23,.783,7,37,23,7,2,10,13,106.4,121.9,96.8,.267,.442,.536,43.5,63.9,7.2,4.0,.494,9.4,15.9,.209,.609,13.8,73.2,.138
20,2021-11-29,A,UTA,L,107,129,42,91,.462,11,31,.355,12,17,.706,12,42,19,1,3,8,18,115.0,138.6,93.1,.187,.341,.543,49.4,45.2,1.1,7.0,.522,7.5,25.5,.132,.635,4.8,78.9,.180
21,2021-11-30,H,DET,W,110,92,41,96,.427,14,42,.333,14,18,.778,10,43,24,8,5,10,22,111.0,92.9,99.1,.188,.438,.529,48.9,58.5,8.1,12.2,.500,8.8,20.8,.146,.441,16.8,82.5,.329
22,2021-12-02,H,SAS,L,83,114,29,82,.354,12,34,.353,13,17,.765,8,41,19,8,6,18,20,83.3,114.3,99.7,.207,.415,.464,46.1,65.5,8.0,10.9,.427,16.7,16.0,.159,.560,10.9,84.6,.132
23,2021-12-04,H,BOS,L,117,145,42,89,.472,8,29,.276,25,32,.781,9,32,22,7,2,9,21,119.4,148.0,98.0,.360,.326,.568,41.0,52.4,7.1,4.0,.517,8.0,20.9,.281,.684,9.9,65.7,.299
24,2021-12-06,H,LAC,L,90,102,35,79,.443,5,22,.227,15,20,.750,7,45,16,6,6,18,19,90.8,102.9,99.1,.253,.278,.513,54.9,45.7,6.1,10.7,.475,17.0,18.9,.190,.505,11.7,84.4,.098
25,2021-12-08,A,GSW,L,94,104,33,80,.413,8,30,.267,20,28,.714,7,42,24,5,3,16,24,95.1,105.2,98.9,.350,.375,.509,47.2,72.7,5.1,8.1,.463,14.8,15.9,.250,.482,13.4,77.8,.289
26,2021-12-12,H,MIN,L,111,116,37,81,.457,18,48,.375,19,28,.679,12,45,25,9,8,19,25,110.2,115.2,100.7,.346,.593,.595,51.7,67.6,8.9,16.3,.568,16.9,27.3,.235,.529,14.6,76.7,.306
27,2021-12-14,H,PHO,L,107,111,40,96,.417,13,41,.317,14,22,.636,12,48,23,7,3,13,18,103.0,106.9,94.1,.229,.427,.506,49.5,57.5,6.7,4.8,.484,11.0,22.6,.146,.532,12.3,81.8,.129
28,2021-12-15,H,MEM,L,103,113,31,82,.378,15,38,.395,26,28,.929,5,38,18,9,6,13,21,104.1,114.2,98.9,.341,.463,.546,41.8,58.1,9.1,12.0,.470,12.1,10.6,.317,.543,13.6,75.0,.293
29,2021-12-17,H,CHO,W,125,116,44,85,.518,21,47,.447,16,18,.889,7,41,27,7,6,15,20,125.7,116.6,99.5,.212,.553,.673,51.9,61.4,7.0,10.9,.641,13.9,20.0,.188,.549,11.5,77.3,.163
30,2021-12-19,A,MEM,W,105,100,35,74,.473,11,32,.344,24,28,.857,9,51,17,4,9,20,18,110.0,104.7,95.5,.378,.432,.608,60.7,48.6,4.2,15.8,.547,18.8,28.1,.324,.434,7.3,80.8,.231
31,2021-12-21,A,NOP,L,97,111,35,78,.449,13,34,.382,14,19,.737,7,31,18,12,4,10,17,107.7,123.2,90.1,.244,.436,.562,41.3,51.4,13.3,8.5,.532,10.4,16.3,.179,.600,14.6,75.0,.188
32,2021-12-27,H,DAL,L,117,132,35,82,.427,12,40,.300,35,42,.833,8,33,19,4,5,11,28,117.8,132.9,99.3,.512,.488,.582,44.6,54.3,4.0,9.8,.500,9.9,20.5,.427,.643,11.7,71.4,.286
33,2021-12-29,H,UTA,L,105,120,37,88,.420,14,40,.350,17,24,.708,11,45,23,6,3,10,28,109.0,124.6,96.3,.273,.455,.533,49.5,62.2,6.2,5.2,.500,9.2,25.0,.193,.575,9.8,72.3,.230
34,2021-12-31,A,LAL,L,106,139,36,102,.353,12,42,.286,22,27,.815,21,54,19,4,2,9,22,107.7,141.2,98.5,.265,.412,.465,53.5,52.8,4.1,4.5,.412,7.3,33.3,.216,.665,6.7,86.8,.306
35,2022-01-03,H,ATL,W,136,131,47,89,.528,18,41,.439,24,28,.857,12,41,29,10,3,9,19,138.9,133.8,97.9,.315,.461,.671,51.3,61.7,10.2,6.4,.629,8.2,28.6,.270,.625,10.9,76.3,.239
36,2022-01-05,H,MIA,L,109,115,33,78,.423,15,38,.395,28,36,.778,8,36,18,8,4,5,23,123.0,129.8,88.6,.462,.487,.581,41.9,54.5,9.0,9.8,.519,5.1,18.2,.359,.567,10.4,66.7,.268
37,2022-01-07,H,CLE,L,101,114,37,92,.402,16,35,.457,11,19,.579,16,51,22,8,5,11,19,110.0,124.2,91.8,.207,.380,.503,54.3,59.5,8.7,12.2,.489,9.9,31.4,.120,.594,7.9,81.4,.238
38,2022-01-09,H,SAC,W,103,88,37,88,.420,17,40,.425,12,15,.800,10,48,26,6,5,16,23,106.0,90.6,97.2,.170,.455,.544,51.1,70.3,6.2,9.3,.517,14.5,20.8,.136,.429,11.3,82.6,.176
