,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,,POR,L,108,115,39,85,.459,17,44,.386,13,19,.684,4,41,27,8,5,15,25,,39,88,.443,11,28,.393,26,33,.788,11,44,20,11,2,11,17
2,2,2022-10-22,,LAC,L,109,111,40,85,.471,14,35,.400,15,26,.577,9,39,24,5,5,12,21,,41,81,.506,9,22,.409,20,22,.909,5,40,24,8,3,13,21
3,3,2022-10-23,@,GSW,L,125,130,47,100,.470,11,43,.256,20,25,.800,13,51,31,10,2,16,29,,45,87,.517,14,33,.424,26,36,.722,6,37,24,7,5,13,21
4,4,2022-10-27,,MEM,L,110,125,40,83,.482,12,38,.316,18,22,.818,9,40,28,5,2,13,20,,49,92,.533,14,33,.424,13,18,.722,11,43,27,5,3,12,18
5,5,2022-10-29,,MIA,W,119,113,42,76,.553,14,31,.452,21,29,.724,6,43,27,1,6,20,29,,38,89,.427,11,28,.393,26,31,.839,9,34,18,7,3,8,25
6,6,2022-10-31,@,CHO,W,115,108,37,85,.435,17,44,.386,24,28,.857,10,42,26,8,4,19,19,,43,84,.512,14,29,.483,8,14,.571,6,38,31,11,6,20,26
7,7,2022-11-02,@,MIA,L,107,110,41,86,.477,13,36,.361,12,14,.857,4,39,29,4,3,12,18,,44,89,.494,11,34,.324,11,13,.846,9,46,27,5,5,11,20
8,8,2022-11-05,@,ORL,W,126,123,47,93,.505,15,40,.375,17,26,.654,6,36,24,5,4,14,20,,50,92,.543,4,23,.174,19,20,.950,7,48,27,8,4,17,26
9,9,2022-11-07,@,GSW,L,113,116,37,91,.407,14,40,.350,25,29,.862,9,43,24,9,0,10,20,,44,88,.500,14,38,.368,14,21,.667,8,48,28,5,4,15,21
10,10,2022-11-09,,CLE,W,127,120,40,76,.526,17,39,.436,30,35,.857,2,24,30,12,4,9,20,,46,86,.535,11,26,.423,17,20,.850,12,42,24,4,1,18,23
11,11,2022-11-11,@,LAL,W,120,114,45,87,.517,12,36,.333,18,21,.857,10,40,27,10,4,15,17,,42,88,.477,10,25,.400,20,26,.769,14,41,22,11,5,14,22
12,12,2022-11-13,,GSW,W,122,115,47,91,.516,16,37,.432,12,19,.632,9,45,31,8,2,15,17,,42,90,.467,16,47,.340,15,16,.938,8,43,27,5,5,18,20
13,13,2022-11-15,,BRK,W,153,121,56,94,.596,20,41,.488,21,25,.840,9,43,39,9,4,16,24,,40,81,.494,11,28,.393,30,33,.909,3,29,25,5,3,17,18
14,14,2022-11-17,,SAS,W,130,112,48,83,.578,12,30,.400,22,24,.917,6,37,28,7,1,12,15,,46,84,.548,11,26,.423,9,12,.750,7,32,29,8,6,18,22
15,15,2022-11-20,,DET,W,137,129,47,85,.553,12,35,.343,31,35,.886,8,41,29,4,0,11,18,,47,89,.528,15,29,.517,20,23,.870,10,35,20,4,3,12,24
16,16,2022-11-22,@,MEM,W,113,109,39,90,.433,15,45,.333,20,27,.741,9,45,27,11,2,18,25,,41,91,.451,8,30,.267,19,30,.633,13,49,26,12,10,18,23
17,17,2022-11-23,@,ATL,L,106,115,41,89,.461,9,31,.290,15,21,.714,10,48,27,6,2,18,23,,41,92,.446,11,30,.367,22,23,.957,10,47,23,9,6,13,20
