,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,@,POR,W,124,121,118.6,115.7,104.6,.315,.446,.592,46.7,57.1,5.7,6.9,,.549,8.7,14.9,.250,,.548,10.5,80.0,.204
2,2,2021-10-22,,UTA,L,101,110,98.8,107.6,102.3,.212,.364,.467,50.5,51.3,14.7,10.4,,.434,12.2,29.6,.152,,.500,14.5,73.5,.222
3,3,2021-10-24,,GSW,L,107,119,109.8,122.1,97.4,.151,.535,.583,52.2,61.9,0.0,6.7,,.576,17.2,25.6,.093,,.510,5.3,72.5,.206
4,4,2021-10-27,@,PHO,W,110,107,110.0,107.0,100.0,.158,.400,.541,41.7,66.7,7.0,8.5,,.521,9.8,16.0,.116,,.484,9.6,69.6,.183
5,5,2021-10-29,@,NOP,W,113,109,110.5,106.6,102.3,.313,.338,.621,47.9,47.5,3.9,7.8,,.556,13.3,7.7,.300,,.474,8.4,76.4,.163
6,6,2021-10-31,@,DAL,L,99,105,103.2,109.5,95.9,.208,.375,.472,55.4,52.6,6.3,5.7,,.432,10.3,32.7,.167,,.511,8.3,79.6,.144
7,7,2021-11-02,@,UTA,L,113,119,106.1,111.7,106.5,.258,.333,.546,39.2,57.1,7.5,16.0,,.516,9.6,12.0,.183,,.510,12.7,68.1,.194
8,8,2021-11-03,,NOP,W,112,99,117.9,104.2,95.0,.275,.375,.624,48.1,64.3,8.4,13.5,,.588,8.2,11.1,.225,,.500,14.7,80.5,.151
9,9,2021-11-05,,CHO,W,140,110,138.3,108.6,101.3,.299,.506,.711,66.7,60.4,4.9,1.8,,.678,15.5,38.2,.253,,.527,9.0,86.0,.141
10,10,2021-11-07,,IND,L,91,94,96.9,100.1,94.0,.262,.405,.486,37.9,64.5,14.9,10.3,,.429,11.4,16.3,.226,,.482,17.3,65.8,.169
11,11,2021-11-08,,PHO,L,104,109,98.0,102.7,106.2,.317,.293,.557,54.8,48.6,5.7,9.5,,.512,20.4,19.5,.244,,.538,12.5,88.4,.097
12,12,2021-11-10,@,SAS,L,117,136,116.9,135.9,100.1,.176,.396,.597,50.6,42.6,4.0,10.0,,.571,13.3,26.2,.143,,.630,7.0,73.3,.217
13,13,2021-11-12,@,OKC,L,103,105,104.3,106.4,98.7,.179,.432,.503,48.5,52.6,5.1,10.1,,.474,11.3,23.4,.137,,.475,8.7,70.4,.111
14,14,2021-11-15,@,DET,W,129,107,126.8,105.1,101.8,.112,.337,.627,50.0,61.5,10.8,10.2,,.612,11.2,26.2,.092,,.474,14.1,69.2,.167
15,15,2021-11-17,@,MIN,L,97,107,104.7,115.5,92.6,.269,.409,.466,57.3,55.9,7.6,6.5,,.419,13.3,44.4,.204,,.561,15.9,73.0,.183
16,16,2021-11-19,,TOR,L,89,108,95.0,115.3,93.7,.298,.440,.468,43.0,46.9,8.5,7.5,,.435,12.0,21.6,.190,,.524,12.9,69.0,.238
17,17,2021-11-20,,UTA,L,105,123,110.3,129.2,95.2,.231,.341,.524,40.2,48.8,8.4,9.6,,.505,7.4,17.4,.143,,.599,10.0,65.9,.154
18,18,2021-11-22,,PHI,L,94,102,102.5,111.3,91.7,.363,.388,.507,52.1,51.5,4.4,0.0,,.456,12.3,24.4,.263,,.476,6.7,77.6,.247
19,19,2021-11-24,,POR,W,125,121,124.9,121.0,100.0,.395,.384,.619,50.0,46.7,4.0,7.1,,.593,12.2,31.8,.267,,.532,11.0,69.0,.223
20,20,2021-11-26,@,LAL,W,141,137,114.0,110.8,94.2,.242,.375,.531,52.3,59.3,8.9,6.9,,.508,8.9,27.6,.158,,.574,14.3,81.6,.196
21,21,2021-11-28,@,MEM,L,101,128,95.1,120.5,106.2,.381,.433,.446,41.9,51.5,4.7,12.3,,.387,6.6,18.2,.268,,.543,7.4,72.5,.144
22,22,2021-11-30,,LAL,L,92,117,92.2,117.2,99.8,.278,.367,.519,46.0,62.9,11.0,6.3,,.481,17.6,19.6,.203,,.560,12.2,75.6,.152
23,23,2021-12-01,@,LAC,W,124,115,126.4,117.2,98.1,.227,.432,.640,43.7,60.9,8.2,1.4,,.608,10.2,17.9,.193,,.515,9.3,64.6,.120
24,24,2021-12-04,,LAC,W,104,99,101.5,96.6,102.5,.291,.395,.536,52.0,52.8,7.8,14.5,,.488,13.4,22.4,.233,,.455,14.4,81.6,.202
25,25,2021-12-08,,ORL,W,142,130,142.2,130.2,99.9,.258,.351,.657,50.0,45.3,8.0,11.1,,.624,6.9,31.6,.216,,.577,10.1,64.6,.186
26,26,2021-12-10,@,CHO,L,123,124,125.3,126.3,98.2,.168,.406,.567,55.2,45.8,11.2,7.7,,.545,11.4,41.7,.129,,.632,13.5,71.8,.161
27,27,2021-12-11,@,CLE,L,103,117,97.2,110.4,106.0,.237,.301,.502,50.5,46.3,7.5,10.5,,.478,14.2,21.6,.151,,.534,12.2,84.1,.261
28,28,2021-12-13,@,TOR,L,101,124,100.9,123.8,100.1,.223,.362,.489,53.5,55.3,5.0,6.0,,.463,14.1,33.3,.149,,.597,7.2,81.0,.071
29,29,2021-12-15,,WAS,W,119,105,120.8,106.6,98.5,.354,.317,.628,50.0,55.6,7.1,9.2,,.598,10.4,15.8,.256,,.500,9.2,82.5,.180
30,30,2021-12-17,,MEM,L,105,124,100.3,118.4,104.7,.295,.398,.528,47.4,58.3,4.8,8.2,,.483,15.3,20.8,.227,,.531,9.2,74.5,.216
31,31,2021-12-19,,SAS,W,121,114,126.3,119.0,95.8,.198,.275,.612,47.6,50.0,11.5,4.5,,.582,10.0,26.2,.165,,.560,12.6,69.0,.132
32,32,2021-12-20,@,GSW,L,98,113,99.4,114.6,98.6,.193,.386,.544,46.8,62.2,10.1,5.9,,.524,17.4,15.8,.133,,.608,14.8,75.6,.068
33,33,2021-12-22,,LAC,L,89,105,93.2,110.0,95.5,.141,.447,.493,48.2,70.6,7.3,8.6,,.471,15.1,15.9,.106,,.555,11.9,84.6,.171
34,34,2021-12-26,,MEM,L,102,127,102.1,127.1,99.9,.333,.358,.549,41.8,64.7,7.0,12.9,,.481,16.2,20.9,.296,,.515,8.9,60.4,.240
35,35,2021-12-28,,OKC,W,117,111,113.0,107.2,103.5,.284,.411,.547,55.9,62.5,2.9,15.8,,.511,8.6,22.9,.211,,.450,7.8,85.2,.333
36,36,2021-12-29,,DAL,W,95,94,108.2,107.1,87.8,.200,.347,.582,51.4,58.3,5.7,3.5,,.547,14.6,19.4,.173,,.525,11.3,81.6,.111
37,37,2021-12-31,,DAL,L,96,112,104.0,121.3,92.3,.132,.319,.499,41.3,65.8,7.6,6.8,,.473,9.4,17.8,.110,,.574,10.8,71.4,.235
38,38,2022-01-02,,MIA,W,115,113,118.9,116.9,96.7,.346,.436,.640,44.3,77.5,3.1,2.8,,.596,15.1,18.4,.282,,.481,7.5,64.0,.114
39,39,2022-01-04,@,LAL,L,114,122,116.7,124.9,97.7,.217,.410,.627,50.6,72.1,2.0,4.5,,.602,16.5,23.1,.169,,.551,4.4,72.0,.131
40,40,2022-01-05,,ATL,L,102,108,104.8,110.9,97.4,.222,.300,.516,49.5,39.5,6.2,1.8,,.483,10.0,20.8,.167,,.500,9.2,78.7,.256
41,41,2022-01-07,@,DEN,L,111,121,113.7,124.0,97.6,.261,.315,.541,53.4,52.5,6.1,5.9,,.495,9.7,25.0,.217,,.624,6.8,87.5,.176
42,42,2022-01-09,@,POR,L,88,103,90.6,106.0,97.2,.247,.365,.467,48.9,60.6,8.2,10.4,,.429,11.3,17.4,.176,,.517,14.5,79.2,.136
43,43,2022-01-10,,CLE,L,108,109,116.1,117.2,93.0,.242,.330,.536,47.3,51.3,10.7,5.7,,.505,9.0,30.6,.176,,.552,14.6,66.7,.149
44,44,2022-01-12,,LAL,W,125,116,125.7,116.6,99.5,.213,.337,.642,50.0,57.1,8.0,13.7,,.612,11.0,21.1,.180,,.510,7.7,71.2,.163
45,45,2022-01-14,,HOU,W,126,114,117.4,106.2,107.3,.250,.385,.591,51.5,68.8,7.5,12.1,,.568,11.6,26.0,.177,,.500,12.9,75.5,.129
46,46,2022-01-16,,HOU,L,112,118,107.5,113.3,104.2,.264,.418,.551,44.0,63.4,15.4,5.6,,.516,10.6,14.0,.198,,.645,20.3,88.2,.263
47,47,2022-01-19,,DET,L,131,133,134.7,136.8,97.2,.524,.321,.634,46.1,50.0,4.1,14.5,,.595,6.3,22.2,.369,,.588,7.1,67.5,.286
48,48,2022-01-22,@,MIL,L,127,133,125.9,131.9,100.9,.165,.381,.610,52.7,56.9,4.0,4.1,,.603,11.9,27.7,.103,,.610,6.4,79.5,.242
49,49,2022-01-25,@,BOS,L,75,128,78.4,133.8,95.7,.158,.347,.369,40.2,51.7,7.3,13.8,,.337,9.0,23.1,.116,,.592,9.4,63.8,.058
50,50,2022-01-26,@,ATL,L,104,121,104.4,121.5,99.6,.204,.430,.513,46.7,59.0,6.0,5.6,,.484,10.6,19.2,.151,,.600,7.6,84.2,.144
51,51,2022-01-29,@,PHI,L,101,103,108.6,110.8,93.0,.244,.427,.556,54.4,66.7,9.7,5.0,,.512,12.5,23.3,.207,,.600,17.3,91.7,.271
52,52,2022-01-31,@,NYK,L,96,116,96.1,116.1,99.9,.256,.442,.502,43.4,64.9,6.0,11.1,,.494,14.3,18.8,.128,,.581,15.5,77.1,.288
53,53,2022-02-02,,BRK,W,112,101,121.4,109.5,92.3,.194,.452,.555,54.5,56.1,8.7,11.9,,.516,9.8,33.3,.172,,.536,12.6,76.7,.131
54,54,2022-02-03,@,GSW,L,114,126,119.0,131.5,95.8,.288,.388,.632,38.5,69.0,13.6,7.1,,.594,14.3,13.9,.238,,.679,14.1,69.0,.143
55,55,2022-02-05,,OKC,W,113,103,113.2,103.1,99.9,.265,.386,.610,53.4,69.8,13.0,7.0,,.590,13.9,17.1,.181,,.534,13.0,85.1,.115
56,56,2022-02-08,,MIN,L,114,134,108.4,127.4,105.2,.313,.301,.604,43.7,70.7,3.8,5.0,,.548,16.7,13.2,.277,,.587,9.7,67.3,.115
57,57,2022-02-09,,MIN,W,132,119,125.2,112.9,105.4,.290,.323,.629,60.0,66.7,3.8,13.5,,.581,11.0,28.2,.258,,.531,8.6,87.0,.153
58,58,2022-02-12,@,WAS,W,123,110,130.5,116.7,94.3,.382,.368,.693,56.8,62.8,4.2,4.0,,.645,13.6,21.4,.329,,.540,8.5,78.3,.170
59,59,2022-02-14,@,BRK,L,85,109,84.4,108.2,100.7,.200,.389,.434,46.7,38.7,7.9,6.9,,.394,15.5,20.4,.156,,.565,15.0,84.2,.167
60,60,2022-02-16,@,CHI,L,118,125,120.6,127.7,97.9,.262,.357,.630,43.4,55.8,9.2,4.6,,.583,12.2,17.1,.238,,.564,9.7,69.0,.202
61,61,2022-02-24,,DEN,L,110,128,105.9,123.3,103.8,.209,.337,.586,46.6,58.1,4.8,15.7,,.552,13.8,14.3,.174,,.645,14.4,90.3,.198
62,62,2022-02-26,@,DEN,L,110,115,107.2,112.0,102.6,.371,.337,.531,50.0,63.2,3.9,7.7,,.478,10.4,18.0,.281,,.561,11.2,90.0,.280
63,63,2022-02-28,@,OKC,W,131,110,125.4,105.3,104.5,.345,.356,.654,54.8,61.2,9.6,11.8,,.621,13.8,26.2,.264,,.529,14.0,83.3,.221
64,64,2022-03-02,@,NOP,L,95,125,96.4,126.9,98.5,.281,.393,.475,43.2,57.1,9.1,6.8,,.438,9.9,21.8,.191,,.653,13.9,78.8,.114
65,65,2022-03-03,@,SAS,W,115,112,112.6,109.6,102.2,.376,.376,.580,55.1,66.7,5.9,3.3,,.518,11.6,20.9,.318,,.559,9.9,87.0,.086
66,66,2022-03-05,@,DAL,L,113,114,115.1,116.1,98.2,.191,.266,.554,53.6,52.2,5.1,2.1,,.537,12.1,25.6,.128,,.560,9.4,77.8,.238
67,67,2022-03-07,,NYK,L,115,131,114.5,130.5,100.4,.450,.400,.600,46.0,59.0,4.0,4.0,,.556,10.3,9.5,.325,,.609,7.3,80.0,.207
68,68,2022-03-09,,DEN,L,100,106,100.8,106.9,99.2,.212,.400,.538,42.7,63.2,11.1,10.6,,.518,14.7,16.3,.141,,.543,18.1,75.0,.207
69,69,2022-03-12,@,UTA,L,125,134,127.8,137.0,97.8,.223,.351,.605,42.9,57.4,6.1,6.7,,.569,6.3,19.0,.191,,.651,8.3,71.4,.256
70,70,2022-03-14,,CHI,W,112,103,113.1,104.0,99.0,.317,.305,.599,52.9,64.1,10.1,5.6,,.537,13.8,18.4,.293,,.466,11.7,80.9,.239
71,71,2022-03-16,,MIL,L,126,135,118.1,126.5,106.7,.223,.457,.610,45.3,58.7,7.5,9.3,,.574,12.7,15.2,.191,,.629,9.6,80.0,.258
72,72,2022-03-18,,BOS,L,97,126,101.5,131.9,95.5,.304,.456,.542,46.3,69.7,5.2,14.3,,.500,15.2,17.8,.228,,.695,12.7,82.9,.146
73,73,2022-03-20,,PHO,L,124,127,113.5,116.2,99.0,.396,.374,.580,45.7,69.2,11.0,3.1,,.516,12.3,18.4,.330,,.565,14.1,76.7,.250
74,74,2022-03-23,@,IND,W,110,109,111.1,110.1,99.0,.207,.451,.615,46.2,60.5,7.1,5.5,,.598,15.2,11.1,.146,,.538,13.5,76.2,.121
75,75,2022-03-26,@,ORL,W,114,110,110.2,106.3,93.7,.245,.367,.525,50.9,57.1,3.9,5.7,,.485,11.4,30.0,.194,,.486,9.9,73.2,.066
76,76,2022-03-28,@,MIA,L,100,123,104.0,127.9,96.1,.222,.432,.562,40.0,56.8,6.2,4.0,,.531,13.6,11.6,.173,,.650,13.9,73.0,.067
77,77,2022-03-30,@,HOU,W,121,118,114.9,112.1,105.3,.379,.274,.546,46.3,47.7,6.6,19.2,,.500,7.5,25.0,.274,,.527,13.9,72.1,.202
78,78,2022-04-01,@,HOU,W,122,117,122.3,117.3,99.8,.420,.346,.636,51.1,69.0,6.0,21.2,,.593,11.9,21.1,.321,,.510,8.4,72.2,.186
79,79,2022-04-03,,GSW,L,90,109,95.9,116.1,93.9,.296,.407,.491,42.7,61.3,5.3,2.2,,.426,11.6,13.0,.259,,.620,14.9,80.6,.139
80,80,2022-04-05,,NOP,L,109,123,112.8,127.3,96.6,.289,.395,.636,43.6,71.8,4.1,4.8,,.586,14.9,9.1,.263,,.580,11.6,68.9,.239
81,81,2022-04-09,@,LAC,L,98,117,98.9,118.1,99.1,.279,.326,.507,46.7,63.2,12.1,4.7,,.483,11.9,15.6,.174,,.610,14.7,77.8,.140
82,82,2022-04-10,@,PHO,W,116,109,117.3,110.2,98.9,.395,.342,.650,44.4,65.0,9.1,12.5,,.618,13.6,5.9,.289,,.476,8.4,67.9,.107
