,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,POR,W,124,121,42,92,.457,17,41,.415,23,29,.793,7,43,24,6,4,10,22,118.6,115.7,104.6,.315,.446,.592,46.7,57.1,5.7,6.9,.549,8.7,14.9,.250,.548,10.5,80.0,.204
1,2021-10-22,H,UTA,L,101,110,39,99,.394,8,36,.222,15,21,.714,16,52,20,15,5,15,22,98.8,107.6,102.3,.212,.364,.467,50.5,51.3,14.7,10.4,.434,12.2,29.6,.152,.500,14.5,73.5,.222
2,2021-10-24,H,GSW,L,107,119,42,86,.488,15,46,.326,8,13,.615,10,47,26,0,4,19,16,109.8,122.1,97.4,.151,.535,.583,52.2,61.9,0.0,6.7,.576,17.2,25.6,.093,.510,5.3,72.5,.206
3,2021-10-27,A,PHO,W,110,107,42,95,.442,15,38,.395,11,15,.733,8,40,28,7,6,11,20,110.0,107.0,100.0,.158,.400,.541,41.7,66.7,7.0,8.5,.521,9.8,16.0,.116,.484,9.6,69.6,.183
4,2021-10-29,A,NOP,W,113,109,40,80,.500,9,27,.333,24,25,.960,3,45,19,4,5,14,20,110.5,106.6,102.3,.313,.338,.621,47.9,47.5,3.9,7.8,.556,13.3,7.7,.300,.474,8.4,76.4,.163
5,2021-10-31,A,DAL,L,99,105,38,96,.396,7,36,.194,16,20,.800,17,56,20,6,3,12,19,103.2,109.5,95.9,.208,.375,.472,55.4,52.6,6.3,5.7,.432,10.3,32.7,.167,.511,8.3,79.6,.144
6,2021-11-02,A,UTA,L,113,119,42,93,.452,12,31,.387,17,24,.708,6,38,24,8,8,11,24,106.1,111.7,106.5,.258,.333,.546,39.2,57.1,7.5,16.0,.516,9.6,12.0,.183,.510,12.7,68.1,.194
7,2021-11-03,H,NOP,W,112,99,42,80,.525,10,30,.333,18,22,.818,4,37,27,8,7,8,21,117.9,104.2,95.0,.275,.375,.624,48.1,64.3,8.4,13.5,.588,8.2,11.1,.225,.500,14.7,80.5,.151
8,2021-11-05,H,CHO,W,140,110,48,87,.552,22,44,.500,22,26,.846,13,56,29,5,1,18,21,138.3,108.6,101.3,.299,.506,.711,66.7,60.4,4.9,1.8,.678,15.5,38.2,.253,.527,9.0,86.0,.141
9,2021-11-07,H,IND,L,91,94,31,84,.369,10,34,.294,19,22,.864,8,33,20,14,6,12,18,96.9,100.1,94.0,.262,.405,.486,37.9,64.5,14.9,10.3,.429,11.4,16.3,.226,.482,17.3,65.8,.169
10,2021-11-08,H,PHO,L,104,109,37,82,.451,10,24,.417,20,26,.769,8,46,18,6,6,24,18,98.0,102.7,106.2,.317,.293,.557,54.8,48.6,5.7,9.5,.512,20.4,19.5,.244,.538,12.5,88.4,.097
11,2021-11-10,A,SAS,L,117,136,47,91,.516,10,36,.278,13,16,.813,11,44,20,4,6,15,26,116.9,135.9,100.1,.176,.396,.597,50.6,42.6,4.0,10.0,.571,13.3,26.2,.143,.630,7.0,73.3,.217
