,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,,CHO,L,102,129,40,99,.404,7,34,.206,15,21,.714,14,44,22,8,8,15,19,,48,94,.511,13,29,.448,20,23,.870,14,51,26,7,10,15,20
2,2,2022-10-21,@,IND,W,137,134,44,81,.543,17,31,.548,32,44,.727,7,37,34,9,4,17,22,,51,104,.490,11,35,.314,21,22,.955,14,42,32,8,6,16,34
3,3,2022-10-22,@,PHI,W,114,105,43,89,.483,16,38,.421,12,15,.800,12,43,27,5,7,14,20,,37,84,.440,10,31,.323,21,28,.750,12,40,26,6,5,12,15
4,4,2022-10-24,@,MIN,W,115,106,48,105,.457,12,37,.324,7,13,.538,14,50,37,11,0,13,21,,38,86,.442,8,31,.258,22,24,.917,10,50,24,7,5,16,18
5,5,2022-10-26,@,MIN,L,122,134,43,95,.453,16,36,.444,20,22,.909,14,41,34,6,2,16,18,,52,80,.650,20,34,.588,10,16,.625,0,30,37,9,6,16,19
6,6,2022-10-28,,CHI,W,129,124,46,86,.535,16,38,.421,21,26,.808,8,42,37,7,3,20,17,,47,99,.475,9,27,.333,21,26,.808,15,42,20,13,3,12,19
7,7,2022-10-30,,MIN,W,107,98,36,86,.419,16,40,.400,19,25,.760,14,52,27,6,7,19,21,,40,99,.404,4,29,.138,14,20,.700,16,45,21,11,7,11,23
8,8,2022-11-02,,TOR,L,100,143,37,94,.394,14,43,.326,12,14,.857,13,46,29,3,6,23,20,,57,106,.538,14,33,.424,15,16,.938,9,50,31,16,6,11,17
9,9,2022-11-04,,LAC,L,106,113,42,88,.477,12,31,.387,10,18,.556,6,35,23,7,2,13,17,,42,80,.525,15,33,.455,14,19,.737,3,44,26,6,5,16,25
10,10,2022-11-05,@,DEN,L,101,126,39,80,.488,12,30,.400,11,19,.579,6,28,28,8,3,15,13,,53,87,.609,15,29,.517,5,10,.500,10,47,37,10,0,16,15
11,11,2022-11-07,,DEN,L,109,115,43,82,.524,12,33,.364,11,18,.611,10,38,31,14,5,24,17,,47,88,.534,8,24,.333,13,20,.650,8,40,33,14,7,20,14
12,12,2022-11-09,,MEM,L,122,124,47,98,.480,12,37,.324,16,23,.696,13,39,30,8,2,12,17,,50,98,.510,14,32,.438,10,13,.769,18,53,24,4,2,19,22
13,13,2022-11-11,,MIL,W,111,93,43,85,.506,12,31,.387,13,15,.867,9,50,22,3,13,19,22,,32,98,.327,12,43,.279,17,23,.739,21,48,22,7,5,13,14
14,14,2022-11-14,@,GSW,L,95,132,36,100,.360,10,40,.250,13,19,.684,22,53,18,6,6,18,17,,47,88,.534,23,45,.511,15,16,.938,5,40,35,9,3,12,17
15,15,2022-11-15,@,POR,L,110,117,44,85,.518,9,29,.310,13,17,.765,11,38,34,7,5,19,25,,41,79,.519,15,32,.469,20,26,.769,9,39,22,6,3,15,17
16,16,2022-11-17,@,SAC,L,112,130,46,84,.548,11,26,.423,9,12,.750,7,32,29,8,6,18,22,,48,83,.578,12,30,.400,22,24,.917,6,37,28,7,1,12,15
17,17,2022-11-19,@,LAC,L,97,119,36,87,.414,7,26,.269,18,21,.857,15,43,22,4,2,15,13,,44,81,.543,21,40,.525,10,19,.526,7,35,32,9,1,12,20
18,18,2022-11-20,@,LAL,L,92,123,41,105,.390,7,34,.206,3,10,.300,13,44,26,7,2,10,17,,45,85,.529,12,34,.353,21,24,.875,5,54,29,5,2,15,10
19,19,2022-11-23,,NOP,L,110,129,41,85,.482,10,34,.294,18,28,.643,8,37,31,11,1,18,23,,47,82,.573,14,33,.424,21,30,.700,8,42,33,8,5,21,22
20,20,2022-11-25,,LAL,L,94,105,38,100,.380,6,33,.182,12,16,.750,20,50,21,11,3,16,18,,40,83,.482,8,27,.296,17,20,.850,10,49,28,12,5,21,16
21,21,2022-11-26,,LAL,L,138,143,53,105,.505,18,37,.486,14,20,.700,17,47,33,8,5,10,32,,47,81,.580,17,33,.515,32,37,.865,3,39,25,4,7,17,20
22,22,2022-11-30,@,OKC,L,111,119,41,92,.446,10,37,.270,19,25,.760,13,44,27,5,2,10,20,,48,94,.511,9,27,.333,14,21,.667,15,52,17,4,4,11,20
23,23,2022-12-02,,NOP,L,99,117,38,98,.388,11,39,.282,12,16,.750,10,49,26,4,4,12,23,,40,92,.435,12,42,.286,25,26,.962,10,53,25,9,5,9,18
24,24,2022-12-04,,PHO,L,95,133,38,87,.437,6,31,.194,13,18,.722,12,40,19,5,3,19,24,,49,94,.521,19,37,.514,16,20,.800,14,45,38,5,0,11,18
25,25,2022-12-08,,HOU,W,118,109,46,83,.554,13,36,.361,13,15,.867,7,38,25,5,7,16,19,,44,98,.449,10,29,.345,11,15,.733,16,42,23,3,4,14,19
26,26,2022-12-10,@,MIA,W,115,111,42,78,.538,7,21,.333,24,31,.774,9,46,24,8,4,18,21,,39,81,.481,13,34,.382,20,28,.714,5,32,26,5,3,10,22
27,27,2022-12-12,,CLE,W,112,111,46,97,.474,9,27,.333,11,16,.688,19,46,25,6,2,12,19,,45,92,.489,5,23,.217,16,17,.941,15,44,21,7,7,15,13
28,28,2022-12-14,,POR,L,112,128,45,97,.464,11,29,.379,11,19,.579,14,40,23,9,3,11,16,,49,81,.605,18,40,.450,12,17,.706,5,40,26,5,3,17,20
29,29,2022-12-17,,MIA,L,101,111,33,77,.429,10,27,.370,25,33,.758,7,38,29,8,3,17,19,,42,82,.512,11,30,.367,16,23,.696,8,40,25,14,3,12,27
30,30,2022-12-19,@,HOU,W,124,105,46,83,.554,17,34,.500,15,19,.789,9,46,30,6,6,19,23,,40,94,.426,5,24,.208,20,31,.645,16,41,23,13,3,11,16
31,31,2022-12-22,@,NOP,L,117,126,43,90,.478,9,28,.321,22,27,.815,14,44,23,8,2,17,24,,44,91,.484,13,34,.382,25,27,.926,16,46,25,10,6,17,24
32,32,2022-12-23,@,ORL,L,113,133,44,97,.454,12,38,.316,13,18,.722,13,38,28,10,6,13,18,,50,87,.575,17,32,.531,16,20,.800,7,44,30,8,2,17,15
33,33,2022-12-26,,UTA,W,126,122,48,87,.552,6,18,.333,24,34,.706,6,41,27,11,8,14,25,,39,97,.402,13,43,.302,31,37,.838,16,45,20,10,3,12,22
34,34,2022-12-27,@,OKC,L,114,130,46,99,.465,10,29,.345,12,14,.857,16,41,20,9,4,14,21,,46,86,.535,13,24,.542,25,31,.806,13,45,25,10,10,12,18
