,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,ORL,W,123,97,49,98,0.5,13,30,0.433,12,18,0.667,13,43,32,8,3,8,22,127.9,100.8,96.2,0.184,0.306,0.581,49.4,65.3,8.3,5.3,0.566,7.0,29.5,0.122,0.459,14.3,69.8,0.209
1,2021-10-22,A,DEN,L,96,102,40,84,0.476,6,24,0.25,10,14,0.714,7,39,24,11,2,20,17,94.8,100.7,101.3,0.167,0.286,0.532,48.8,60.0,10.9,3.6,0.512,18.2,17.5,0.119,0.564,19.0,80.0,0.058
2,2021-10-23,H,MIL,L,111,121,48,99,0.485,10,39,0.256,5,6,0.833,10,38,29,10,4,12,18,108.2,117.9,102.6,0.061,0.394,0.546,46.3,60.4,9.7,8.3,0.535,10.6,21.3,0.051,0.62,17.7,80.0,0.217
3,2021-10-26,H,LAL,L,121,125,48,108,0.444,13,36,0.361,12,22,0.545,16,59,33,10,6,15,22,104.3,107.7,105.1,0.204,0.333,0.514,51.3,68.8,8.6,8.0,0.505,11.3,25.4,0.111,0.514,10.2,82.7,0.162
4,2021-10-28,A,DAL,L,99,104,39,88,0.443,12,30,0.4,9,15,0.6,11,48,21,6,11,14,16,103.2,108.4,95.9,0.17,0.341,0.523,51.6,53.8,6.3,25.0,0.511,12.9,23.4,0.102,0.562,11.2,80.4,0.045
5,2021-10-30,A,MIL,W,102,93,39,95,0.411,7,31,0.226,17,24,0.708,8,49,28,12,3,9,13,97.9,89.3,104.2,0.253,0.326,0.483,48.5,71.8,11.5,6.0,0.447,7.9,15.7,0.179,0.461,16.5,82.0,0.124
6,2021-11-01,A,IND,L,118,131,47,89,0.528,14,28,0.5,10,14,0.714,8,36,34,6,4,16,9,118.2,131.2,99.9,0.157,0.315,0.62,48.0,72.3,6.0,7.5,0.607,14.4,21.6,0.112,0.67,12.7,73.7,0.099
7,2021-11-03,H,DAL,L,108,109,43,88,0.489,7,21,0.333,15,20,0.75,5,40,25,10,10,15,24,101.7,102.7,106.2,0.227,0.239,0.558,41.7,58.1,9.4,16.9,0.528,13.4,10.9,0.17,0.473,15.2,70.0,0.226
8,2021-11-05,A,ORL,W,102,89,40,90,0.444,6,19,0.316,16,18,0.889,5,48,23,11,7,13,14,98.7,86.2,103.3,0.2,0.211,0.521,52.7,57.5,10.6,14.6,0.478,11.7,12.2,0.178,0.461,16.2,86.0,0.079
9,2021-11-07,A,OKC,L,94,99,41,100,0.41,6,30,0.2,6,9,0.667,11,46,29,9,10,9,16,96.1,101.2,97.8,0.09,0.3,0.452,44.7,70.7,9.2,19.2,0.44,8.0,20.8,0.06,0.436,11.2,70.0,0.181
10,2021-11-10,H,SAC,W,136,117,49,92,0.533,18,32,0.563,20,31,0.645,12,43,34,11,3,8,16,135.9,116.9,100.1,0.337,0.348,0.644,49.4,69.4,11.0,5.5,0.63,7.0,26.7,0.217,0.571,13.3,73.8,0.143
11,2021-11-12,H,DAL,L,109,123,41,84,0.488,13,30,0.433,14,20,0.7,3,41,30,3,3,13,17,107.8,121.7,101.1,0.238,0.357,0.587,46.1,73.2,3.0,5.5,0.565,12.3,7.3,0.167,0.55,4.4,79.2,0.13
12,2021-11-14,A,LAL,L,106,114,40,90,0.444,16,36,0.444,10,15,0.667,11,43,28,9,2,15,17,109.8,118.0,96.6,0.167,0.4,0.549,48.3,70.0,9.3,3.8,0.533,13.4,22.9,0.111,0.608,13.4,78.0,0.157
13,2021-11-16,A,LAC,L,92,106,41,95,0.432,5,22,0.227,5,7,0.714,6,41,26,10,4,16,17,86.2,99.3,106.7,0.074,0.232,0.469,44.1,63.4,9.4,8.5,0.458,14.0,11.5,0.053,0.506,17.4,85.4,0.235
14,2021-11-18,A,MIN,L,90,115,35,84,0.417,6,32,0.188,14,19,0.737,11,42,26,7,6,12,12,99.1,126.6,90.8,0.226,0.381,0.487,47.2,74.3,7.7,16.2,0.452,11.5,23.9,0.167,0.599,11.5,72.1,0.14
15,2021-11-22,H,PHO,L,111,115,49,93,0.527,5,20,0.25,8,16,0.5,11,44,23,9,4,15,16,110.7,114.7,100.3,0.172,0.215,0.555,50.0,46.9,9.0,6.6,0.554,13.0,25.0,0.086,0.58,13.6,75.0,0.148
16,2021-11-24,H,ATL,L,106,124,43,100,0.43,12,33,0.364,8,10,0.8,15,44,27,8,4,12,16,108.9,127.4,97.4,0.1,0.33,0.508,50.0,62.8,8.2,6.5,0.49,10.3,29.4,0.08,0.58,8.4,78.4,0.25
17,2021-11-26,H,BOS,W,96,88,38,87,0.437,6,24,0.25,14,19,0.737,8,53,21,7,6,10,15,100.7,92.3,95.3,0.218,0.276,0.503,51.0,55.3,7.3,10.3,0.471,9.5,17.0,0.161,0.424,9.2,78.9,0.109
