,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,,WAS,L,83,98,30,97,.309,7,34,.206,16,22,.727,19,54,14,10,4,19,21,,36,81,.444,5,27,.185,21,26,.808,7,51,20,14,8,21,17
2,2,2021-10-22,@,BOS,W,115,83,42,100,.420,10,35,.286,21,21,1.000,21,60,22,16,2,11,13,,32,82,.390,11,34,.324,8,11,.727,10,42,19,6,12,25,19
3,3,2021-10-23,,DAL,L,95,103,34,85,.400,11,37,.297,16,23,.696,11,49,17,7,6,12,23,,38,91,.418,14,42,.333,13,18,.722,13,50,24,6,6,9,22
4,4,2021-10-25,,CHI,L,108,111,40,83,.482,12,30,.400,16,20,.800,13,47,27,8,1,19,18,,39,81,.481,12,27,.444,21,22,.955,5,29,24,11,3,13,16
5,5,2021-10-27,,IND,W,118,100,46,100,.460,14,30,.467,12,19,.632,16,41,22,18,6,10,20,,38,79,.481,10,29,.345,14,17,.824,9,40,19,6,7,22,19
6,6,2021-10-29,,ORL,W,110,109,43,86,.500,9,30,.300,15,22,.682,9,40,18,11,2,7,18,,41,87,.471,16,34,.471,11,16,.688,12,46,24,1,5,17,24
7,7,2021-10-30,@,IND,W,97,94,39,92,.424,11,32,.344,8,12,.667,12,48,18,8,4,15,17,,35,81,.432,13,43,.302,11,16,.688,8,40,25,8,10,19,17
8,8,2021-11-01,@,NYK,W,113,104,43,99,.434,14,42,.333,13,14,.929,13,48,24,12,4,8,20,,35,76,.461,16,38,.421,18,24,.750,7,41,20,3,4,16,13
9,9,2021-11-03,@,WAS,W,109,100,41,88,.466,10,25,.400,17,20,.850,10,42,17,10,3,10,23,,34,78,.436,8,32,.250,24,30,.800,10,44,19,6,7,13,15
10,10,2021-11-05,,CLE,L,101,102,42,99,.424,12,27,.444,5,9,.556,19,45,20,10,8,9,19,,38,83,.458,10,30,.333,16,19,.842,11,39,22,4,3,17,13
11,11,2021-11-07,,BRK,L,103,116,41,87,.471,7,30,.233,14,18,.778,8,35,23,10,6,8,16,,41,80,.513,17,38,.447,17,20,.850,12,48,29,3,0,15,15
12,12,2021-11-10,@,BOS,L,88,104,33,77,.429,6,25,.240,16,19,.842,6,41,20,8,8,18,17,,42,94,.447,10,29,.345,10,15,.667,12,44,21,10,5,15,13
