,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,WAS,L,83,98,80.0,94.4,103.8,.227,.351,.389,51.4,46.7,9.6,7.4,,.345,15.1,30.2,.165,,.475,18.5,83.3,.259
2,2,2021-10-22,@,BOS,W,115,83,117.8,85.0,97.6,.210,.350,.526,58.8,52.4,16.4,4.2,,.470,9.1,39.6,.210,,.457,22.4,79.6,.098
3,3,2021-10-23,,DAL,L,95,103,101.9,110.5,93.2,.271,.435,.499,49.5,50.0,7.5,12.2,,.465,11.2,22.9,.188,,.495,8.3,74.5,.143
4,4,2021-10-25,,CHI,L,108,111,113.2,116.3,95.4,.241,.361,.588,61.8,67.5,8.4,1.9,,.554,17.1,35.1,.193,,.556,12.5,87.2,.259
5,5,2021-10-27,,IND,W,118,100,121.6,103.0,97.1,.190,.300,.544,50.6,47.8,18.5,12.0,,.530,8.4,34.0,.120,,.544,20.3,73.5,.177
6,6,2021-10-29,,ORL,W,110,109,116.5,115.4,94.4,.256,.349,.575,46.5,41.9,11.7,3.8,,.552,6.8,20.9,.174,,.563,15.3,72.1,.126
7,7,2021-10-30,@,IND,W,97,94,100.1,97.0,96.9,.130,.348,.499,54.5,46.2,8.3,10.5,,.484,13.4,27.3,.087,,.512,17.8,81.8,.136
8,8,2021-11-01,@,NYK,W,113,104,118.8,109.3,95.2,.141,.424,.537,53.9,55.8,12.6,10.5,,.505,7.1,27.7,.131,,.566,15.6,83.3,.237
9,9,2021-11-03,@,WAS,W,109,100,117.0,107.3,93.2,.227,.284,.563,48.8,41.5,10.7,6.5,,.523,9.4,22.7,.193,,.487,12.5,76.2,.308
10,10,2021-11-05,,CLE,L,101,102,112.1,113.2,90.1,.091,.273,.490,53.6,47.6,11.1,15.1,,.485,8.0,40.4,.051,,.518,15.7,70.3,.193
11,11,2021-11-07,,BRK,L,103,116,112.3,126.5,91.7,.207,.345,.543,42.2,56.1,10.9,14.3,,.511,7.8,18.2,.161,,.619,14.5,69.2,.213
12,12,2021-11-10,@,BOS,L,88,104,89.8,106.1,98.0,.247,.325,.515,48.2,60.6,8.2,12.3,,.468,17.4,15.8,.208,,.500,13.0,74.5,.106
13,13,2021-11-11,@,PHI,W,115,109,121.2,114.9,94.9,.177,.344,.556,54.7,59.5,10.5,13.0,,.510,9.6,34.8,.177,,.517,11.1,77.5,.205
14,14,2021-11-13,,DET,L,121,127,128.3,134.6,94.3,.356,.391,.601,53.4,47.7,9.5,2.3,,.580,11.4,37.5,.230,,.639,12.4,72.7,.329
15,15,2021-11-15,@,POR,L,113,118,122.3,127.7,92.4,.202,.371,.583,50.0,48.8,7.6,4.3,,.545,10.2,27.3,.180,,.659,12.0,79.4,.122
16,16,2021-11-18,@,UTA,L,103,119,107.2,123.9,96.0,.181,.404,.507,43.2,61.5,10.4,8.8,,.468,10.6,28.0,.160,,.669,21.2,67.7,.150
17,17,2021-11-19,@,SAC,W,108,89,115.3,95.0,93.7,.286,.369,.571,57.0,52.6,9.6,19.1,,.524,12.9,31.0,.238,,.435,12.0,78.4,.190
18,18,2021-11-21,@,GSW,L,104,119,108.3,123.9,96.0,.202,.374,.482,50.0,64.1,7.3,11.8,,.470,8.5,31.6,.111,,.633,15.2,78.4,.241
19,19,2021-11-24,@,MEM,W,126,113,134.3,120.5,93.8,.236,.337,.641,45.9,53.2,8.5,7.5,,.607,9.2,27.5,.202,,.567,13.0,67.6,.244
20,20,2021-11-26,@,IND,L,97,114,104.2,122.4,93.1,.247,.337,.491,43.6,45.9,8.6,5.2,,.455,9.2,26.5,.180,,.541,10.5,62.2,.093
21,21,2021-11-28,,BOS,L,97,109,101.9,114.5,95.2,.172,.452,.485,45.4,54.3,6.3,10.4,,.446,9.1,25.5,.151,,.488,15.1,71.4,.354
22,22,2021-11-30,,MEM,L,91,98,92.8,99.9,98.1,.132,.429,.473,44.9,38.9,7.1,15.3,,.451,15.8,23.4,.099,,.441,14.4,64.7,.172
23,23,2021-12-02,,MIL,W,97,93,109.0,104.6,89.0,.159,.455,.515,50.0,62.2,11.2,13.0,,.500,12.1,32.6,.102,,.441,11.9,66.7,.212
24,24,2021-12-05,,WAS,W,102,90,113.3,100.0,90.0,.282,.271,.534,52.2,57.9,3.3,2.1,,.494,7.7,21.3,.212,,.466,10.4,86.0,.301
25,25,2021-12-08,,OKC,L,109,110,113.0,114.0,96.5,.161,.441,.547,53.5,64.3,6.2,11.4,,.532,11.5,28.3,.108,,.554,12.3,82.5,.202
26,26,2021-12-10,,NYK,W,90,87,100.9,97.5,89.2,.264,.402,.463,46.6,70.0,10.1,14.9,,.414,7.6,22.6,.207,,.414,12.4,72.0,.247
27,27,2021-12-13,,SAC,W,124,101,123.8,100.9,100.1,.102,.316,.605,46.5,52.8,10.0,13.3,,.597,7.2,19.0,.071,,.463,14.1,66.7,.149
28,28,2021-12-14,@,BRK,L,129,131,119.9,121.8,97.4,.181,.495,.569,40.6,54.2,5.6,9.4,,.543,9.6,24.1,.143,,.553,12.4,59.6,.165
29,29,2021-12-18,,GSW,W,119,100,123.8,104.1,96.1,.256,.422,.594,46.6,57.8,13.5,7.0,,.578,9.1,25.0,.167,,.538,18.5,72.5,.190
30,30,2021-12-26,@,CLE,L,99,144,92.4,134.4,107.2,.258,.404,.499,45.3,64.9,10.3,5.6,,.466,17.5,22.0,.180,,.632,9.7,71.1,.094
31,31,2021-12-28,,PHI,L,109,114,117.0,122.4,93.1,.253,.471,.564,50.6,63.2,7.5,10.6,,.523,9.4,20.9,.207,,.532,7.9,81.0,.416
32,32,2021-12-31,,LAC,W,116,108,122.3,113.8,94.9,.344,.365,.525,59.3,47.5,8.4,9.1,,.474,6.0,34.6,.260,,.583,12.2,92.3,.218
33,33,2022-01-02,,NYK,W,120,105,122.1,106.8,98.3,.349,.395,.605,59.5,51.2,9.2,11.9,,.552,13.9,32.4,.291,,.526,15.8,82.5,.295
34,34,2022-01-04,,SAS,W,129,104,125.3,101.0,102.9,.302,.458,.593,51.0,66.7,12.6,13.3,,.563,9.9,32.7,.219,,.479,16.2,67.9,.137
35,35,2022-01-05,@,MIL,W,117,111,114.7,108.9,102.0,.281,.404,.585,49.4,57.1,7.8,8.7,,.562,12.3,21.7,.191,,.547,15.0,79.1,.212
36,36,2022-01-07,,UTA,W,122,108,124.5,110.2,98.0,.250,.410,.550,54.5,57.8,11.2,16.3,,.510,5.9,36.5,.200,,.586,19.1,80.6,.160
37,37,2022-01-09,,NOP,W,105,101,118.9,114.4,88.3,.235,.400,.560,56.8,50.0,9.1,7.1,,.506,11.3,34.9,.224,,.533,13.1,81.6,.280
38,38,2022-01-11,,PHO,L,95,99,105.9,110.4,89.7,.281,.416,.475,54.7,41.7,12.3,7.1,,.449,12.3,43.1,.169,,.547,19.3,71.4,.243
39,39,2022-01-14,@,DET,L,87,103,99.0,117.2,87.9,.299,.437,.442,51.7,64.3,5.7,7.4,,.385,10.1,32.0,.230,,.519,8.1,76.9,.235
40,40,2022-01-15,@,MIL,W,103,96,109.9,102.5,93.7,.220,.385,.516,54.9,62.5,7.5,21.1,,.505,12.3,33.3,.121,,.416,12.3,79.1,.416
41,41,2022-01-17,@,MIA,L,99,104,109.8,115.3,90.2,.189,.400,.508,47.9,64.9,10.0,8.5,,.483,10.1,29.4,.133,,.512,11.5,69.8,.229
42,42,2022-01-19,@,DAL,L,98,102,107.0,111.3,91.6,.275,.352,.480,49.4,48.6,12.0,2.3,,.429,10.5,31.4,.220,,.546,15.9,73.7,.250
43,43,2022-01-21,@,WAS,W,109,105,117.3,113.0,92.9,.189,.333,.559,47.1,47.6,10.8,7.7,,.528,7.6,24.4,.156,,.571,16.0,72.5,.094
44,44,2022-01-23,,POR,L,105,114,104.3,113.2,100.7,.143,.551,.504,47.8,71.8,14.9,15.1,,.490,12.6,28.8,.092,,.635,19.5,73.7,.071
45,45,2022-01-25,,CHO,W,125,113,127.0,114.8,98.4,.354,.415,.660,53.2,62.8,6.1,13.7,,.622,12.9,20.0,.280,,.549,11.1,79.5,.280
46,46,2022-01-26,@,CHI,L,105,111,112.8,119.3,93.1,.354,.392,.575,43.0,63.2,8.6,8.6,,.557,11.6,18.6,.215,,.589,12.5,72.2,.143
47,47,2022-01-29,@,MIA,W,124,120,105.6,102.2,89.5,.168,.421,.540,46.5,51.1,12.8,15.0,,.514,12.2,22.2,.131,,.482,16.2,68.3,.127
48,48,2022-01-31,@,ATL,W,106,100,109.5,103.3,96.8,.191,.404,.549,48.3,55.3,7.2,16.3,,.528,7.7,12.8,.135,,.531,14.6,88.1,.173
