,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,WAS,L,83,98,30,97,0.309,7,34,0.206,16,22,0.727,19,54,14,10,4,19,21,80.0,94.4,103.8,0.227,0.351,0.389,51.4,46.7,9.6,7.4,0.345,15.1,30.2,0.165,0.475,18.5,83.3,0.259
1,2021-10-22,A,BOS,W,115,83,42,100,0.42,10,35,0.286,21,21,1.0,21,60,22,16,2,11,13,117.8,85.0,97.6,0.21,0.35,0.526,58.8,52.4,16.4,4.2,0.47,9.1,39.6,0.21,0.457,22.4,79.6,0.098
2,2021-10-23,H,DAL,L,95,103,34,85,0.4,11,37,0.297,16,23,0.696,11,49,17,7,6,12,23,101.9,110.5,93.2,0.271,0.435,0.499,49.5,50.0,7.5,12.2,0.465,11.2,22.9,0.188,0.495,8.3,74.5,0.143
3,2021-10-25,H,CHI,L,108,111,40,83,0.482,12,30,0.4,16,20,0.8,13,47,27,8,1,19,18,113.2,116.3,95.4,0.241,0.361,0.588,61.8,67.5,8.4,1.9,0.554,17.1,35.1,0.193,0.556,12.5,87.2,0.259
4,2021-10-27,H,IND,W,118,100,46,100,0.46,14,30,0.467,12,19,0.632,16,41,22,18,6,10,20,121.6,103.0,97.1,0.19,0.3,0.544,50.6,47.8,18.5,12.0,0.53,8.4,34.0,0.12,0.544,20.3,73.5,0.177
5,2021-10-29,H,ORL,W,110,109,43,86,0.5,9,30,0.3,15,22,0.682,9,40,18,11,2,7,18,116.5,115.4,94.4,0.256,0.349,0.575,46.5,41.9,11.7,3.8,0.552,6.8,20.9,0.174,0.563,15.3,72.1,0.126
6,2021-10-30,A,IND,W,97,94,39,92,0.424,11,32,0.344,8,12,0.667,12,48,18,8,4,15,17,100.1,97.0,96.9,0.13,0.348,0.499,54.5,46.2,8.3,10.5,0.484,13.4,27.3,0.087,0.512,17.8,81.8,0.136
7,2021-11-01,A,NYK,W,113,104,43,99,0.434,14,42,0.333,13,14,0.929,13,48,24,12,4,8,20,118.8,109.3,95.2,0.141,0.424,0.537,53.9,55.8,12.6,10.5,0.505,7.1,27.7,0.131,0.566,15.6,83.3,0.237
8,2021-11-03,A,WAS,W,109,100,41,88,0.466,10,25,0.4,17,20,0.85,10,42,17,10,3,10,23,117.0,107.3,93.2,0.227,0.284,0.563,48.8,41.5,10.7,6.5,0.523,9.4,22.7,0.193,0.487,12.5,76.2,0.308
9,2021-11-05,H,CLE,L,101,102,42,99,0.424,12,27,0.444,5,9,0.556,19,45,20,10,8,9,19,112.1,113.2,90.1,0.091,0.273,0.49,53.6,47.6,11.1,15.1,0.485,8.0,40.4,0.051,0.518,15.7,70.3,0.193
10,2021-11-07,H,BRK,L,103,116,41,87,0.471,7,30,0.233,14,18,0.778,8,35,23,10,6,8,16,112.3,126.5,91.7,0.207,0.345,0.543,42.2,56.1,10.9,14.3,0.511,7.8,18.2,0.161,0.619,14.5,69.2,0.213
11,2021-11-10,A,BOS,L,88,104,33,77,0.429,6,25,0.24,16,19,0.842,6,41,20,8,8,18,17,89.8,106.1,98.0,0.247,0.325,0.515,48.2,60.6,8.2,12.3,0.468,17.4,15.8,0.208,0.5,13.0,74.5,0.106
12,2021-11-11,A,PHI,W,115,109,42,96,0.438,14,33,0.424,17,17,1.0,16,47,25,10,7,11,18,121.2,114.9,94.9,0.177,0.344,0.556,54.7,59.5,10.5,13.0,0.51,9.6,34.8,0.177,0.517,11.1,77.5,0.205
13,2021-11-13,H,DET,L,121,127,44,87,0.506,13,34,0.382,20,31,0.645,15,39,21,9,1,13,25,128.3,134.6,94.3,0.356,0.391,0.601,53.4,47.7,9.5,2.3,0.58,11.4,37.5,0.23,0.639,12.4,72.7,0.329
14,2021-11-15,A,POR,L,113,118,41,89,0.461,15,33,0.455,16,18,0.889,12,39,20,7,2,11,17,122.3,127.7,92.4,0.202,0.371,0.583,50.0,48.8,7.6,4.3,0.545,10.2,27.3,0.18,0.659,12.0,79.4,0.122
15,2021-11-18,A,UTA,L,103,119,39,94,0.415,10,38,0.263,15,17,0.882,14,35,24,10,3,12,13,107.2,123.9,96.0,0.181,0.404,0.507,43.2,61.5,10.4,8.8,0.468,10.6,28.0,0.16,0.669,21.2,67.7,0.15
16,2021-11-19,A,SAC,W,108,89,38,84,0.452,12,31,0.387,20,24,0.833,13,53,20,9,9,14,24,115.3,95.0,93.7,0.286,0.369,0.571,57.0,52.6,9.6,19.1,0.524,12.9,31.0,0.238,0.435,12.0,78.4,0.19
17,2021-11-21,A,GSW,L,104,119,39,99,0.394,15,37,0.405,11,20,0.55,18,47,25,7,4,10,21,108.3,123.9,96.0,0.202,0.374,0.482,50.0,64.1,7.3,11.8,0.47,8.5,31.6,0.111,0.633,15.2,78.4,0.241
18,2021-11-24,A,MEM,W,126,113,47,89,0.528,14,30,0.467,18,21,0.857,11,34,25,8,4,10,20,134.3,120.5,93.8,0.236,0.337,0.641,45.9,53.2,8.5,7.5,0.607,9.2,27.5,0.202,0.567,13.0,67.6,0.244
