,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,,OKC,W,107,86,40,91,.440,14,47,.298,13,15,.867,12,53,18,6,5,10,19,,34,91,.374,7,35,.200,11,18,.611,15,50,19,4,2,14,15
2,2,2021-10-22,@,SAC,W,110,101,37,90,.411,16,42,.381,20,23,.870,13,51,16,14,3,17,17,,39,99,.394,8,36,.222,15,21,.714,16,52,20,15,5,15,22
3,3,2021-10-26,,DEN,W,122,110,44,85,.518,12,39,.308,22,29,.759,8,41,20,5,6,13,22,,42,83,.506,10,28,.357,16,24,.667,5,35,19,9,3,13,23
4,4,2021-10-28,@,HOU,W,122,91,41,85,.482,16,46,.348,24,30,.800,10,58,24,8,4,16,23,,31,95,.326,9,44,.205,20,23,.870,13,41,15,8,3,11,24
5,5,2021-10-30,@,CHI,L,99,107,35,92,.380,11,38,.289,18,19,.947,14,54,15,5,7,20,21,,39,91,.429,5,21,.238,24,30,.800,9,45,16,8,5,9,19
6,6,2021-10-31,@,MIL,W,107,95,35,75,.467,12,37,.324,25,27,.926,7,44,13,6,10,12,10,,39,96,.406,12,41,.293,5,6,.833,13,44,16,7,3,9,22
7,7,2021-11-02,,SAC,W,119,113,43,98,.439,14,48,.292,19,27,.704,15,59,16,7,6,16,23,,42,93,.452,12,31,.387,17,24,.708,6,38,24,8,8,11,24
8,8,2021-11-04,@,ATL,W,116,98,41,81,.506,17,41,.415,17,23,.739,8,46,30,6,4,14,20,,35,82,.427,7,28,.250,21,26,.808,5,32,18,11,4,9,24
9,9,2021-11-06,@,MIA,L,115,118,43,83,.518,15,45,.333,14,19,.737,7,31,26,10,3,6,19,,47,78,.603,11,21,.524,13,17,.765,7,36,30,3,1,14,18
10,10,2021-11-07,@,ORL,L,100,107,34,89,.382,8,42,.190,24,29,.828,16,50,21,10,7,17,17,,43,87,.494,12,32,.375,9,11,.818,7,39,24,8,8,13,22
11,11,2021-11-09,,ATL,W,110,98,41,81,.506,15,38,.395,13,16,.813,8,44,21,8,4,14,20,,37,85,.435,18,35,.514,6,10,.600,6,32,22,6,5,11,18
12,12,2021-11-11,,IND,L,100,111,39,83,.470,9,32,.281,13,23,.565,7,37,22,6,4,12,16,,43,96,.448,11,31,.355,14,19,.737,15,53,19,7,5,10,23
13,13,2021-11-13,,MIA,L,105,111,35,85,.412,17,53,.321,18,25,.720,12,38,23,13,2,16,19,,42,85,.494,13,33,.394,14,16,.875,13,48,23,6,3,19,25
14,14,2021-11-16,,PHI,W,120,85,46,89,.517,16,38,.421,12,19,.632,6,56,27,5,8,9,20,,33,90,.367,6,29,.207,13,17,.765,6,42,19,5,5,8,16
15,15,2021-11-18,,TOR,W,119,103,44,80,.550,19,46,.413,12,13,.923,10,46,34,8,9,23,18,,39,94,.415,10,38,.263,15,17,.882,14,35,24,10,3,12,13
