,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,OKC,W,107,86,113.3,91.0,94.5,.165,.516,.548,51.5,45.0,6.4,8.9,,.516,9.3,25.5,.143,,.412,12.4,73.2,.121
2,2,2021-10-22,@,SAC,W,110,101,107.6,98.8,102.3,.256,.467,.549,49.5,43.2,13.7,4.8,,.500,14.5,26.5,.222,,.434,12.2,70.4,.152
3,3,2021-10-26,,DEN,W,122,110,121.9,109.9,100.1,.341,.459,.624,53.9,45.5,5.0,10.9,,.588,11.7,21.1,.259,,.566,12.2,86.8,.193
4,4,2021-10-28,@,HOU,W,122,91,121.3,90.4,100.6,.353,.541,.621,58.6,58.5,8.0,7.8,,.576,14.0,26.3,.282,,.374,9.5,78.7,.211
5,5,2021-10-30,@,CHI,L,99,107,96.9,104.7,102.2,.207,.413,.493,54.5,42.9,4.9,10.0,,.440,16.6,28.0,.196,,.456,8.0,81.6,.264
6,6,2021-10-31,@,MIL,W,107,95,117.9,104.7,90.7,.360,.493,.616,50.0,37.1,6.6,18.2,,.547,12.1,18.4,.333,,.469,8.4,74.0,.052
7,7,2021-11-02,,SAC,W,119,113,111.7,106.1,106.5,.276,.490,.541,60.8,37.2,6.6,9.7,,.510,12.7,31.9,.194,,.516,9.6,88.0,.183
8,8,2021-11-04,@,ATL,W,116,98,122.1,103.2,95.0,.284,.506,.637,59.0,73.2,6.3,7.4,,.611,13.3,22.9,.210,,.470,8.8,88.4,.256
9,9,2021-11-06,@,MIA,L,115,118,128.1,131.4,89.8,.229,.542,.629,46.3,60.5,11.1,5.3,,.608,6.2,19.4,.169,,.673,14.1,77.4,.167
10,10,2021-11-07,@,ORL,L,100,107,102.9,110.1,97.2,.326,.472,.491,56.2,61.8,10.3,12.7,,.427,14.3,33.3,.270,,.563,12.4,82.9,.103
11,11,2021-11-09,,ATL,W,110,98,119.6,106.5,92.0,.198,.469,.625,57.9,51.2,8.7,8.0,,.599,13.7,23.5,.160,,.541,11.0,85.7,.071
12,12,2021-11-11,,IND,L,100,111,104.4,115.9,95.8,.277,.386,.537,41.1,56.4,6.3,6.2,,.524,11.4,15.6,.157,,.505,8.7,66.7,.146
13,13,2021-11-13,,MIA,L,105,111,109.1,115.4,96.2,.294,.624,.547,44.2,65.7,13.5,3.8,,.512,14.3,25.5,.212,,.571,17.1,66.7,.165
14,14,2021-11-16,,PHI,W,120,85,121.6,86.2,98.6,.213,.427,.616,57.1,58.7,5.1,13.1,,.607,8.5,14.3,.135,,.400,7.6,89.3,.144
15,15,2021-11-18,,TOR,W,119,103,123.9,107.2,96.0,.163,.575,.694,56.8,77.3,8.3,16.1,,.669,21.2,32.3,.150,,.468,10.6,72.0,.160
16,16,2021-11-20,@,SAC,W,123,105,129.2,110.3,95.2,.187,.429,.624,59.8,43.5,5.3,3.3,,.599,10.0,34.1,.154,,.505,7.4,82.6,.143
17,17,2021-11-22,,MEM,L,118,119,120.9,121.9,97.6,.287,.494,.602,47.9,63.4,5.1,16.7,,.569,12.5,22.7,.218,,.511,6.1,69.2,.232
18,18,2021-11-24,@,OKC,W,110,104,113.8,107.6,96.7,.233,.547,.580,50.0,48.7,11.4,17.4,,.541,8.7,15.2,.198,,.543,11.6,90.0,.183
19,19,2021-11-26,,NOP,L,97,98,100.5,101.5,96.6,.225,.413,.552,52.4,47.2,6.2,12.9,,.531,16.2,21.4,.150,,.489,12.1,85.0,.124
