,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,OKC,W,107,86,40,91,.440,14,47,.298,13,15,.867,12,53,18,6,5,10,19,113.3,91.0,94.5,.165,.516,.548,51.5,45.0,6.4,8.9,.516,9.3,25.5,.143,.412,12.4,73.2,.121
1,2021-10-22,A,SAC,W,110,101,37,90,.411,16,42,.381,20,23,.870,13,51,16,14,3,17,17,107.6,98.8,102.3,.256,.467,.549,49.5,43.2,13.7,4.8,.500,14.5,26.5,.222,.434,12.2,70.4,.152
2,2021-10-26,H,DEN,W,122,110,44,85,.518,12,39,.308,22,29,.759,8,41,20,5,6,13,22,121.9,109.9,100.1,.341,.459,.624,53.9,45.5,5.0,10.9,.588,11.7,21.1,.259,.566,12.2,86.8,.193
3,2021-10-28,A,HOU,W,122,91,41,85,.482,16,46,.348,24,30,.800,10,58,24,8,4,16,23,121.3,90.4,100.6,.353,.541,.621,58.6,58.5,8.0,7.8,.576,14.0,26.3,.282,.374,9.5,78.7,.211
4,2021-10-30,A,CHI,L,99,107,35,92,.380,11,38,.289,18,19,.947,14,54,15,5,7,20,21,96.9,104.7,102.2,.207,.413,.493,54.5,42.9,4.9,10.0,.440,16.6,28.0,.196,.456,8.0,81.6,.264
5,2021-10-31,A,MIL,W,107,95,35,75,.467,12,37,.324,25,27,.926,7,44,13,6,10,12,10,117.9,104.7,90.7,.360,.493,.616,50.0,37.1,6.6,18.2,.547,12.1,18.4,.333,.469,8.4,74.0,.052
6,2021-11-02,H,SAC,W,119,113,43,98,.439,14,48,.292,19,27,.704,15,59,16,7,6,16,23,111.7,106.1,106.5,.276,.490,.541,60.8,37.2,6.6,9.7,.510,12.7,31.9,.194,.516,9.6,88.0,.183
7,2021-11-04,A,ATL,W,116,98,41,81,.506,17,41,.415,17,23,.739,8,46,30,6,4,14,20,122.1,103.2,95.0,.284,.506,.637,59.0,73.2,6.3,7.4,.611,13.3,22.9,.210,.470,8.8,88.4,.256
8,2021-11-06,A,MIA,L,115,118,43,83,.518,15,45,.333,14,19,.737,7,31,26,10,3,6,19,128.1,131.4,89.8,.229,.542,.629,46.3,60.5,11.1,5.3,.608,6.2,19.4,.169,.673,14.1,77.4,.167
9,2021-11-07,A,ORL,L,100,107,34,89,.382,8,42,.190,24,29,.828,16,50,21,10,7,17,17,102.9,110.1,97.2,.326,.472,.491,56.2,61.8,10.3,12.7,.427,14.3,33.3,.270,.563,12.4,82.9,.103
10,2021-11-09,H,ATL,W,110,98,41,81,.506,15,38,.395,13,16,.813,8,44,21,8,4,14,20,119.6,106.5,92.0,.198,.469,.625,57.9,51.2,8.7,8.0,.599,13.7,23.5,.160,.541,11.0,85.7,.071
11,2021-11-11,H,IND,L,100,111,39,83,.470,9,32,.281,13,23,.565,7,37,22,6,4,12,16,104.4,115.9,95.8,.277,.386,.537,41.1,56.4,6.3,6.2,.524,11.4,15.6,.157,.505,8.7,66.7,.146
12,2021-11-13,H,MIA,L,105,111,35,85,.412,17,53,.321,18,25,.720,12,38,23,13,2,16,19,109.1,115.4,96.2,.294,.624,.547,44.2,65.7,13.5,3.8,.512,14.3,25.5,.212,.571,17.1,66.7,.165
13,2021-11-16,H,PHI,W,120,85,46,89,.517,16,38,.421,12,19,.632,6,56,27,5,8,9,20,121.6,86.2,98.6,.213,.427,.616,57.1,58.7,5.1,13.1,.607,8.5,14.3,.135,.400,7.6,89.3,.144
14,2021-11-18,H,TOR,W,119,103,44,80,.550,19,46,.413,12,13,.923,10,46,34,8,9,23,18,123.9,107.2,96.0,.163,.575,.694,56.8,77.3,8.3,16.1,.669,21.2,32.3,.150,.468,10.6,72.0,.160
15,2021-11-20,A,SAC,W,123,105,46,91,.505,17,39,.436,14,17,.824,14,52,20,5,2,11,16,129.2,110.3,95.2,.187,.429,.624,59.8,43.5,5.3,3.3,.599,10.0,34.1,.154,.505,7.4,82.6,.143
16,2021-11-22,H,MEM,L,118,119,41,87,.471,17,43,.395,19,25,.760,10,46,26,5,10,14,20,120.9,121.9,97.6,.287,.494,.602,47.9,63.4,5.1,16.7,.569,12.5,22.7,.218,.511,6.1,69.2,.232
17,2021-11-24,A,OKC,W,110,104,39,86,.453,15,47,.319,17,20,.850,7,43,19,11,8,9,15,113.8,107.6,96.7,.233,.547,.580,50.0,48.7,11.4,17.4,.541,8.7,15.2,.198,.543,11.6,90.0,.183
18,2021-11-26,H,NOP,L,97,98,36,80,.450,13,33,.394,12,18,.667,9,43,17,6,8,17,22,100.5,101.5,96.6,.225,.413,.552,52.4,47.2,6.2,12.9,.531,16.2,21.4,.150,.489,12.1,85.0,.124
19,2021-11-27,H,NOP,W,127,105,45,80,.563,20,35,.571,17,22,.773,7,41,24,9,4,18,25,128.4,106.2,98.9,.275,.438,.708,47.7,53.3,9.1,6.9,.688,16.7,18.4,.213,.473,11.3,70.8,.183
20,2021-11-29,H,POR,W,129,107,47,89,.528,19,46,.413,16,23,.696,8,43,30,6,3,5,19,138.6,115.0,93.1,.258,.517,.651,50.6,63.8,6.4,5.0,.635,4.8,21.1,.180,.522,7.5,74.5,.132
21,2021-12-03,H,BOS,W,137,130,45,81,.556,27,51,.529,20,23,.870,9,44,26,3,3,19,27,137.7,130.7,99.5,.284,.630,.752,59.5,57.8,3.0,5.8,.722,17.3,26.5,.247,.593,5.6,87.5,.242
22,2021-12-05,A,CLE,W,109,108,40,90,.444,20,48,.417,9,10,.900,14,46,24,8,5,17,14,116.9,115.9,93.2,.111,.533,.577,50.5,60.0,8.6,9.4,.556,15.3,31.8,.100,.538,11.8,68.1,.110
23,2021-12-08,A,MIN,W,136,104,50,88,.568,25,54,.463,11,15,.733,6,48,26,6,4,13,20,132.1,101.0,102.9,.170,.614,.719,56.5,52.0,5.8,8.3,.710,12.1,17.6,.125,.489,12.8,82.4,.116
24,2021-12-09,A,PHI,W,118,96,43,91,.473,15,40,.375,17,24,.708,16,52,22,7,5,11,14,125.3,102.0,94.1,.264,.440,.581,60.5,51.2,7.4,9.1,.555,9.8,36.4,.187,.466,8.7,85.7,.159
25,2021-12-11,A,WAS,W,123,98,48,93,.516,13,39,.333,14,17,.824,12,49,28,5,5,8,14,129.1,102.8,95.3,.183,.419,.612,55.7,58.3,5.2,7.8,.586,7.4,28.6,.151,.506,11.2,80.4,.090
26,2021-12-15,H,LAC,W,124,103,47,89,.528,15,37,.405,15,20,.750,8,44,26,11,4,9,18,125.5,104.2,98.8,.225,.416,.634,51.2,55.3,11.1,7.3,.612,8.4,19.0,.169,.529,14.6,81.8,.153
27,2021-12-17,H,SAS,L,126,128,46,93,.495,13,37,.351,21,26,.808,13,50,26,5,6,12,18,124.3,126.2,101.4,.280,.398,.603,53.8,56.5,4.9,10.2,.565,10.3,28.9,.226,.575,6.1,77.1,.130
28,2021-12-18,H,WAS,L,103,109,35,81,.432,14,44,.318,19,30,.633,8,46,17,5,6,15,23,104.3,110.3,98.8,.370,.543,.547,49.5,48.6,5.1,9.5,.519,13.7,18.2,.235,.495,8.1,77.6,.170
29,2021-12-20,H,CHO,W,112,102,34,96,.354,16,53,.302,28,37,.757,22,68,21,4,6,17,14,107.1,97.6,104.5,.385,.552,.499,57.1,61.8,3.8,10.3,.438,13.1,35.5,.292,.460,11.0,80.7,.089
30,2021-12-23,H,MIN,W,128,116,48,90,.533,16,39,.410,16,22,.727,10,45,31,7,7,15,17,125.4,113.7,102.1,.244,.433,.642,50.6,64.6,6.9,12.5,.622,13.1,25.6,.178,.530,11.6,70.0,.089
31,2021-12-25,H,DAL,W,120,116,40,90,.444,12,36,.333,28,37,.757,13,49,24,9,6,14,24,114.1,110.3,105.2,.411,.400,.565,53.3,60.0,8.6,10.2,.511,11.6,27.1,.311,.483,11.1,81.8,.337
32,2021-12-27,A,SAS,W,110,104,39,86,.453,9,31,.290,23,30,.767,7,55,19,9,4,14,15,105.8,100.0,104.0,.349,.360,.554,55.6,48.7,8.7,5.7,.506,12.4,16.7,.267,.500,8.8,84.2,.040
33,2021-12-29,A,POR,W,120,105,46,87,.529,8,29,.276,20,32,.625,13,46,22,6,3,11,20,124.6,109.0,96.3,.368,.333,.594,50.5,47.8,6.2,6.3,.575,9.8,27.7,.230,.500,9.2,75.0,.193
34,2021-12-31,H,MIN,W,120,108,37,78,.474,11,29,.379,35,41,.854,10,49,18,4,5,17,20,120.1,108.1,99.9,.526,.372,.625,54.4,48.6,4.0,9.6,.545,15.0,25.0,.449,.505,8.9,78.0,.151
35,2022-01-01,H,GSW,L,116,123,40,92,.435,14,44,.318,22,28,.786,15,45,19,7,0,13,21,115.9,122.9,100.1,.304,.478,.556,52.9,47.5,7.0,0.0,.511,11.1,31.3,.239,.634,13.6,81.1,.163
36,2022-01-03,A,NOP,W,115,104,41,85,.482,19,39,.487,14,17,.824,10,43,22,6,4,14,24,121.9,110.2,94.4,.200,.459,.622,47.8,53.7,6.4,7.8,.594,13.1,25.0,.165,.464,8.6,66.0,.144
37,2022-01-05,A,DEN,W,115,109,43,92,.467,14,41,.341,15,18,.833,8,44,22,7,4,7,18,117.6,111.4,97.8,.196,.446,.575,51.2,51.2,7.2,7.7,.543,6.5,18.2,.163,.540,11.3,85.7,.159
38,2022-01-07,A,TOR,L,108,122,39,81,.481,17,38,.447,13,18,.722,7,40,23,3,4,21,21,110.2,124.5,98.0,.222,.469,.607,45.5,59.0,3.1,6.8,.586,19.1,19.4,.160,.510,5.9,63.5,.200
39,2022-01-08,A,IND,L,113,125,40,84,.476,15,35,.429,18,19,.947,9,39,20,6,3,14,25,117.2,129.7,96.4,.226,.417,.612,50.6,50.0,6.2,5.9,.565,13.2,21.4,.214,.638,9.6,85.7,.288
40,2022-01-10,A,DET,L,116,126,44,86,.512,11,33,.333,17,22,.773,10,40,23,9,4,16,16,117.6,127.8,98.6,.256,.384,.606,50.6,52.3,9.1,7.1,.576,14.3,25.0,.198,.618,10.1,76.9,.118
41,2022-01-12,H,CLE,L,91,111,34,85,.400,16,47,.340,7,11,.636,4,32,11,7,2,7,16,98.7,120.4,92.2,.129,.553,.506,39.0,32.4,7.6,3.9,.494,7.2,8.5,.082,.599,12.8,80.0,.173
42,2022-01-16,A,DEN,W,125,102,44,84,.524,15,39,.385,22,29,.759,9,51,26,8,5,9,16,127.9,104.3,97.8,.345,.464,.646,56.7,59.1,8.2,9.6,.613,8.5,21.4,.262,.500,8.4,87.5,.074
43,2022-01-17,A,LAL,L,95,101,31,83,.373,12,46,.261,21,24,.875,8,44,21,6,6,15,21,98.3,104.5,96.6,.289,.554,.508,49.4,67.7,6.2,12.2,.446,13.8,18.6,.253,.506,11.1,78.3,.163
44,2022-01-19,H,HOU,L,111,116,42,89,.472,10,38,.263,17,20,.850,11,49,26,7,5,9,16,117.0,122.2,94.9,.225,.427,.567,52.7,61.9,7.4,9.8,.528,8.4,25.6,.191,.542,7.2,76.0,.125
45,2022-01-21,H,DET,W,111,101,36,79,.456,10,31,.323,29,34,.853,7,44,22,3,7,10,21,118.5,107.9,93.6,.430,.392,.591,52.4,61.1,3.2,12.7,.519,9.6,18.4,.367,.511,9.6,80.4,.138
46,2022-01-23,A,GSW,L,92,94,31,81,.383,11,35,.314,19,23,.826,17,51,17,7,2,9,13,111.9,114.3,82.2,.284,.432,.505,56.0,54.8,8.5,4.9,.451,9.0,36.2,.235,.512,9.3,77.3,.108
47,2022-01-24,A,PHO,L,109,115,40,81,.494,14,31,.452,15,22,.682,7,38,16,11,3,13,15,112.6,118.8,96.8,.272,.383,.601,42.7,40.0,11.4,4.8,.580,12.5,17.5,.185,.540,11.7,63.3,.081
48,2022-01-26,H,PHO,L,97,105,34,79,.430,12,30,.400,17,23,.739,8,39,20,6,4,14,28,106.1,114.8,91.5,.291,.380,.544,47.0,58.8,6.6,6.3,.506,13.6,18.6,.215,.530,6.9,77.5,.220
49,2022-01-28,A,MEM,L,109,119,37,85,.435,17,46,.370,18,21,.857,11,37,20,10,3,16,16,112.2,122.4,97.2,.247,.541,.578,46.8,54.1,10.3,5.1,.535,14.5,24.4,.212,.616,13.9,76.5,.220
50,2022-01-30,A,MIN,L,106,126,38,81,.469,15,40,.375,15,21,.714,9,38,23,8,4,18,24,107.1,127.3,99.0,.259,.494,.587,48.7,60.5,8.1,6.9,.562,16.6,23.1,.185,.624,14.2,74.4,.169
51,2022-02-02,H,DEN,W,108,104,42,86,.488,7,29,.241,17,22,.773,8,37,21,8,4,7,12,118.4,114.0,91.2,.256,.337,.564,48.7,50.0,8.8,7.8,.529,6.8,20.0,.198,.601,14.2,80.6,.114
52,2022-02-04,H,BRK,W,125,102,48,85,.565,17,38,.447,12,14,.857,9,50,33,7,5,16,16,130.6,106.6,95.7,.165,.447,.686,54.3,68.8,7.3,7.7,.665,14.9,25.7,.141,.475,8.0,71.9,.081
53,2022-02-07,H,NYK,W,113,104,39,93,.419,12,48,.250,23,27,.852,14,49,19,6,6,10,26,113.2,104.2,99.8,.290,.516,.539,46.7,48.7,6.0,9.7,.484,8.7,28.0,.247,.421,12.7,63.6,.253
54,2022-02-09,H,GSW,W,111,85,41,89,.461,17,51,.333,12,17,.706,11,52,26,3,9,9,16,120.8,92.5,91.9,.191,.573,.575,59.8,63.4,3.3,25.7,.556,8.5,25.6,.135,.462,11.4,93.2,.167
55,2022-02-11,H,ORL,W,114,99,40,89,.449,13,41,.317,21,24,.875,11,50,22,15,5,15,14,114.7,99.6,99.4,.270,.461,.573,55.6,55.0,15.1,10.2,.522,13.1,26.2,.236,.518,16.5,81.3,.143
56,2022-02-14,H,HOU,W,135,101,49,89,.551,18,40,.450,19,22,.864,13,53,34,6,5,13,22,141.2,105.6,95.6,.247,.449,.684,61.6,69.4,6.3,10.9,.652,11.6,36.1,.213,.494,11.2,80.0,.229
57,2022-02-16,A,LAL,L,101,106,37,79,.468,11,33,.333,16,19,.842,8,41,17,11,6,13,22,110.0,115.5,91.8,.241,.418,.578,48.2,45.9,12.0,12.0,.538,13.0,20.0,.203,.535,10.3,73.3,.163
