,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,IND,W,114,107,42,92,.457,11,31,.355,19,24,.792,14,53,21,5,10,16,19,,39,97,.402,15,42,.357,14,21,.667,12,42,21,7,5,15,20
2,2,2022-10-21,,CHI,W,102,100,41,80,.513,10,26,.385,10,11,.909,5,39,26,8,8,16,22,,33,79,.418,7,27,.259,27,33,.818,10,38,19,8,3,13,15
3,3,2022-10-23,@,CLE,L,107,117,43,87,.494,12,28,.429,9,15,.600,4,35,25,9,4,18,24,,41,96,.427,13,33,.394,22,25,.880,16,48,19,10,5,13,20
4,4,2022-10-25,,DET,W,120,99,44,85,.518,10,33,.303,22,26,.846,9,47,26,7,7,11,21,,36,88,.409,8,28,.286,19,25,.760,11,41,12,6,1,13,26
5,5,2022-10-28,,IND,L,117,127,41,86,.477,12,30,.400,23,28,.821,9,38,25,5,3,13,23,,41,81,.506,15,29,.517,30,33,.909,5,41,30,4,7,13,19
6,6,2022-10-30,@,BOS,L,94,112,38,98,.388,7,32,.219,11,16,.688,15,51,22,5,6,8,20,,36,79,.456,21,47,.447,19,20,.950,4,47,29,4,5,13,15
7,7,2022-10-31,,PHI,L,111,118,38,81,.469,10,25,.400,25,26,.962,9,41,22,8,4,15,18,,46,83,.554,12,30,.400,14,20,.700,4,37,26,14,3,13,20
8,8,2022-11-02,@,PHI,W,121,111,45,78,.577,5,21,.238,26,32,.813,7,43,27,4,9,7,18,,39,84,.464,19,36,.528,14,20,.700,6,32,25,3,1,8,25
9,9,2022-11-04,,BRK,L,86,128,30,83,.361,8,34,.235,18,22,.818,7,39,18,4,3,13,15,,50,90,.556,14,28,.500,14,14,1.000,7,48,32,8,7,7,19
10,10,2022-11-06,@,MEM,L,97,103,41,96,.427,8,41,.195,7,10,.700,15,49,25,5,5,10,21,,39,91,.429,9,29,.310,16,20,.800,12,50,20,8,2,10,17
11,11,2022-11-07,@,CHO,W,108,100,42,80,.525,5,19,.263,19,30,.633,10,47,21,2,6,14,18,,42,101,.416,5,32,.156,11,16,.688,17,45,27,8,7,10,23
12,12,2022-11-10,,DAL,W,113,105,41,84,.488,12,30,.400,19,20,.950,8,52,25,5,5,17,21,,37,86,.430,18,47,.383,13,21,.619,7,41,19,9,1,12,13
13,13,2022-11-12,,UTA,W,121,112,44,88,.500,16,36,.444,17,20,.850,6,46,27,6,8,9,14,,44,94,.468,14,40,.350,10,11,.909,7,42,33,4,3,12,17
14,14,2022-11-13,,MEM,W,102,92,36,86,.419,19,40,.475,11,21,.524,9,47,26,9,6,15,15,,38,96,.396,9,28,.321,7,10,.700,14,51,21,7,6,16,24
