,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,@,TOR,W,98,83,94.4,80.0,103.8,.321,.333,.530,48.6,55.6,13.5,12.7,,.475,18.5,16.7,.259,,.345,15.1,69.8,.165
2,2,2021-10-22,,IND,W,135,134,127.4,126.5,96.0,.202,.404,.659,47.5,49.0,4.7,9.5,,.622,8.1,14.6,.191,,.613,10.2,82.1,.155
3,3,2021-10-25,@,BRK,L,90,104,87.8,101.4,102.5,.211,.411,.434,49.5,48.5,4.9,8.5,,.395,10.4,17.5,.158,,.479,8.1,86.0,.149
4,4,2021-10-27,@,BOS,W,116,107,118.4,109.2,98.0,.345,.298,.599,56.0,41.9,8.2,12.5,,.565,13.4,28.9,.250,,.494,11.8,78.3,.271
5,5,2021-10-28,,ATL,W,122,111,122.9,111.9,99.2,.212,.343,.564,54.3,56.5,6.0,6.0,,.530,5.3,27.5,.172,,.580,12.1,86.0,.102
6,6,2021-10-30,,BOS,W,115,112,97.7,95.1,97.4,.346,.346,.480,53.4,50.0,5.1,8.6,,.413,9.8,20.7,.279,,.421,8.5,86.2,.206
7,7,2021-11-01,@,ATL,L,111,118,118.8,126.3,93.4,.186,.453,.597,43.4,65.9,7.5,8.2,,.552,11.4,17.1,.186,,.536,10.3,69.0,.349
8,8,2021-11-03,,TOR,L,100,109,107.3,117.0,93.2,.385,.410,.548,51.2,55.9,6.4,11.1,,.487,12.5,23.8,.308,,.523,9.4,77.3,.193
9,9,2021-11-05,,MEM,W,115,87,115.1,87.1,99.9,.155,.298,.641,57.6,69.4,4.0,9.2,,.643,16.7,15.6,.083,,.385,8.0,80.0,.135
10,10,2021-11-07,,MIL,W,101,94,103.2,96.1,97.9,.160,.333,.582,46.2,58.5,8.2,13.8,,.574,18.0,10.8,.099,,.447,10.5,70.4,.106
11,11,2021-11-10,@,CLE,W,97,94,106.9,103.6,90.7,.202,.333,.530,55.1,71.4,9.9,4.4,,.476,11.6,26.1,.202,,.520,14.1,86.0,.197
12,12,2021-11-13,@,ORL,W,104,92,109.0,96.4,95.4,.119,.417,.588,52.2,69.0,6.3,13.5,,.571,14.5,18.9,.095,,.408,11.4,74.5,.185
13,13,2021-11-15,,NOP,W,105,100,113.9,108.5,92.2,.298,.333,.553,48.3,59.0,9.8,7.5,,.524,5.0,13.6,.202,,.480,11.9,83.7,.392
14,14,2021-11-17,@,CHO,L,87,97,93.6,104.3,93.0,.178,.467,.448,44.9,69.7,7.5,7.8,,.411,9.3,20.4,.144,,.490,10.0,69.8,.031
15,15,2021-11-18,@,MIA,L,97,112,106.4,122.8,91.2,.130,.468,.596,47.4,65.8,4.4,5.4,,.591,17.3,12.8,.078,,.561,6.1,82.1,.244
16,16,2021-11-20,,MIA,W,103,100,114.3,111.0,90.1,.311,.405,.612,48.6,61.1,6.7,3.7,,.561,18.4,25.0,.270,,.512,11.8,72.2,.210
17,17,2021-11-22,,CHO,L,103,109,101.9,107.8,101.1,.287,.394,.486,64.4,63.9,5.9,10.0,,.431,14.5,40.0,.234,,.522,9.0,88.2,.154
18,18,2021-11-24,@,NOP,L,102,127,97.9,121.9,104.2,.429,.369,.511,46.4,63.9,4.8,4.5,,.470,16.0,24.5,.274,,.521,8.3,72.7,.281
19,19,2021-11-26,@,OKC,W,101,99,106.3,104.2,95.0,.190,.367,.590,51.2,44.7,2.1,19.7,,.544,14.9,13.9,.190,,.463,8.2,79.2,.128
20,20,2021-11-27,@,DAL,W,120,114,126.5,120.2,94.8,.333,.308,.671,55.1,62.2,4.2,7.8,,.635,13.5,21.2,.269,,.551,6.6,80.0,.180
21,21,2021-11-29,@,SAS,L,99,116,108.8,127.5,91.0,.141,.337,.507,44.0,63.4,5.5,4.1,,.495,5.8,25.0,.087,,.576,9.2,65.1,.109
22,22,2021-12-01,,MIN,W,115,107,119.2,110.9,96.4,.231,.352,.574,57.1,75.6,6.2,13.7,,.549,11.5,34.1,.165,,.483,10.8,76.0,.250
23,23,2021-12-03,,CLE,L,101,116,106.1,121.8,95.2,.232,.378,.559,37.9,55.3,5.3,6.8,,.524,8.1,7.1,.183,,.545,12.3,66.7,.213
24,24,2021-12-05,@,TOR,L,90,102,100.0,113.3,90.0,.397,.342,.525,47.8,66.7,4.4,8.1,,.466,10.4,14.0,.301,,.494,7.7,78.7,.212
25,25,2021-12-06,@,IND,L,110,116,121.5,128.1,90.5,.259,.185,.609,42.9,58.1,12.1,3.4,,.574,11.7,25.0,.210,,.579,14.1,61.8,.256
26,26,2021-12-08,@,DET,W,119,116,118.3,115.3,91.1,.318,.364,.593,54.9,64.3,6.0,14.5,,.545,14.5,30.2,.261,,.551,13.7,82.1,.367
27,27,2021-12-11,,UTA,L,98,123,102.8,129.1,95.3,.157,.281,.515,44.3,41.5,3.1,5.6,,.506,11.2,19.6,.090,,.586,7.4,71.4,.151
28,28,2021-12-13,@,DEN,L,107,113,105.5,111.4,101.4,.233,.378,.539,45.6,61.0,6.9,10.6,,.522,9.2,11.8,.144,,.532,12.2,89.7,.367
29,29,2021-12-15,@,SAC,L,105,119,106.6,120.8,98.5,.236,.270,.534,50.0,47.6,8.1,5.4,,.500,9.2,17.5,.180,,.598,10.4,84.2,.256
30,30,2021-12-16,@,PHO,L,98,118,99.1,119.4,98.8,.232,.256,.542,40.5,55.0,11.1,6.0,,.524,15.0,13.6,.146,,.589,17.4,74.3,.316
31,31,2021-12-18,@,UTA,W,109,103,110.3,104.3,98.8,.213,.330,.530,50.5,64.3,7.1,10.8,,.495,8.1,22.4,.170,,.519,13.7,81.8,.235
32,32,2021-12-23,@,NYK,W,124,117,132.8,125.3,93.4,.427,.493,.696,46.3,71.4,4.3,11.8,,.667,11.0,14.3,.320,,.522,6.4,70.2,.215
33,33,2021-12-26,,PHI,L,96,117,101.6,123.8,94.5,.311,.367,.469,46.2,62.9,6.4,1.8,,.433,7.3,25.9,.200,,.570,11.1,74.4,.221
34,34,2021-12-28,@,MIA,L,112,119,120.2,127.8,93.1,.165,.494,.614,52.8,64.3,5.4,5.2,,.594,16.5,31.7,.129,,.533,6.4,70.8,.228
35,35,2021-12-30,,CLE,W,110,93,116.8,98.7,94.2,.189,.322,.564,51.6,60.0,7.4,14.5,,.550,6.7,21.7,.122,,.470,11.4,82.2,.181
36,36,2022-01-01,,CHI,L,119,120,116.1,117.1,102.5,.299,.310,.604,49.4,56.5,8.8,6.0,,.563,10.1,13.6,.241,,.589,13.6,86.0,.250
37,37,2022-01-03,,CHO,W,124,121,120.6,117.6,102.9,.356,.437,.616,53.1,65.0,4.9,6.1,,.552,13.0,23.8,.322,,.548,6.8,75.9,.067
38,38,2022-01-05,,HOU,L,111,114,104.6,107.4,106.1,.286,.429,.542,46.1,45.0,8.5,10.2,,.495,12.8,19.1,.231,,.524,16.8,76.2,.294
39,39,2022-01-07,@,CHI,L,122,130,118.8,126.6,102.7,.295,.273,.613,50.0,62.2,7.8,8.6,,.551,13.1,24.4,.284,,.610,13.0,75.6,.209
40,40,2022-01-09,@,ORL,W,102,100,106.0,104.0,96.2,.273,.330,.517,56.3,63.9,1.0,9.0,,.472,10.9,26.7,.216,,.447,6.4,82.4,.158
41,41,2022-01-11,,OKC,W,122,118,125.5,121.4,97.2,.264,.379,.628,50.6,61.7,3.1,11.9,,.603,7.6,17.9,.195,,.536,4.6,79.5,.133
42,42,2022-01-12,,ORL,W,112,106,119.6,113.2,93.7,.256,.378,.614,46.2,60.5,6.4,6.3,,.585,9.9,16.2,.195,,.470,7.8,66.7,.131
43,43,2022-01-15,,POR,L,110,115,106.1,111.0,103.6,.256,.411,.549,52.4,51.3,3.9,6.5,,.500,16.7,24.4,.222,,.535,10.7,80.5,.282
44,44,2022-01-17,,PHI,W,117,98,118.0,98.8,99.2,.368,.345,.579,53.8,59.5,7.1,10.0,,.534,10.6,22.0,.276,,.448,11.0,80.0,.244
45,45,2022-01-19,,BRK,L,118,119,120.6,121.6,97.8,.372,.337,.590,52.6,56.1,6.1,12.5,,.535,10.7,31.0,.302,,.573,10.9,79.4,.191
46,46,2022-01-21,,TOR,L,105,109,113.0,117.3,92.9,.118,.388,.587,52.9,67.4,3.2,5.0,,.571,16.0,27.5,.094,,.528,7.6,75.6,.156
47,47,2022-01-23,,BOS,L,87,116,89.9,119.9,96.8,.172,.366,.435,43.6,60.6,8.3,11.8,,.398,5.7,16.4,.140,,.550,11.6,76.1,.189
48,48,2022-01-25,,LAC,L,115,116,110.4,111.4,104.2,.500,.338,.589,52.0,67.6,3.8,10.8,,.519,15.6,21.7,.400,,.473,9.3,77.8,.287
49,49,2022-01-29,@,MEM,L,95,115,101.9,123.4,93.2,.250,.345,.509,38.1,77.1,6.4,7.2,,.476,11.4,15.2,.179,,.525,7.9,58.8,.100
50,50,2022-02-01,@,MIL,L,98,112,103.7,118.5,94.5,.244,.427,.540,47.6,61.1,4.2,9.3,,.512,11.7,16.3,.171,,.565,8.6,80.5,.087
51,51,2022-02-02,@,PHI,W,106,103,119.6,116.2,88.7,.211,.244,.539,55.9,61.0,1.1,7.8,,.506,7.5,32.6,.167,,.511,4.0,78.7,.110
52,52,2022-02-05,,PHO,L,80,95,87.1,103.4,91.9,.224,.282,.428,39.6,46.7,8.7,5.9,,.382,8.8,15.4,.176,,.444,8.7,63.0,.071
53,53,2022-02-07,,MIA,L,100,121,103.4,125.1,96.7,.288,.388,.555,47.1,69.4,10.3,0.0,,.494,15.1,17.9,.263,,.684,17.4,83.9,.224
54,54,2022-02-10,,BRK,W,113,112,123.0,121.9,91.9,.212,.365,.608,49.4,67.4,7.6,9.1,,.571,10.6,25.0,.188,,.524,9.4,72.1,.286
55,55,2022-02-12,,SAC,L,110,123,116.7,130.5,94.3,.239,.432,.566,43.2,63.4,11.7,6.3,,.540,8.5,21.7,.170,,.645,13.6,78.6,.329
56,56,2022-02-14,,DET,W,103,94,110.2,100.6,93.4,.212,.341,.554,50.6,52.5,8.6,4.8,,.524,13.9,24.4,.165,,.424,10.2,72.9,.259
57,57,2022-02-16,@,IND,L,108,113,112.0,117.2,96.4,.176,.407,.551,52.4,64.1,7.3,4.8,,.522,10.9,26.7,.143,,.566,10.3,82.1,.229
58,58,2022-02-17,@,BRK,W,117,103,123.1,108.4,95.0,.193,.289,.650,47.5,56.5,10.5,13.7,,.627,14.3,22.9,.157,,.483,13.1,66.7,.191
59,59,2022-02-25,,SAS,L,153,157,127.3,130.7,99.4,.222,.352,.645,43.8,61.0,8.3,6.6,,.620,11.2,24.4,.176,,.586,12.1,63.6,.324
60,60,2022-02-26,@,CLE,L,86,92,93.4,99.9,92.1,.074,.284,.514,46.2,54.3,8.7,12.1,,.500,17.7,16.3,.062,,.434,12.2,72.9,.241
61,61,2022-03-01,,DET,W,116,113,122.3,119.1,94.9,.317,.317,.621,49.4,70.7,6.3,12.7,,.579,13.8,29.3,.256,,.522,10.7,68.2,.211
62,62,2022-03-04,,ATL,L,114,117,122.1,125.4,93.3,.106,.341,.641,51.3,80.4,2.1,12.7,,.624,13.6,21.2,.094,,.489,3.6,72.3,.308
63,63,2022-03-06,,IND,W,133,123,135.1,125.0,98.4,.372,.488,.664,46.2,73.3,6.1,7.4,,.622,4.8,12.5,.302,,.576,9.3,81.6,.294
64,64,2022-03-09,@,LAC,L,109,115,113.8,120.0,95.8,.230,.310,.569,50.0,63.4,10.4,5.6,,.529,11.1,20.9,.195,,.593,11.6,82.1,.151
65,65,2022-03-11,@,LAL,L,109,122,115.2,128.9,94.6,.388,.318,.548,56.0,53.8,6.3,10.0,,.512,9.1,31.8,.259,,.604,6.6,82.5,.132
66,66,2022-03-12,@,POR,L,118,127,121.1,130.4,97.4,.325,.410,.622,44.9,66.7,7.2,12.7,,.554,12.9,22.5,.313,,.575,9.7,68.4,.215
67,67,2022-03-14,@,GSW,L,112,126,113.7,127.9,98.5,.280,.317,.608,44.3,66.7,7.1,2.6,,.573,11.5,11.6,.220,,.643,12.2,83.3,.214
68,68,2022-03-16,,DEN,L,109,127,112.3,130.8,97.1,.356,.264,.542,53.9,63.4,7.2,15.1,,.500,9.0,28.3,.253,,.594,8.3,81.4,.222
69,69,2022-03-18,@,NYK,L,97,100,101.4,104.5,95.7,.266,.430,.550,38.8,55.9,2.1,10.5,,.513,12.8,6.8,.203,,.400,10.2,64.8,.311
70,70,2022-03-19,,LAL,W,127,119,131.6,123.3,96.5,.365,.365,.644,46.8,68.2,10.4,1.8,,.594,6.6,17.9,.306,,.599,11.1,76.3,.110
71,71,2022-03-21,@,HOU,L,97,115,102.0,120.9,95.1,.282,.341,.508,51.6,68.6,7.4,13.0,,.447,10.3,20.8,.247,,.612,11.7,86.0,.129
72,72,2022-03-24,@,MIL,L,102,114,106.7,119.3,95.6,.098,.413,.531,50.0,58.1,9.4,2.2,,.527,10.3,24.5,.054,,.617,14.6,87.9,.173
73,73,2022-03-25,@,DET,W,100,97,97.0,94.1,103.1,.253,.361,.542,48.4,63.9,5.8,11.1,,.488,15.6,11.6,.229,,.442,12.9,80.0,.137
74,74,2022-03-27,,GSW,W,123,115,123.3,115.2,99.8,.262,.333,.656,47.7,75.0,5.0,14.3,,.619,11.4,13.2,.226,,.472,8.6,74.0,.348
75,75,2022-03-29,,CHI,L,94,107,102.1,116.2,92.1,.215,.329,.543,50.7,65.8,6.5,10.4,,.519,13.9,18.9,.152,,.541,7.9,83.3,.176
76,76,2022-03-30,,ORL,W,127,110,125.4,108.6,101.3,.283,.391,.614,54.8,74.5,4.9,12.9,,.582,9.6,27.9,.217,,.474,9.4,78.0,.198
77,77,2022-04-01,,DAL,W,135,103,138.7,105.9,97.3,.244,.367,.677,55.6,67.3,7.2,10.0,,.639,8.3,20.5,.222,,.506,12.7,88.1,.308
78,78,2022-04-03,@,BOS,L,102,144,108.2,152.7,94.3,.244,.256,.562,45.1,55.3,4.2,4.3,,.512,11.7,17.9,.220,,.742,6.7,78.1,.099
79,79,2022-04-05,@,MIN,W,132,114,126.0,108.8,104.7,.139,.297,.616,57.8,67.9,3.8,8.0,,.619,8.5,22.0,.069,,.527,8.1,87.8,.198
80,80,2022-04-06,@,ATL,L,103,118,106.0,121.4,97.2,.128,.407,.567,53.0,61.9,4.1,7.5,,.547,13.4,15.8,.105,,.554,5.6,84.4,.174
81,81,2022-04-08,,NYK,L,92,114,96.6,119.7,95.2,.246,.406,.601,46.8,60.0,5.2,10.2,,.572,22.3,5.9,.188,,.557,9.4,77.8,.182
82,82,2022-04-10,@,CHO,L,108,124,110.5,126.9,97.7,.277,.245,.512,47.3,59.5,12.3,5.4,,.489,8.7,31.5,.170,,.640,15.2,70.3,.112
