,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,TOR,W,98,83,36,81,.444,5,27,.185,21,26,.808,7,51,20,14,8,21,17,94.4,80.0,103.8,.321,.333,.530,48.6,55.6,13.5,12.7,.475,18.5,16.7,.259,.345,15.1,69.8,.165
1,2021-10-22,H,IND,W,135,134,49,94,.521,19,38,.500,18,19,.947,6,38,24,5,6,9,21,127.4,126.5,96.0,.202,.404,.659,47.5,49.0,4.7,9.5,.622,8.1,14.6,.191,.613,10.2,82.1,.155
2,2021-10-25,A,BRK,L,90,104,33,95,.347,9,39,.231,15,20,.750,10,53,16,5,5,12,17,87.8,101.4,102.5,.211,.411,.434,49.5,48.5,4.9,8.5,.395,10.4,17.5,.158,.479,8.1,86.0,.149
3,2021-10-27,A,BOS,W,116,107,43,84,.512,9,25,.360,21,29,.724,11,47,18,8,7,15,20,118.4,109.2,98.0,.345,.298,.599,56.0,41.9,8.2,12.5,.565,13.4,28.9,.250,.494,11.8,78.3,.271
4,2021-10-28,H,ATL,W,122,111,46,99,.465,13,34,.382,17,21,.810,14,51,26,6,4,6,16,122.9,111.9,99.2,.212,.343,.564,54.3,56.5,6.0,6.0,.530,5.3,27.5,.172,.580,12.1,86.0,.102
5,2021-10-30,H,BOS,W,115,112,38,104,.365,10,36,.278,29,36,.806,12,62,19,6,7,13,22,97.7,95.1,97.4,.346,.346,.480,53.4,50.0,5.1,8.6,.413,9.8,20.7,.279,.421,8.5,86.2,.206
6,2021-11-01,A,ATL,L,111,118,41,86,.477,13,39,.333,16,16,1.000,7,36,27,7,4,12,24,118.8,126.3,93.4,.186,.453,.597,43.4,65.9,7.5,8.2,.552,11.4,17.1,.186,.536,10.3,69.0,.349
7,2021-11-03,H,TOR,L,100,109,34,78,.436,8,32,.250,24,30,.800,10,44,19,6,7,13,15,107.3,117.0,93.2,.385,.410,.548,51.2,55.9,6.4,11.1,.487,12.5,23.8,.308,.523,9.4,77.3,.193
8,2021-11-05,H,MEM,W,115,87,49,84,.583,10,25,.400,7,13,.538,5,53,34,4,6,18,13,115.1,87.1,99.9,.155,.298,.641,57.6,69.4,4.0,9.2,.643,16.7,15.6,.083,.385,8.0,80.0,.135
9,2021-11-07,H,MIL,W,101,94,41,81,.506,11,27,.407,8,13,.615,4,42,24,8,8,19,16,103.2,96.1,97.9,.160,.333,.582,46.2,58.5,8.2,13.8,.574,18.0,10.8,.099,.447,10.5,70.4,.106
10,2021-11-10,A,CLE,W,97,94,35,84,.417,10,28,.357,17,17,1.000,12,49,25,9,2,12,20,106.9,103.6,90.7,.202,.333,.530,55.1,71.4,9.9,4.4,.476,11.6,26.1,.202,.520,14.1,86.0,.197
11,2021-11-13,A,ORL,W,104,92,42,84,.500,12,35,.343,8,10,.800,7,48,29,6,7,15,17,109.0,96.4,95.4,.119,.417,.588,52.2,69.0,6.3,13.5,.571,14.5,18.9,.095,.408,11.4,74.5,.185
12,2021-11-15,H,NOP,W,105,100,39,84,.464,10,28,.357,17,25,.680,6,42,23,9,4,5,22,113.9,108.5,92.2,.298,.333,.553,48.3,59.0,9.8,7.5,.524,5.0,13.6,.202,.480,11.9,83.7,.392
