,Team,last_3_P,last_3_OppP,last_3_FG,last_3_FGA,last_3_FG%,last_3_3P,last_3_3PA,last_3_3P%,last_3_FT,last_3_FTA,last_3_FT%,last_3_ORB,last_3_TRB,last_3_AST,last_3_STL,last_3_BLK,last_3_TOV,last_3_PF,last_3_ORtg,last_3_DRtg,last_3_Pace,last_3_FTr,last_3_3PAr,last_3_TS%,last_3_TRB%,last_3_AST%,last_3_STL%,last_3_BLK%,last_3_OeFG%,last_3_OTOV%,last_3_OORB%,last_3_OFT/FGA,last_3_DeFG%,last_3_DTOV%,last_3_DDRB%,last_3_DFT/FGA,last_3_W,last_3_H,last_10_P,last_10_OppP,last_10_FG,last_10_FGA,last_10_FG%,last_10_3P,last_10_3PA,last_10_3P%,last_10_FT,last_10_FTA,last_10_FT%,last_10_ORB,last_10_TRB,last_10_AST,last_10_STL,last_10_BLK,last_10_TOV,last_10_PF,last_10_ORtg,last_10_DRtg,last_10_Pace,last_10_FTr,last_10_3PAr,last_10_TS%,last_10_TRB%,last_10_AST%,last_10_STL%,last_10_BLK%,last_10_OeFG%,last_10_OTOV%,last_10_OORB%,last_10_OFT/FGA,last_10_DeFG%,last_10_DTOV%,last_10_DDRB%,last_10_DFT/FGA,last_10_W,last_10_H,last_50_P,last_50_OppP,last_50_FG,last_50_FGA,last_50_FG%,last_50_3P,last_50_3PA,last_50_3P%,last_50_FT,last_50_FTA,last_50_FT%,last_50_ORB,last_50_TRB,last_50_AST,last_50_STL,last_50_BLK,last_50_TOV,last_50_PF,last_50_ORtg,last_50_DRtg,last_50_Pace,last_50_FTr,last_50_3PAr,last_50_TS%,last_50_TRB%,last_50_AST%,last_50_STL%,last_50_BLK%,last_50_OeFG%,last_50_OTOV%,last_50_OORB%,last_50_OFT/FGA,last_50_DeFG%,last_50_DTOV%,last_50_DDRB%,last_50_DFT/FGA,last_50_W,last_50_H
0,ATL,109.67,107.67,41.33,85.67,0.48,15.0,38.67,0.39,12.0,18.0,0.67,8.33,49.67,28.67,6.67,5.0,17.0,18.67,109.53,107.23,100.43,0.21,0.45,0.59,51.6,68.67,6.57,8.17,0.57,15.3,18.83,0.14,0.48,9.33,78.07,0.18,2.0,1.0,115.7,114.6,43.9,90.4,0.49,14.9,39.0,0.38,13.0,17.7,0.73,10.9,44.7,28.6,7.5,4.8,12.7,18.6,118.73,117.15,96.9,0.2,0.43,0.59,51.62,65.14,7.67,9.06,0.57,11.45,24.77,0.15,0.56,10.78,79.28,0.19,6.0,6.0,116.44,118.48,42.58,91.98,0.46,13.52,37.62,0.36,17.76,22.84,0.78,12.36,45.24,26.88,7.1,4.66,12.34,18.22,117.2,119.18,98.55,0.25,0.41,0.57,50.35,63.2,7.17,8.83,0.54,10.84,26.59,0.19,0.56,11.28,76.1,0.19,24.0,28.0
0,BOS,118.0,101.33,43.67,90.0,0.48,16.0,45.67,0.35,14.67,17.67,0.83,11.33,49.33,28.67,5.33,5.67,9.0,14.67,125.27,107.9,93.97,0.2,0.51,0.6,54.77,65.63,5.63,10.47,0.57,8.4,26.27,0.16,0.49,8.13,81.0,0.16,3.0,2.0,119.2,106.7,43.6,89.6,0.49,16.5,43.0,0.38,15.5,19.1,0.82,10.9,44.6,27.6,6.5,5.9,9.5,13.9,126.7,113.47,93.08,0.21,0.48,0.61,51.75,63.49,6.89,11.03,0.58,8.85,25.48,0.17,0.54,10.39,77.88,0.13,8.0,4.0,121.78,108.88,44.2,90.2,0.49,16.78,42.36,0.39,16.6,20.46,0.81,10.6,46.34,27.56,6.44,6.54,10.52,15.68,126.09,112.73,96.11,0.23,0.47,0.62,51.79,62.38,6.65,11.73,0.58,9.54,24.68,0.19,0.52,9.84,76.52,0.15,40.0,23.0
0,BRK,110.0,120.0,40.67,88.67,0.46,11.33,31.33,0.36,17.33,24.67,0.71,12.0,43.67,20.33,6.33,5.0,13.33,17.33,111.97,121.77,98.47,0.28,0.35,0.55,47.87,49.97,6.43,8.67,0.52,11.8,26.77,0.2,0.57,11.07,72.2,0.15,1.0,2.0,108.0,112.1,40.2,89.0,0.45,12.3,35.9,0.34,15.3,20.9,0.74,12.2,44.9,23.4,7.0,4.7,12.6,16.6,112.05,116.18,94.39,0.24,0.41,0.55,50.35,58.58,7.16,8.42,0.52,11.45,27.13,0.17,0.55,11.06,75.99,0.15,4.0,4.0,108.82,112.88,40.02,88.32,0.45,12.88,36.38,0.35,15.9,21.38,0.75,10.9,42.08,25.92,7.38,4.56,12.0,18.78,113.05,117.27,95.44,0.25,0.41,0.56,48.68,64.81,7.63,8.5,0.53,11.0,23.77,0.18,0.56,11.52,76.52,0.2,17.0,24.0
0,CHO,104.67,107.33,38.67,80.33,0.49,11.0,32.67,0.34,16.33,18.67,0.86,4.67,37.33,26.33,6.33,4.67,11.0,17.33,111.07,114.03,94.17,0.24,0.41,0.6,44.3,68.17,6.7,8.2,0.56,11.07,12.27,0.21,0.51,10.43,71.1,0.16,1.0,3.0,102.0,114.6,38.2,81.4,0.47,12.0,35.6,0.33,13.6,17.2,0.78,7.2,36.4,25.1,6.1,3.3,12.5,15.7,110.07,123.85,92.64,0.21,0.44,0.58,45.6,65.59,6.56,6.66,0.54,12.31,17.74,0.17,0.58,11.24,73.42,0.17,2.0,6.0,104.06,114.2,39.02,85.94,0.46,12.34,35.24,0.35,13.68,17.7,0.77,8.6,39.84,24.56,6.62,4.2,12.62,17.28,108.86,119.49,95.46,0.21,0.41,0.56,46.74,63.05,6.9,8.3,0.53,11.87,19.22,0.16,0.57,11.61,76.11,0.18,12.0,24.0
0,CHI,106.0,104.67,41.0,89.0,0.46,10.33,26.67,0.38,13.67,17.33,0.77,14.33,50.33,24.67,10.0,3.33,13.33,18.0,111.87,110.53,94.77,0.19,0.3,0.55,55.63,59.57,10.53,6.97,0.52,12.23,30.47,0.15,0.55,13.83,81.23,0.18,2.0,2.0,112.3,110.1,42.5,88.0,0.49,10.2,28.4,0.36,17.1,21.3,0.8,11.0,45.8,27.1,8.2,4.4,11.2,17.7,117.61,115.45,95.52,0.24,0.32,0.58,51.95,63.61,8.58,9.22,0.54,10.34,25.5,0.2,0.54,11.9,75.78,0.18,5.0,7.0,112.96,113.26,42.5,88.98,0.48,11.14,31.5,0.35,16.82,21.0,0.8,10.54,44.42,25.76,7.42,4.92,11.68,18.06,116.21,116.63,95.82,0.24,0.36,0.58,50.82,60.64,7.63,10.24,0.54,10.63,23.76,0.19,0.55,11.23,77.4,0.18,27.0,26.0
0,CLE,110.33,121.67,41.0,83.33,0.49,10.33,30.0,0.33,18.0,21.33,0.84,7.33,35.33,30.67,9.67,4.67,14.33,13.33,111.93,123.63,98.43,0.26,0.36,0.59,45.7,74.27,9.8,9.1,0.55,13.4,18.47,0.22,0.63,15.13,75.9,0.15,1.0,0.0,106.1,112.4,39.3,81.1,0.48,12.6,34.4,0.36,14.9,19.0,0.77,7.4,36.9,30.3,6.4,3.5,13.5,16.0,113.68,120.45,93.28,0.24,0.42,0.59,47.24,76.76,6.78,6.81,0.56,13.12,19.24,0.19,0.58,11.62,74.96,0.17,4.0,3.0,112.96,108.84,41.68,86.44,0.48,14.42,38.62,0.37,15.18,19.9,0.75,9.18,43.04,29.6,6.92,4.68,12.18,16.92,117.44,113.25,95.64,0.23,0.45,0.59,50.46,71.05,7.19,8.56,0.57,11.37,21.86,0.18,0.54,11.22,78.26,0.18,31.0,24.0
0,DAL,105.67,101.67,39.0,89.0,0.44,15.0,41.0,0.36,12.67,16.33,0.76,9.0,45.33,25.67,8.0,7.67,15.33,16.0,104.9,101.07,100.73,0.18,0.46,0.55,47.17,65.6,7.93,14.17,0.52,13.77,18.47,0.14,0.51,15.5,76.6,0.12,2.0,2.0,112.9,102.5,42.4,89.5,0.47,14.7,38.3,0.38,13.4,18.8,0.71,9.4,46.5,27.6,7.7,5.9,11.7,17.1,115.07,104.55,98.25,0.22,0.43,0.58,50.73,65.22,7.8,10.92,0.56,10.66,20.41,0.15,0.5,12.43,79.44,0.16,9.0,4.0,117.78,114.62,43.4,89.02,0.49,14.2,37.88,0.37,16.78,22.1,0.75,9.26,43.14,25.98,7.24,5.22,12.22,18.48,118.38,115.32,99.55,0.25,0.43,0.6,48.99,60.0,7.26,9.6,0.57,10.98,21.2,0.19,0.54,11.4,75.96,0.19,31.0,26.0
0,DEN,113.33,102.67,43.0,89.33,0.48,14.33,34.0,0.42,13.0,18.0,0.73,9.33,51.33,30.33,5.0,6.0,12.33,17.67,114.37,103.43,99.27,0.2,0.38,0.59,54.3,70.7,5.07,10.13,0.56,11.3,22.03,0.15,0.46,8.5,82.23,0.19,2.0,2.0,111.0,105.6,41.5,87.4,0.48,11.6,30.1,0.39,16.4,20.8,0.8,11.0,46.5,29.0,6.5,5.0,11.8,17.9,116.43,110.92,95.34,0.24,0.34,0.58,52.0,69.95,6.84,8.78,0.54,10.84,25.68,0.19,0.51,9.8,76.78,0.19,6.0,6.0,114.12,109.04,43.64,87.8,0.5,11.42,30.66,0.37,15.42,19.62,0.78,10.32,44.38,29.04,6.98,5.68,11.82,17.68,119.34,114.04,95.51,0.23,0.35,0.59,51.48,66.47,7.25,9.81,0.56,10.88,24.96,0.18,0.53,10.32,76.03,0.19,36.0,27.0
0,DET,103.67,113.0,38.33,84.0,0.46,9.67,29.33,0.33,17.33,22.33,0.78,9.0,38.67,22.67,11.33,5.33,13.67,14.33,105.9,115.4,97.93,0.27,0.35,0.55,45.13,59.87,11.5,9.37,0.51,12.8,20.8,0.21,0.55,13.97,72.03,0.16,0.0,1.0,99.7,114.0,36.4,84.6,0.43,8.8,30.2,0.29,18.1,22.4,0.81,9.0,41.8,21.3,8.2,3.7,13.9,17.4,102.61,117.42,97.18,0.27,0.36,0.53,48.33,58.66,8.41,7.21,0.48,12.85,20.71,0.21,0.57,11.72,77.02,0.16,1.0,4.0,111.16,118.48,41.0,88.12,0.47,11.64,32.82,0.36,17.52,22.3,0.79,10.38,43.88,25.7,6.54,4.48,14.2,19.94,111.71,119.06,98.87,0.26,0.37,0.57,50.85,62.81,6.57,8.14,0.53,12.65,23.64,0.2,0.56,10.36,78.8,0.21,11.0,26.0
0,GSW,114.33,106.0,43.0,87.67,0.5,14.67,34.0,0.43,13.67,16.67,0.85,11.33,46.33,28.33,9.0,3.67,16.67,20.0,117.37,108.53,97.77,0.19,0.39,0.6,55.6,66.1,9.17,7.5,0.58,14.93,30.27,0.16,0.52,13.33,78.77,0.19,2.0,1.0,114.7,106.6,44.8,91.0,0.49,14.1,36.8,0.39,11.0,14.3,0.75,12.0,47.8,30.1,8.0,4.3,13.1,18.2,119.55,110.72,96.16,0.16,0.4,0.59,53.48,66.82,8.29,8.7,0.57,11.83,28.25,0.12,0.52,11.62,76.22,0.16,7.0,3.0,118.56,115.16,45.02,92.8,0.49,14.54,38.28,0.38,13.98,18.12,0.76,11.74,46.44,30.0,6.94,4.8,13.06,18.6,119.5,115.98,98.66,0.2,0.41,0.59,52.13,66.5,6.98,9.32,0.56,11.49,26.83,0.15,0.54,11.05,76.33,0.18,29.0,25.0
