,home_last_3_P,home_last_3_OppP,home_last_3_FG,home_last_3_FGA,home_last_3_FG%,home_last_3_3P,home_last_3_3PA,home_last_3_3P%,home_last_3_FT,home_last_3_FTA,home_last_3_FT%,home_last_3_ORB,home_last_3_TRB,home_last_3_AST,home_last_3_STL,home_last_3_BLK,home_last_3_TOV,home_last_3_PF,home_last_3_ORtg,home_last_3_DRtg,home_last_3_Pace,home_last_3_FTr,home_last_3_3PAr,home_last_3_TS%,home_last_3_TRB%,home_last_3_AST%,home_last_3_STL%,home_last_3_BLK%,home_last_3_OeFG%,home_last_3_OTOV%,home_last_3_OORB%,home_last_3_OFT/FGA,home_last_3_DeFG%,home_last_3_DTOV%,home_last_3_DDRB%,home_last_3_DFT/FGA,home_last_3_W,home_last_3_H,home_last_10_P,home_last_10_OppP,home_last_10_FG,home_last_10_FGA,home_last_10_FG%,home_last_10_3P,home_last_10_3PA,home_last_10_3P%,home_last_10_FT,home_last_10_FTA,home_last_10_FT%,home_last_10_ORB,home_last_10_TRB,home_last_10_AST,home_last_10_STL,home_last_10_BLK,home_last_10_TOV,home_last_10_PF,home_last_10_ORtg,home_last_10_DRtg,home_last_10_Pace,home_last_10_FTr,home_last_10_3PAr,home_last_10_TS%,home_last_10_TRB%,home_last_10_AST%,home_last_10_STL%,home_last_10_BLK%,home_last_10_OeFG%,home_last_10_OTOV%,home_last_10_OORB%,home_last_10_OFT/FGA,home_last_10_DeFG%,home_last_10_DTOV%,home_last_10_DDRB%,home_last_10_DFT/FGA,home_last_10_W,home_last_10_H,home_last_50_P,home_last_50_OppP,home_last_50_FG,home_last_50_FGA,home_last_50_FG%,home_last_50_3P,home_last_50_3PA,home_last_50_3P%,home_last_50_FT,home_last_50_FTA,home_last_50_FT%,home_last_50_ORB,home_last_50_TRB,home_last_50_AST,home_last_50_STL,home_last_50_BLK,home_last_50_TOV,home_last_50_PF,home_last_50_ORtg,home_last_50_DRtg,home_last_50_Pace,home_last_50_FTr,home_last_50_3PAr,home_last_50_TS%,home_last_50_TRB%,home_last_50_AST%,home_last_50_STL%,home_last_50_BLK%,home_last_50_OeFG%,home_last_50_OTOV%,home_last_50_OORB%,home_last_50_OFT/FGA,home_last_50_DeFG%,home_last_50_DTOV%,home_last_50_DDRB%,home_last_50_DFT/FGA,home_last_50_W,home_last_50_H,away_last_3_P,away_last_3_OppP,away_last_3_FG,away_last_3_FGA,away_last_3_FG%,away_last_3_3P,away_last_3_3PA,away_last_3_3P%,away_last_3_FT,away_last_3_FTA,away_last_3_FT%,away_last_3_ORB,away_last_3_TRB,away_last_3_AST,away_last_3_STL,away_last_3_BLK,away_last_3_TOV,away_last_3_PF,away_last_3_ORtg,away_last_3_DRtg,away_last_3_Pace,away_last_3_FTr,away_last_3_3PAr,away_last_3_TS%,away_last_3_TRB%,away_last_3_AST%,away_last_3_STL%,away_last_3_BLK%,away_last_3_OeFG%,away_last_3_OTOV%,away_last_3_OORB%,away_last_3_OFT/FGA,away_last_3_DeFG%,away_last_3_DTOV%,away_last_3_DDRB%,away_last_3_DFT/FGA,away_last_3_W,away_last_3_H,away_last_10_P,away_last_10_OppP,away_last_10_FG,away_last_10_FGA,away_last_10_FG%,away_last_10_3P,away_last_10_3PA,away_last_10_3P%,away_last_10_FT,away_last_10_FTA,away_last_10_FT%,away_last_10_ORB,away_last_10_TRB,away_last_10_AST,away_last_10_STL,away_last_10_BLK,away_last_10_TOV,away_last_10_PF,away_last_10_ORtg,away_last_10_DRtg,away_last_10_Pace,away_last_10_FTr,away_last_10_3PAr,away_last_10_TS%,away_last_10_TRB%,away_last_10_AST%,away_last_10_STL%,away_last_10_BLK%,away_last_10_OeFG%,away_last_10_OTOV%,away_last_10_OORB%,away_last_10_OFT/FGA,away_last_10_DeFG%,away_last_10_DTOV%,away_last_10_DDRB%,away_last_10_DFT/FGA,away_last_10_W,away_last_10_H,away_last_50_P,away_last_50_OppP,away_last_50_FG,away_last_50_FGA,away_last_50_FG%,away_last_50_3P,away_last_50_3PA,away_last_50_3P%,away_last_50_FT,away_last_50_FTA,away_last_50_FT%,away_last_50_ORB,away_last_50_TRB,away_last_50_AST,away_last_50_STL,away_last_50_BLK,away_last_50_TOV,away_last_50_PF,away_last_50_ORtg,away_last_50_DRtg,away_last_50_Pace,away_last_50_FTr,away_last_50_3PAr,away_last_50_TS%,away_last_50_TRB%,away_last_50_AST%,away_last_50_STL%,away_last_50_BLK%,away_last_50_OeFG%,away_last_50_OTOV%,away_last_50_OORB%,away_last_50_OFT/FGA,away_last_50_DeFG%,away_last_50_DTOV%,away_last_50_DDRB%,away_last_50_DFT/FGA,away_last_50_W,away_last_50_H,Date,Home_Team,Away_Team,Home_Team_Won
0,112.33,106.33,42.33,84.67,0.5,11.33,31.33,0.36,16.33,22.67,0.74,7.33,44.67,26.0,7.67,5.33,12.67,20.67,114.33,108.2,98.1,0.27,0.37,0.59,50.4,61.77,7.87,10.47,0.57,11.87,17.3,0.19,0.51,10.9,80.4,0.19,2.0,3.0,116.2,109.9,41.4,83.1,0.5,13.7,35.8,0.38,19.7,24.5,0.8,7.2,41.3,26.6,7.2,5.3,12.0,20.7,119.81,113.58,96.96,0.3,0.43,0.62,49.01,64.39,7.37,10.52,0.58,11.4,18.31,0.24,0.53,11.58,76.34,0.21,7.0,8.0,111.5,111.22,40.72,87.3,0.47,12.5,33.44,0.37,17.56,21.94,0.8,9.7,44.4,24.22,6.74,4.42,11.7,18.28,115.11,114.84,96.83,0.25,0.39,0.58,50.43,59.56,6.95,8.55,0.54,10.78,21.99,0.2,0.54,10.51,78.13,0.17,24.0,26.0,123.33,115.0,44.33,85.67,0.52,14.0,34.0,0.4,20.67,26.67,0.75,9.33,44.0,31.0,6.0,3.67,11.67,17.67,126.5,118.0,97.47,0.32,0.4,0.64,53.63,70.07,6.2,7.2,0.6,10.77,23.73,0.25,0.56,8.97,80.8,0.17,3.0,3.0,118.0,106.4,44.6,89.0,0.5,10.8,30.4,0.35,18.0,23.4,0.76,10.9,46.5,27.7,7.9,5.0,10.7,19.2,121.38,109.51,97.16,0.27,0.34,0.6,53.44,61.92,8.14,9.62,0.56,9.67,25.36,0.21,0.52,11.51,80.15,0.19,10.0,5.0,113.02,105.08,42.68,89.22,0.48,11.6,31.66,0.37,16.06,20.2,0.8,10.1,45.9,26.44,8.58,4.24,12.82,19.34,114.38,106.47,98.64,0.23,0.36,0.58,50.55,62.07,8.66,7.75,0.54,11.55,22.63,0.18,0.51,12.67,76.9,0.18,41.0,27.0,2022-02-03,ATL,PHO,True
0,110.67,114.33,41.33,90.67,0.46,11.33,31.33,0.34,16.67,19.67,0.86,11.33,43.67,24.33,8.33,3.0,12.0,18.33,114.53,118.6,96.43,0.22,0.35,0.56,49.8,58.8,8.67,5.63,0.52,10.8,23.6,0.18,0.59,12.0,79.0,0.16,1.0,1.0,114.7,108.7,42.2,85.8,0.49,12.4,33.4,0.36,17.9,22.5,0.8,8.3,43.3,26.5,7.9,4.3,11.9,19.7,117.58,111.64,97.44,0.27,0.39,0.6,49.8,62.86,8.08,8.37,0.57,11.16,19.55,0.21,0.53,11.8,77.58,0.18,7.0,7.0,111.54,112.24,40.62,87.08,0.47,12.44,33.3,0.37,17.86,22.22,0.8,9.72,43.86,24.18,6.76,4.3,11.72,18.22,115.34,116.05,96.66,0.26,0.38,0.58,50.22,59.61,6.99,8.33,0.54,10.8,22.0,0.21,0.55,10.54,78.14,0.17,23.0,25.0,106.0,113.0,40.67,92.0,0.44,11.33,30.0,0.38,13.33,16.33,0.86,10.0,43.33,22.33,5.0,2.0,13.0,21.33,107.3,114.8,98.37,0.18,0.33,0.53,47.23,54.93,5.03,3.4,0.5,11.7,21.67,0.15,0.52,9.23,74.1,0.23,0.0,2.0,112.1,120.2,41.3,91.5,0.45,12.4,33.5,0.37,17.1,23.3,0.75,12.2,46.1,24.9,5.7,4.2,14.5,21.7,110.87,119.0,98.93,0.26,0.37,0.55,50.01,60.12,5.54,7.38,0.52,12.46,26.1,0.19,0.55,9.83,74.61,0.2,3.0,4.0,108.28,110.26,40.36,88.6,0.46,11.56,35.0,0.33,16.0,20.98,0.77,11.0,44.42,24.36,6.92,5.56,12.98,20.36,111.87,113.82,96.04,0.24,0.4,0.55,50.75,60.19,7.13,10.01,0.52,11.71,25.02,0.18,0.53,11.26,77.1,0.21,18.0,26.0,2022-02-08,ATL,IND,True
0,113.67,113.33,44.0,92.67,0.48,10.33,29.0,0.34,15.33,17.67,0.86,12.67,44.33,28.0,9.0,5.0,11.67,20.0,118.2,118.17,95.93,0.19,0.31,0.57,49.37,62.93,9.37,8.8,0.53,10.4,28.0,0.17,0.55,12.47,72.1,0.21,1.0,1.0,114.6,107.7,42.9,86.2,0.5,12.6,32.9,0.38,16.2,20.8,0.79,8.5,43.7,26.7,8.0,4.1,12.2,20.0,117.84,110.96,97.17,0.25,0.39,0.6,50.16,62.22,8.2,7.74,0.57,11.43,20.25,0.19,0.52,11.82,77.45,0.18,7.0,7.0,112.16,112.5,40.86,86.96,0.47,12.62,33.36,0.37,17.82,22.2,0.8,9.5,43.62,24.48,6.84,4.36,11.78,18.46,115.83,116.19,96.78,0.26,0.39,0.58,50.11,59.94,7.07,8.41,0.54,10.86,21.82,0.21,0.55,10.59,77.85,0.18,23.0,26.0,106.0,107.67,39.67,89.33,0.44,9.67,31.33,0.32,17.0,23.0,0.75,12.67,44.33,26.0,10.33,4.67,14.0,20.33,108.77,110.7,97.27,0.27,0.35,0.53,51.23,65.97,10.6,8.67,0.5,12.3,27.33,0.2,0.54,13.3,78.6,0.23,1.0,2.0,113.4,113.8,44.0,92.5,0.48,11.3,32.9,0.34,14.1,18.3,0.8,11.6,43.4,29.5,7.1,4.9,11.4,18.0,115.89,116.56,97.71,0.2,0.36,0.57,49.37,67.12,7.24,8.08,0.54,10.16,25.51,0.16,0.53,10.37,74.57,0.19,3.0,7.0,111.26,111.56,43.08,92.96,0.46,11.1,31.46,0.35,14.0,18.78,0.75,11.24,45.66,27.88,7.56,5.16,12.26,17.76,111.93,112.4,99.02,0.21,0.34,0.55,49.37,64.66,7.57,8.92,0.52,10.79,24.07,0.15,0.53,11.25,75.18,0.17,19.0,26.0,2022-02-11,ATL,SAS,False
0,116.33,117.67,44.33,95.33,0.47,14.33,38.0,0.39,13.33,15.33,0.87,12.67,46.67,27.33,8.0,5.0,13.67,22.0,116.03,117.13,100.17,0.16,0.4,0.57,50.5,60.57,7.93,8.77,0.54,11.8,27.17,0.14,0.53,11.4,75.57,0.25,1.0,2.0,113.9,111.9,43.2,90.2,0.48,12.3,33.8,0.36,15.2,19.0,0.82,10.0,45.3,26.2,8.1,4.2,12.3,20.1,115.62,113.62,98.37,0.21,0.38,0.58,50.54,60.38,8.24,7.84,0.55,11.1,22.0,0.17,0.54,11.35,78.57,0.2,5.0,7.0,112.38,112.44,40.8,87.22,0.47,12.86,34.12,0.37,17.92,22.14,0.81,9.54,43.72,24.4,6.96,4.44,11.68,18.6,115.94,116.0,96.87,0.26,0.39,0.58,50.08,59.78,7.18,8.58,0.54,10.76,21.83,0.21,0.55,10.72,77.94,0.18,23.0,27.0,106.0,102.67,39.33,80.0,0.49,8.67,23.0,0.38,18.67,23.0,0.82,7.0,39.0,19.67,7.67,4.0,13.67,14.67,110.37,107.23,95.77,0.29,0.29,0.59,48.07,50.33,7.83,7.33,0.55,13.2,18.33,0.23,0.51,13.13,75.3,0.14,2.0,1.0,103.0,100.6,37.9,82.8,0.46,11.2,30.0,0.37,16.0,22.0,0.74,10.7,43.6,24.0,7.5,4.0,13.1,18.6,110.07,107.56,93.48,0.27,0.36,0.56,49.29,63.96,7.98,7.52,0.53,12.39,24.31,0.19,0.5,12.91,73.26,0.18,7.0,5.0,107.04,101.84,39.62,84.6,0.47,11.96,33.34,0.36,15.84,21.1,0.76,10.16,44.96,25.22,7.1,4.4,13.44,16.92,112.57,107.27,95.0,0.25,0.39,0.57,51.2,63.69,7.44,8.3,0.54,12.56,23.8,0.19,0.5,11.99,76.4,0.16,32.0,25.0,2022-02-15,ATL,CLE,True
0,120.67,112.33,43.0,89.0,0.49,13.33,31.33,0.42,21.33,27.33,0.78,11.0,42.33,22.67,6.0,4.33,10.33,18.67,125.13,116.57,96.6,0.31,0.36,0.6,49.83,52.67,6.27,8.1,0.56,9.33,25.4,0.24,0.54,10.33,74.93,0.17,2.0,1.0,114.3,113.9,42.3,90.6,0.47,12.9,33.4,0.38,16.8,20.3,0.84,11.0,44.4,25.1,7.3,4.2,12.3,19.7,117.04,116.64,97.64,0.23,0.37,0.58,50.21,59.18,7.48,7.69,0.54,11.04,24.04,0.19,0.55,10.89,77.57,0.19,4.0,5.0,113.14,112.3,41.1,87.38,0.47,13.0,34.06,0.38,17.94,22.38,0.8,9.6,43.64,24.46,6.76,4.44,11.62,18.58,116.69,115.83,96.91,0.26,0.39,0.58,50.01,59.52,6.97,8.45,0.55,10.7,21.99,0.21,0.54,10.59,77.53,0.18,24.0,26.0,95.33,112.0,35.33,89.0,0.4,7.33,27.33,0.27,17.33,24.33,0.71,12.67,42.67,15.67,6.67,4.33,11.67,15.67,99.47,117.0,95.87,0.27,0.31,0.48,47.53,42.9,6.97,10.53,0.44,10.53,23.67,0.19,0.59,13.63,79.87,0.17,1.0,0.0,112.9,110.5,42.1,89.9,0.47,12.0,31.4,0.38,16.7,22.1,0.77,12.9,44.2,21.6,8.7,3.8,12.8,18.9,115.89,113.65,96.32,0.25,0.35,0.57,49.77,50.4,8.92,8.04,0.54,11.43,27.14,0.19,0.55,13.89,75.05,0.2,7.0,4.0,108.96,108.32,40.32,90.56,0.45,12.42,34.74,0.36,15.9,21.12,0.76,12.9,44.1,22.16,8.84,4.96,11.96,19.82,113.5,112.88,95.02,0.24,0.38,0.55,49.71,54.95,9.19,10.06,0.51,10.69,27.32,0.18,0.54,13.79,74.56,0.21,27.0,24.0,2022-02-26,ATL,TOR,True
0,111.0,106.33,41.67,87.67,0.48,9.33,30.0,0.31,18.33,24.33,0.76,7.67,42.33,20.67,6.0,5.0,10.0,19.0,114.27,109.77,96.97,0.28,0.34,0.57,48.93,48.93,6.2,8.77,0.53,9.3,17.37,0.21,0.51,9.63,79.0,0.21,1.0,1.0,114.4,112.5,42.6,90.7,0.47,11.7,32.4,0.36,17.5,21.1,0.84,10.9,43.9,24.0,7.7,4.8,11.4,19.5,117.6,115.73,97.22,0.24,0.36,0.57,49.48,55.73,7.92,8.67,0.54,10.23,23.92,0.2,0.54,11.3,75.59,0.19,4.0,4.0,113.04,111.48,41.18,87.12,0.47,12.8,33.78,0.38,17.88,22.32,0.8,9.46,43.58,24.52,6.9,4.62,11.44,18.72,116.89,115.33,96.63,0.26,0.39,0.58,49.9,59.52,7.13,8.75,0.55,10.58,21.78,0.21,0.54,10.57,77.31,0.18,25.0,27.0,107.0,112.0,40.33,87.0,0.47,8.0,25.33,0.33,18.33,24.0,0.75,5.67,40.67,18.67,7.67,5.0,10.33,20.33,107.13,112.2,99.87,0.27,0.29,0.55,46.17,46.23,7.67,7.83,0.51,9.63,14.2,0.21,0.5,10.4,72.47,0.21,1.0,2.0,115.9,114.1,43.7,87.2,0.5,10.0,27.0,0.37,18.5,22.5,0.81,7.9,44.0,22.4,6.0,3.7,11.2,18.4,117.29,115.54,98.84,0.26,0.31,0.6,51.68,50.88,6.06,6.27,0.56,10.36,19.49,0.21,0.53,9.04,80.21,0.2,6.0,8.0,113.34,112.06,42.42,87.2,0.49,11.36,30.18,0.38,17.14,21.3,0.8,8.68,43.0,24.54,6.7,4.42,12.2,19.06,115.49,114.28,97.93,0.25,0.35,0.59,50.01,57.44,6.8,7.83,0.55,11.16,20.41,0.2,0.54,10.8,78.64,0.2,31.0,26.0,2022-03-03,ATL,CHI,True
0,114.0,117.0,41.0,90.0,0.46,11.67,37.33,0.31,20.33,26.0,0.77,11.0,43.67,24.0,5.0,4.67,8.67,20.33,118.03,120.97,93.6,0.29,0.42,0.56,48.7,58.2,5.17,8.0,0.52,7.8,23.93,0.23,0.57,10.37,75.3,0.15,1.0,0.0,115.4,112.4,41.4,88.0,0.47,12.5,34.6,0.36,20.1,24.9,0.81,9.5,42.1,22.6,6.2,4.5,9.6,19.3,119.89,116.85,95.39,0.28,0.39,0.59,48.92,54.26,6.46,8.05,0.54,8.81,21.78,0.23,0.55,10.68,76.23,0.16,5.0,3.0,113.62,112.46,41.14,87.0,0.47,12.82,34.26,0.37,18.52,22.92,0.81,9.4,43.28,24.58,6.86,4.6,11.22,18.76,117.49,116.3,96.48,0.27,0.4,0.59,49.66,59.69,7.09,8.59,0.55,10.37,21.65,0.21,0.54,10.54,77.09,0.18,25.0,26.0,101.67,112.33,36.33,89.0,0.41,13.0,35.0,0.38,16.0,19.33,0.85,9.33,43.67,20.33,6.67,6.0,11.67,16.67,104.23,115.07,97.67,0.22,0.39,0.52,47.0,56.67,6.77,10.07,0.48,10.7,19.37,0.18,0.54,11.37,75.43,0.18,1.0,2.0,111.1,106.6,41.6,89.0,0.47,13.3,32.7,0.41,14.6,18.7,0.78,10.6,47.7,24.5,7.8,6.6,13.4,17.8,113.25,108.76,98.07,0.21,0.37,0.57,52.24,58.75,7.92,11.7,0.54,12.12,24.25,0.17,0.52,11.75,77.6,0.15,7.0,5.0,107.3,109.3,39.9,87.22,0.46,12.18,32.72,0.37,15.32,19.72,0.77,9.3,44.14,23.88,7.24,4.9,13.14,19.2,109.98,111.99,97.37,0.23,0.38,0.56,48.25,59.77,7.4,8.61,0.53,12.05,20.63,0.18,0.52,11.28,74.27,0.18,25.0,22.0,2022-03-11,ATL,LAC,True
0,112.33,114.33,42.67,89.67,0.48,10.33,35.67,0.29,16.67,21.0,0.8,11.67,46.33,27.33,4.67,4.0,10.67,21.33,116.7,118.57,93.27,0.23,0.4,0.57,51.3,64.1,4.83,7.03,0.53,9.67,25.8,0.19,0.55,9.77,77.1,0.17,1.0,1.0,117.1,112.5,42.3,87.7,0.48,12.2,33.9,0.36,20.3,25.3,0.8,9.9,42.0,23.6,6.1,4.5,9.3,19.0,122.23,117.51,94.93,0.29,0.39,0.59,49.87,55.48,6.38,8.01,0.55,8.58,23.03,0.23,0.56,10.76,77.1,0.15,6.0,4.0,113.66,112.6,41.18,87.18,0.47,12.74,34.14,0.37,18.56,22.94,0.81,9.58,43.42,24.58,6.78,4.58,11.2,18.8,117.53,116.44,96.49,0.27,0.39,0.59,49.82,59.63,7.01,8.53,0.55,10.33,21.98,0.21,0.55,10.51,77.29,0.18,25.0,26.0,122.0,122.67,46.0,89.33,0.52,13.33,33.0,0.4,16.67,19.67,0.84,9.0,42.33,28.67,5.0,7.33,13.0,20.67,123.4,124.1,98.9,0.22,0.37,0.62,50.0,62.03,5.03,12.47,0.59,11.63,22.57,0.19,0.55,6.73,75.03,0.23,1.0,1.0,118.2,118.4,44.1,90.1,0.49,12.9,34.3,0.37,17.1,23.7,0.72,10.5,45.6,27.3,6.7,6.8,14.1,19.4,117.1,117.28,98.99,0.27,0.38,0.59,50.02,61.79,6.56,11.32,0.56,12.34,23.14,0.19,0.54,9.52,74.93,0.19,4.0,4.0,111.56,114.84,41.18,89.64,0.46,11.9,35.02,0.34,17.3,22.68,0.77,11.62,44.7,25.32,6.7,5.42,13.32,20.14,113.86,117.12,96.84,0.26,0.39,0.56,50.83,61.5,6.81,9.62,0.53,11.78,25.93,0.19,0.55,10.66,76.39,0.21,16.0,27.0,2022-03-13,ATL,IND,True
0,119.33,119.33,44.0,86.67,0.51,12.33,35.67,0.34,19.0,21.67,0.88,10.33,42.33,27.0,6.67,3.0,10.0,20.0,124.83,124.67,95.6,0.25,0.41,0.62,49.67,61.43,6.93,5.57,0.58,9.4,24.27,0.22,0.58,10.63,75.2,0.2,2.0,2.0,117.8,113.7,42.6,88.1,0.49,12.5,34.4,0.36,20.1,25.0,0.81,10.1,42.1,23.8,6.1,4.4,9.3,19.3,122.32,118.16,95.38,0.28,0.39,0.6,49.7,55.54,6.33,7.72,0.56,8.55,23.27,0.23,0.56,10.84,76.86,0.17,6.0,4.0,113.98,113.06,41.24,87.22,0.47,12.84,34.22,0.37,18.66,23.0,0.81,9.6,43.22,24.64,6.84,4.52,11.18,18.78,117.83,116.89,96.52,0.27,0.39,0.59,49.78,59.69,7.07,8.44,0.55,10.31,22.06,0.22,0.55,10.6,77.27,0.18,25.0,26.0,97.67,121.67,33.33,88.33,0.37,9.0,31.33,0.29,22.0,27.33,0.82,9.67,40.33,17.0,8.0,3.33,12.33,24.67,98.57,122.2,99.83,0.31,0.35,0.49,45.17,52.37,7.93,7.33,0.42,10.9,20.97,0.25,0.55,12.3,74.5,0.32,1.0,1.0,104.8,120.5,36.3,86.6,0.42,11.5,34.9,0.33,20.7,26.3,0.79,9.8,42.2,21.7,7.3,3.3,14.3,24.6,105.09,120.58,100.06,0.31,0.4,0.53,47.69,59.94,7.24,6.96,0.48,12.75,21.31,0.24,0.55,11.34,77.78,0.31,4.0,4.0,106.46,114.8,37.9,86.4,0.44,12.92,36.98,0.35,17.74,23.3,0.76,9.98,42.66,22.2,7.5,4.32,13.22,21.16,109.03,117.52,97.56,0.27,0.43,0.55,48.86,58.71,7.67,8.98,0.51,12.04,21.79,0.21,0.56,11.93,78.14,0.23,18.0,27.0,2022-03-14,ATL,POR,True
0,119.67,119.0,42.0,95.33,0.45,14.0,41.0,0.35,21.67,23.33,0.93,12.67,42.67,27.67,9.33,3.67,9.0,19.67,121.67,121.33,98.43,0.24,0.43,0.57,47.43,66.23,9.37,6.27,0.52,8.1,26.33,0.23,0.57,12.87,70.83,0.21,2.0,2.0,116.8,114.5,42.0,89.6,0.47,12.4,36.8,0.34,20.4,24.1,0.85,10.4,42.1,25.1,7.1,4.3,8.9,19.3,121.19,118.94,95.48,0.27,0.41,0.59,49.15,59.55,7.31,7.46,0.54,8.21,23.31,0.23,0.57,11.52,75.87,0.17,6.0,5.0,113.8,113.5,41.1,87.76,0.47,12.82,34.72,0.37,18.78,23.12,0.81,9.86,43.3,24.74,6.9,4.46,11.18,19.0,117.39,117.12,96.72,0.27,0.4,0.58,49.78,60.14,7.1,8.35,0.54,10.28,22.34,0.22,0.55,10.77,77.44,0.18,24.0,26.0,126.0,111.33,49.33,103.67,0.48,11.67,31.67,0.37,15.67,23.0,0.7,19.0,54.0,30.33,9.0,10.67,11.0,21.0,121.87,107.77,103.4,0.22,0.3,0.55,52.47,60.97,8.7,16.57,0.53,8.83,36.03,0.15,0.47,12.47,69.93,0.23,3.0,1.0,120.1,111.8,45.8,98.7,0.46,11.0,31.9,0.34,17.5,24.5,0.72,16.5,52.8,26.9,8.3,7.7,11.3,20.3,118.13,110.21,101.68,0.25,0.32,0.55,53.9,58.63,8.19,12.94,0.52,9.33,32.39,0.18,0.51,11.45,76.4,0.2,7.0,4.0,116.32,106.86,43.9,94.34,0.47,10.72,31.16,0.34,17.8,24.78,0.72,14.84,50.36,25.64,10.1,6.7,12.38,19.82,116.5,107.07,99.63,0.27,0.33,0.55,54.05,58.25,10.14,12.48,0.52,10.55,31.34,0.19,0.51,13.09,77.48,0.2,38.0,22.0,2022-03-18,ATL,MEM,True
