,Date,Time,Home_Team,Home_Pts,Away_Team,Away_Points
0,2023-10-24,7:30p,LAL,107,DEN,119
0,2023-10-24,10:00p,PHO,108,GSW,104
0,2023-10-25,7:00p,HOU,86,ORL,116
0,2023-10-25,7:00p,BOS,108,NYK,104
0,2023-10-25,7:00p,WAS,120,IND,143
0,2023-10-25,7:00p,ATL,110,CHO,116
0,2023-10-25,7:30p,DET,102,MIA,103
0,2023-10-25,7:30p,MIN,94,TOR,97
0,2023-10-25,7:30p,CLE,114,BRK,113
0,2023-10-25,8:00p,NOP,111,MEM,104
0,2023-10-25,8:00p,OKC,124,CHI,104
0,2023-10-25,9:00p,SAC,130,UTA,114
0,2023-10-25,9:30p,DAL,126,SAS,119
0,2023-10-25,10:30p,POR,111,LAC,123
0,2023-10-26,7:30p,PHI,117,MIL,118
0,2023-10-26,10:00p,PHO,95,LAL,100
0,2023-10-27,7:00p,DEN,108,MEM,104
0,2023-10-27,7:00p,DET,111,CHO,99
0,2023-10-27,7:30p,NYK,126,ATL,120
0,2023-10-27,7:30p,OKC,108,CLE,105
0,2023-10-27,7:30p,MIA,111,BOS,119
0,2023-10-27,8:00p,TOR,103,CHI,104
0,2023-10-27,8:00p,HOU,122,SAS,126
0,2023-10-27,8:30p,BRK,120,DAL,125
0,2023-10-27,9:30p,LAC,118,UTA,120
0,2023-10-27,10:00p,ORL,102,POR,97
0,2023-10-27,10:00p,GSW,122,SAC,114
0,2023-10-28,7:00p,CHI,102,DET,118
0,2023-10-28,7:00p,MEM,106,WAS,113
0,2023-10-28,7:00p,NYK,87,NOP,96
0,2023-10-28,7:30p,IND,125,CLE,113
0,2023-10-28,7:30p,PHI,114,TOR,107
0,2023-10-28,8:00p,MIA,90,MIN,106
0,2023-10-28,10:00p,UTA,104,PHO,126
0,2023-10-29,3:30p,DEN,128,OKC,95
0,2023-10-29,7:00p,GSW,106,HOU,95
0,2023-10-29,7:00p,ATL,127,MIL,110
0,2023-10-29,7:30p,POR,98,PHI,126
0,2023-10-29,9:00p,SAS,83,LAC,123
0,2023-10-29,9:00p,LAL,127,SAC,132
0,2023-10-30,7:00p,CHI,112,IND,105
0,2023-10-30,7:00p,BOS,126,WAS,107
0,2023-10-30,7:00p,BRK,133,CHO,121
0,2023-10-30,7:30p,POR,99,TOR,91
0,2023-10-30,7:30p,MIN,113,ATL,127
0,2023-10-30,8:00p,DAL,125,MEM,110
0,2023-10-30,8:00p,MIA,114,MIL,122
0,2023-10-30,8:00p,GSW,130,NOP,102
0,2023-10-30,8:00p,DET,112,OKC,124
0,2023-10-30,9:00p,UTA,102,DEN,110
0,2023-10-30,10:30p,ORL,103,LAL,106
0,2023-10-31,7:30p,NYK,109,CLE,91
0,2023-10-31,10:00p,SAS,115,PHO,114
0,2023-10-31,10:30p,ORL,102,LAC,118
0,2023-11-01,7:00p,POR,110,DET,101
0,2023-11-01,7:00p,MIL,111,TOR,130
0,2023-11-01,7:30p,WAS,121,ATL,130
0,2023-11-01,7:30p,IND,104,BOS,155
0,2023-11-01,7:30p,BRK,109,MIA,105
0,2023-11-01,7:30p,CLE,95,NYK,89
0,2023-11-01,7:30p,NOP,110,OKC,106
0,2023-11-01,8:00p,CHO,119,HOU,128
0,2023-11-01,8:00p,DEN,89,MIN,110
0,2023-11-01,8:30p,CHI,105,DAL,114
0,2023-11-01,9:00p,MEM,109,UTA,133
0,2023-11-01,10:00p,SAC,101,GSW,102
0,2023-11-01,10:00p,LAC,125,LAL,130
0,2023-11-02,7:00p,TOR,99,PHI,114
0,2023-11-02,8:00p,DET,116,NOP,125
0,2023-11-02,9:00p,ORL,115,UTA,113
0,2023-11-02,10:00p,SAS,132,PHO,121
0,2023-11-03,7:00p,CLE,116,IND,121
0,2023-11-03,7:30p,NYK,105,MIL,110
0,2023-11-03,8:00p,BRK,109,CHI,107
0,2023-11-03,8:00p,WAS,114,MIA,121
0,2023-11-03,8:00p,GSW,141,OKC,139
0,2023-11-03,10:00p,DAL,114,DEN,125
0,2023-11-03,10:00p,MEM,113,POR,115
0,2023-11-04,1:00p,PHO,100,PHI,112
0,2023-11-04,7:00p,CHO,125,IND,124
0,2023-11-04,7:00p,ATL,123,NOP,105
0,2023-11-04,7:00p,LAL,101,ORL,120
0,2023-11-04,8:00p,BOS,124,BRK,114
0,2023-11-04,8:00p,SAC,89,HOU,107
0,2023-11-04,8:00p,UTA,95,MIN,123
0,2023-11-04,9:00p,CHI,101,DEN,123
0,2023-11-05,3:00p,PHO,120,DET,106
0,2023-11-05,3:30p,TOR,123,SAS,116
0,2023-11-05,6:00p,GSW,104,CLE,115
0,2023-11-05,7:30p,CHO,118,DAL,124
0,2023-11-05,9:00p,MEM,112,POR,100
0,2023-11-06,7:00p,GSW,120,DET,109
0,2023-11-06,7:00p,SAS,111,IND,152
0,2023-11-06,7:00p,DAL,117,ORL,102
0,2023-11-06,7:00p,WAS,128,PHI,146
0,2023-11-06,7:30p,MIL,129,BRK,125
0,2023-11-06,7:30p,LAL,107,MIA,108
0,2023-11-06,7:30p,LAC,97,NYK,111
0,2023-11-06,8:00p,UTA,113,CHI,130
0,2023-11-06,8:00p,SAC,97,HOU,122
0,2023-11-06,8:00p,BOS,109,MIN,114
0,2023-11-06,8:00p,ATL,117,OKC,126
0,2023-11-06,9:00p,NOP,116,DEN,134
0,2023-11-08,7:00p,WAS,132,CHO,116
0,2023-11-08,7:00p,UTA,118,IND,134
0,2023-11-08,7:00p,BOS,103,PHI,106
0,2023-11-08,7:30p,LAC,93,BRK,100
0,2023-11-08,7:30p,SAS,105,NYK,126
0,2023-11-08,8:00p,PHO,116,CHI,115
0,2023-11-08,8:00p,LAL,94,HOU,128
0,2023-11-08,8:00p,MIA,108,MEM,102
0,2023-11-08,8:00p,DET,118,MIL,120
0,2023-11-08,8:00p,NOP,101,MIN,122
0,2023-11-08,8:00p,CLE,120,OKC,128
0,2023-11-08,8:30p,TOR,127,DAL,116
0,2023-11-08,10:00p,GSW,105,DEN,108
0,2023-11-08,10:00p,POR,118,SAC,121
0,2023-11-09,7:00p,MIL,124,IND,126
